time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,19.051,6.47449,14,0.08
0.2,1,0,18.2734,6.86332,14,0.08
0.2,2,0,18.2734,6.86332,14,0.08
0.2,3,0,18.1026,6.9487,14,0.08
0.2,4,0,18.1026,6.9487,14,0.08
0.2,5,0,18.4312,6.78438,14,0.08
0.2,6,0,18.4312,6.78438,14,0.08
0.2,7,0,19.2011,6.39945,14,0.08
0.2,8,0,19.2011,6.39945,14,0.08
0.2,9,0,20.3766,5.8117,14,0.08
0.2,10,0,20.3766,5.8117,14,0.08
0.2,11,2,21.248,5.376,13,0.075
0.2,12,1,21.248,5.376,13,0.075
0.2,13,1,22.5641,4.71793,12,0.07
0.2,14,2,22.5641,4.71793,12,0.07
5.2,0,0,19.051,6.4745,14,0.08
5.2,1,0,18.2733,6.86334,14,0.08
5.2,2,0,18.2733,6.86334,14,0.08
5.2,3,0,18.1026,6.94872,14,0.08
5.2,4,0,18.1026,6.94872,14,0.08
5.2,5,0,18.4312,6.78439,14,0.08
5.2,6,0,18.4312,6.78439,14,0.08
5.2,7,0,19.201,6.39948,14,0.08
5.2,8,0,19.201,6.39948,14,0.08
5.2,9,0,20.3766,5.81169,14,0.08
5.2,10,0,20.3766,5.81169,14,0.08
5.2,11,2,21.248,5.376,13,0.075
5.2,12,1,21.248,5.376,13,0.075
5.2,13,1,22.5642,4.71792,12,0.07
5.2,14,2,22.5642,4.71792,12,0.07
10.2,0,0,19.051,6.47452,14,0.08
10.2,1,0,18.2733,6.86334,14,0.08
10.2,2,0,18.2733,6.86334,14,0.08
10.2,3,0,18.1026,6.94872,14,0.08
10.2,4,0,18.1026,6.94872,14,0.08
10.2,5,0,18.4312,6.78439,14,0.08
10.2,6,0,18.4312,6.78439,14,0.08
10.2,7,0,19.201,6.39948,14,0.08
10.2,8,0,19.201,6.39948,14,0.08
10.2,9,0,20.3766,5.81169,14,0.08
10.2,10,0,20.3766,5.81169,14,0.08
10.2,11,2,21.2479,5.37605,13,0.075
10.2,12,1,21.2479,5.37605,13,0.075
10.2,13,1,22.5642,4.71791,12,0.07
10.2,14,2,22.5642,4.71791,12,0.07
15.2,0,0,19.0493,6.47537,14,0.08
15.2,1,0,18.2732,6.86341,14,0.08
15.2,2,0,18.2732,6.8634,14,0.08
15.2,3,0,18.1024,6.94879,14,0.08
15.2,4,0,18.1025,6.94877,14,0.08
15.2,5,0,18.4311,6.78447,14,0.08
15.2,6,0,18.4311,6.78447,14,0.08
15.2,7,0,19.2009,6.39954,14,0.08
15.2,8,0,19.2009,6.39956,14,0.08
15.2,9,0,20.3764,5.81178,14,0.08
15.2,10,0,20.3765,5.81177,14,0.08
15.2,11,2,21.2478,5.37609,13,0.075
15.2,12,1,21.2478,5.37612,13,0.075
15.2,13,1,22.564,4.71802,12,0.07
15.2,14,2,22.564,4.71799,12,0.07
20.2,0,0,18.5811,6.70945,14,0.08
