time,nodeId,eventType
1.05589,16,Tx Data
1.05785,25,Tx Data
1.05831,25,Rx Data
1.05981,28,Tx Data
1.06178,15,Tx Data
1.06374,16,Tx Data
1.06374,18,Tx Data
1.06374,23,Tx Data
1.0657,22,Tx Data
1.06689,25,Rx Data
1.06766,22,Tx Data
1.06766,26,Tx Data
1.06963,27,Tx Data
1.07159,27,Tx Data
1.07355,26,Tx Data
1.07529,15,Rx Data
1.07542,28,Rx Data
1.07748,17,Tx Data
1.07748,26,Tx Data
1.07748,28,Tx Data
1.07944,24,Tx Data
1.07944,25,Tx Data
1.07944,26,Tx Data
1.07967,28,Rx Data
1.0814,21,Tx Data
1.0814,29,Tx Data
1.08533,27,Tx Data
1.08729,19,Tx Data
1.08729,21,Tx Data
1.08729,24,Tx Data
1.08729,25,Tx Data
1.08925,15,Tx Data
1.08925,20,Tx Data
1.09318,15,Tx Data
1.09318,22,Tx Data
1.09514,16,Tx Data
1.09514,19,Tx Data
1.09514,26,Tx Data
1.09514,27,Tx Data
1.09514,28,Tx Data
1.0971,17,Tx Data
1.0971,21,Tx Data
1.0971,24,Tx Data
1.09907,18,Tx Data
1.09907,24,Tx Data
1.10103,24,Tx Data
1.10299,15,Tx Data
1.10299,21,Tx Data
1.10299,23,Tx Data
1.10299,24,Tx Data
1.10495,18,Tx Data
1.10495,27,Tx Data
1.10888,18,Tx Data
1.10952,25,Rx Data
1.11084,16,Tx Data
1.11281,24,Tx Data
1.11477,23,Tx Data
1.11477,27,Tx Data
1.11673,22,Tx Data
1.11673,28,Tx Data
1.12262,21,Tx Data
1.12262,25,Tx Data
1.12458,20,Tx Data
1.12458,23,Tx Data
1.12654,18,Tx Data
1.12654,23,Tx Data
1.12851,15,Tx Data
1.13047,20,Tx Data
1.13243,15,Tx Data
1.13243,24,Tx Data
1.1341,22,Rx Data
1.13439,15,Tx Data
1.13439,18,Tx Data
1.13439,20,Tx Data
1.13836,16,Rx Data
1.14225,21,Tx Data
1.14225,22,Tx Data
1.14225,25,Tx Data
1.14225,28,Tx Data
1.14421,16,Tx Data
1.14421,27,Tx Data
1.14421,28,Tx Data
1.14477,16,Rx Data
1.14617,15,Tx Data
1.14617,17,Tx Data
1.14813,26,Tx Data
1.1501,17,Tx Data
1.1501,25,Tx Data
1.1501,28,Tx Data
1.15206,20,Tx Data
1.15598,20,Tx Data
1.15598,28,Tx Data
1.15795,23,Tx Data
1.15795,28,Tx Data
1.16187,16,Tx Data
1.16187,21,Tx Data
1.16187,29,Tx Data
1.1658,22,Tx Data
1.16925,28,Rx Data
1.16972,15,Tx Data
1.16972,22,Tx Data
1.17365,15,Tx Data
1.17561,29,Tx Data
1.17783,25,Rx Data
1.17954,22,Tx Data
1.17954,25,Tx Data
1.17954,27,Tx Data
1.18192,1,Tx Data
1.18346,23,Tx Data
1.18346,24,Tx Data
1.18422,28,Rx Data
1.18542,20,Tx Data
1.18542,22,Tx Data
1.18739,25,Tx Data
1.1929,28,Rx Data
1.19327,15,Tx Data
1.19327,27,Tx Data
1.19507,25,Rx Data
