time,nodeId,eventType
1.05589,16,Tx Data
1.05785,24,Tx Data
1.05785,29,Tx Data
1.05981,24,Tx Data
1.05981,29,Tx Data
1.06178,28,Tx Data
1.06257,22,Rx Data
1.06374,15,Tx Data
1.06468,24,Rx Data
1.0657,19,Tx Data
1.0657,27,Tx Data
1.06681,24,Rx Data
1.06766,29,Tx Data
1.06963,27,Tx Data
1.07159,24,Tx Data
1.07159,29,Tx Data
1.07325,24,Rx Data
1.07355,29,Tx Data
1.07551,19,Tx Data
1.07551,21,Tx Data
1.07748,15,Tx Data
1.07748,16,Tx Data
1.07748,17,Tx Data
1.07748,21,Tx Data
1.07748,28,Tx Data
1.07944,17,Tx Data
1.08181,24,Rx Data
1.08337,18,Tx Data
1.08337,20,Tx Data
1.08337,23,Tx Data
1.08337,24,Tx Data
1.08417,17,Rx Data
1.08533,15,Tx Data
1.08729,24,Tx Data
1.08817,24,Rx Data
1.08925,23,Tx Data
1.08925,26,Tx Data
1.09067,25,Rx Data
1.09075,17,Rx Data
1.09122,15,Tx Data
1.09122,23,Tx Data
1.09122,27,Tx Data
1.09246,22,Rx Data
1.09318,20,Tx Data
1.09318,26,Tx Data
1.09514,26,Tx Data
1.09709,25,Rx Data
1.0971,20,Tx Data
1.0971,22,Tx Data
1.0971,23,Tx Data
1.09907,16,Tx Data
1.09907,25,Tx Data
1.10154,17,Rx Data
1.10299,26,Tx Data
1.10313,22,Rx Data
1.10692,15,Tx Data
1.10779,28,Rx Data
1.10888,15,Tx Data
1.10888,27,Tx Data
1.1101,20,Rx Data
1.11477,19,Tx Data
1.11477,23,Tx Data
1.11673,16,Tx Data
1.11673,19,Tx Data
1.1169,20,Rx Data
1.11869,17,Rx Data
1.11869,24,Tx Data
1.12066,28,Tx Data
1.12262,21,Tx Data
1.12303,17,Rx Data
1.12458,16,Tx Data
1.12458,18,Tx Data
1.12458,21,Tx Data
1.12458,23,Tx Data
1.12923,20,Rx Data
1.13243,18,Tx Data
1.13243,19,Tx Data
1.13243,22,Tx Data
1.13243,25,Tx Data
1.13243,29,Tx Data
1.13439,20,Tx Data
1.13439,21,Tx Data
1.13439,24,Tx Data
1.13439,26,Tx Data
1.13439,28,Tx Data
1.13832,15,Tx Data
1.13832,24,Tx Data
1.13915,0,Rx Data
1.14022,17,Rx Data
1.14028,23,Tx Data
1.14421,19,Tx Data
1.14421,27,Tx Data
1.14617,19,Tx Data
1.14617,24,Tx Data
1.14813,26,Tx Data
1.14974,0,Rx Data
1.1501,20,Tx Data
1.15317,17,Rx Data
1.15598,20,Tx Data
1.15598,21,Tx Data
1.15598,28,Tx Data
1.15991,16,Tx Data
1.16187,27,Tx Data
1.16383,25,Tx Data
1.1648,0,Rx Data
1.1658,15,Tx Data
1.1658,17,Tx Data
1.16776,19,Tx Data
1.16835,17,Rx Data
1.16908,0,Rx Data
1.16972,16,Tx Data
1.16972,22,Tx Data
1.16972,24,Tx Data
1.17169,24,Tx Data
1.17561,0,Rx Data
1.17565,22,Rx Data
1.17757,23,Tx Data
1.17757,27,Tx Data
1.17757,28,Tx Data
1.17775,0,Rx Data
1.17948,20,Rx Data
1.17954,18,Tx Data
1.17954,25,Tx Data
1.1815,21,Tx Data
1.1815,22,Tx Data
1.18346,19,Tx Data
1.18346,22,Tx Data
1.18424,22,Rx Data
1.18739,23,Tx Data
1.18739,28,Tx Data
1.18935,29,Tx Data
1.1929,25,Rx Data
1.19327,21,Tx Data
1.19327,23,Tx Data
1.19327,25,Tx Data
1.19487,22,Rx Data
1.19501,20,Rx Data
1.19524,20,Tx Data
1.19524,23,Tx Data
1.19524,28,Tx Data
1.19916,19,Tx Data
1.19916,20,Tx Data
1.20113,21,Tx Data
1.20113,25,Tx Data
1.20113,28,Tx Data
1.20309,15,Tx Data
1.20309,17,Tx Data
1.20325,20,Rx Data
1.2033,17,Rx Data
1.20545,17,Rx Data
1.20701,19,Tx Data
1.20701,24,Tx Data
1.20701,25,Tx Data
1.20898,19,Tx Data
1.20898,22,Tx Data
1.20898,27,Tx Data
1.20898,28,Tx Data
1.21094,24,Tx Data
1.21254,25,Rx Data
1.2129,22,Tx Data
1.21683,20,Tx Data
1.21879,23,Tx Data
1.22271,15,Tx Data
1.22271,22,Tx Data
1.22468,25,Tx Data
1.22555,20,Rx Data
1.22568,0,Rx Data
1.22664,27,Tx Data
1.2286,19,Tx Data
1.22894,16,Rx Data
1.22934,17,Rx Data
1.23057,15,Tx Data
1.23057,19,Tx Data
1.23057,20,Tx Data
1.23253,16,Tx Data
1.23253,18,Tx Data
1.23253,21,Tx Data
1.23253,26,Tx Data
1.23449,17,Tx Data
1.23449,18,Tx Data
1.23449,19,Tx Data
1.23449,28,Tx Data
1.23449,29,Tx Data
1.23645,16,Tx Data
1.23732,20,Rx Data
1.23745,22,Rx Data
1.24038,19,Tx Data
1.24038,22,Tx Data
1.24038,24,Tx Data
1.24156,28,Rx Data
1.2443,15,Tx Data
1.24517,0,Rx Data
1.24627,18,Tx Data
1.24627,21,Tx Data
1.24652,17,Rx Data
1.24799,20,Rx Data
1.24823,25,Tx Data
1.25019,16,Tx Data
1.25215,17,Tx Data
1.25215,18,Tx Data
1.25412,16,Tx Data
1.25412,21,Tx Data
1.25454,16,Rx Data
1.25608,23,Tx Data
1.25804,21,Tx Data
1.25804,23,Tx Data
1.26001,26,Tx Data
1.26156,26,Rx Data
1.26197,17,Tx Data
1.26197,21,Tx Data
