time,nodeId,eventType
1.05589,16,Tx Data
1.05785,25,Tx Data
1.05831,25,Rx Data
1.05981,26,Tx Data
1.06045,22,Rx Data
1.06257,16,Rx Data
1.06276,27,Rx Data
1.06374,19,Tx Data
1.0657,16,Tx Data
1.0657,24,Tx Data
1.06685,16,Rx Data
1.06766,17,Tx Data
1.06963,17,Tx Data
1.07159,16,Tx Data
1.07331,18,Rx Data
1.07355,18,Tx Data
1.07355,20,Tx Data
1.07551,20,Tx Data
1.07551,29,Tx Data
1.07746,20,Rx Data
1.07748,26,Tx Data
1.07748,27,Tx Data
1.07748,28,Tx Data
1.07944,15,Tx Data
1.07944,22,Tx Data
1.07961,29,Rx Data
1.08337,27,Tx Data
1.08533,20,Tx Data
1.08533,22,Tx Data
1.08533,25,Tx Data
1.08533,26,Tx Data
1.08651,26,Rx Data
1.08729,18,Tx Data
1.08925,28,Tx Data
1.09122,15,Tx Data
1.09122,27,Tx Data
1.09243,20,Rx Data
1.09318,16,Tx Data
1.09318,17,Tx Data
1.09318,18,Tx Data
1.09318,26,Tx Data
1.09513,23,Rx Data
1.09514,16,Tx Data
1.09514,26,Tx Data
1.09522,22,Rx Data
1.09724,16,Rx Data
1.09907,17,Tx Data
1.09907,23,Tx Data
1.09907,25,Tx Data
1.09907,26,Tx Data
1.10103,20,Tx Data
1.10103,29,Tx Data
1.10495,15,Tx Data
1.10495,28,Tx Data
1.10596,18,Rx Data
1.10888,20,Tx Data
1.11084,16,Tx Data
1.11084,20,Tx Data
1.11245,18,Rx Data
1.11281,19,Tx Data
1.11673,28,Tx Data
1.11678,22,Rx Data
1.11869,25,Tx Data
1.11869,28,Tx Data
1.12066,19,Tx Data
1.12066,24,Tx Data
1.12262,15,Tx Data
1.12458,19,Tx Data
1.12539,26,Rx Data
1.12654,23,Tx Data
1.1269,27,Rx Data
1.12748,18,Rx Data
1.12851,16,Tx Data
1.12851,18,Tx Data
1.13243,24,Tx Data
1.13619,22,Rx Data
1.13636,15,Tx Data
1.13636,18,Tx Data
1.13636,21,Tx Data
1.13636,25,Tx Data
1.13832,20,Tx Data
1.13832,21,Tx Data
1.13832,24,Tx Data
1.13832,26,Tx Data
1.13832,28,Tx Data
1.14225,17,Tx Data
1.14225,26,Tx Data
1.14274,22,Rx Data
1.14421,15,Tx Data
1.14421,24,Tx Data
1.14813,21,Tx Data
1.14813,29,Tx Data
1.1501,21,Tx Data
1.1501,26,Tx Data
1.15206,28,Tx Data
1.15402,15,Tx Data
1.15402,23,Tx Data
1.15795,18,Tx Data
1.15991,25,Tx Data
1.15991,26,Tx Data
1.1612,27,Rx Data
1.16383,21,Tx Data
1.16619,20,Rx Data
1.16776,27,Tx Data
1.16972,16,Tx Data
1.16972,19,Tx Data
1.16972,21,Tx Data
1.17169,23,Tx Data
1.17353,20,Rx Data
1.17365,15,Tx Data
1.17365,21,Tx Data
1.17365,27,Tx Data
1.17365,29,Tx Data
1.17612,21,Rx Data
1.17954,29,Tx Data
1.18044,21,Rx Data
1.1815,26,Tx Data
1.1816,26,Rx Data
