time,nodeId,x,y,z,node_type
0,0,0.332,0.332,30.006,0
0,1,-16.639,0.332,30.006,0
0,2,0.332,-16.639,30.006,0
0,3,-33.609,0.332,30.006,0
0,4,0.332,-33.609,30.006,0
0,5,-50.58,0.332,30.006,0
0,6,0.332,-50.58,30.006,0
0,7,-67.551,0.332,30.006,0
0,8,0.332,-67.551,30.006,0
0,9,-84.521,0.332,30.006,0
0,10,0.332,-84.521,30.006,0
0,11,-101.492,0.332,30.006,0
0,12,0.332,-101.492,30.006,0
0,13,-118.462,0.332,30.006,0
0,14,0.332,-118.462,30.006,0
0.2,0,1.043,1.043,30.037,0
0.2,1,-15.928,1.043,30.037,0
0.2,2,1.043,-15.928,30.037,0
0.2,3,-32.899,1.043,30.037,0
0.2,4,1.043,-32.899,30.037,0
0.2,5,-49.869,1.043,30.037,0
0.2,6,1.043,-49.869,30.037,0
0.2,7,-66.84,1.043,30.037,0
0.2,8,1.043,-66.84,30.037,0
0.2,9,-83.81,1.043,30.037,0
0.2,10,1.043,-83.81,30.037,0
0.2,11,-100.781,1.043,30.037,0
0.2,12,1.043,-100.781,30.037,0
0.2,13,-117.751,1.043,30.037,0
0.2,14,1.043,-117.751,30.037,0
0.4,0,1.825,1.825,30.092,0
0.4,1,-15.145,1.825,30.092,0
0.4,2,1.825,-15.145,30.092,0
0.4,3,-32.116,1.825,30.092,0
0.4,4,1.825,-32.116,30.092,0
0.4,5,-49.086,1.825,30.092,0
0.4,6,1.825,-49.086,30.092,0
0.4,7,-66.057,1.825,30.092,0
0.4,8,1.825,-66.057,30.092,0
0.4,9,-83.027,1.825,30.092,0
0.4,10,1.825,-83.027,30.092,0
0.4,11,-99.998,1.825,30.092,0
0.4,12,1.825,-99.998,30.092,0
0.4,13,-116.969,1.825,30.092,0
0.4,14,1.825,-116.969,30.092,0
0.6,0,2.689,2.689,30.166,0
0.6,1,-14.282,2.689,30.166,0
0.6,2,2.689,-14.282,30.166,0
0.6,3,-31.253,2.689,30.166,0
