time,node_id,channel,tx_power,data_rate,neighbors,interference
0.5,0,0,19.051,6.47452,14,0.08
0.5,1,0,18.2733,6.86334,14,0.08
0.5,2,0,18.2733,6.86334,14,0.08
0.5,3,0,18.1026,6.94872,14,0.08
0.5,4,0,18.1026,6.94872,14,0.08
0.5,5,0,18.4312,6.7844,14,0.08
0.5,6,0,18.4312,6.7844,14,0.08
0.5,7,0,19.201,6.39948,14,0.08
0.5,8,0,19.201,6.39948,14,0.08
0.5,9,0,20.3766,5.8117,14,0.08
0.5,10,0,20.3766,5.8117,14,0.08
0.5,11,2,21.2479,5.37603,13,0.075
0.5,12,1,21.2479,5.37603,13,0.075
0.5,13,1,22.5642,4.71792,12,0.07
0.5,14,2,22.5642,4.71792,12,0.07
5.5,0,0,19.051,6.47452,14,0.08
5.5,1,0,18.2733,6.86334,14,0.08
5.5,2,0,18.2733,6.86334,14,0.08
5.5,3,0,18.1026,6.94872,14,0.08
5.5,4,0,18.1026,6.94872,14,0.08
5.5,5,0,18.4312,6.7844,14,0.08
5.5,6,0,18.4312,6.7844,14,0.08
5.5,7,0,19.201,6.39948,14,0.08
5.5,8,0,19.201,6.39948,14,0.08
5.5,9,0,20.3766,5.8117,14,0.08
5.5,10,0,20.3766,5.8117,14,0.08
5.5,11,2,21.2479,5.37603,13,0.075
5.5,12,1,21.2479,5.37603,13,0.075
5.5,13,1,22.5642,4.71792,12,0.07
5.5,14,2,22.5642,4.71792,12,0.07
10.5,0,0,19.051,6.47452,14,0.08
10.5,1,0,18.2733,6.86334,14,0.08
10.5,2,0,18.2733,6.86334,14,0.08
10.5,3,0,18.1026,6.94872,14,0.08
10.5,4,0,18.1026,6.94872,14,0.08
10.5,5,0,18.4312,6.7844,14,0.08
10.5,6,0,18.4312,6.7844,14,0.08
10.5,7,0,19.201,6.39948,14,0.08
10.5,8,0,19.201,6.39948,14,0.08
10.5,9,0,20.3766,5.8117,14,0.08
10.5,10,0,20.3766,5.8117,14,0.08
10.5,11,2,21.2479,5.37603,13,0.075
10.5,12,1,21.2479,5.37603,13,0.075
10.5,13,1,22.5642,4.71792,12,0.07
10.5,14,2,22.5642,4.71792,12,0.07
15.5,0,0,19.051,6.47452,14,0.08
15.5,1,0,18.2733,6.86334,14,0.08
15.5,2,0,18.2733,6.86334,14,0.08
15.5,3,0,18.1026,6.94872,14,0.08
15.5,4,0,18.1026,6.94872,14,0.08
15.5,5,0,18.4312,6.7844,14,0.08
15.5,6,0,18.4312,6.7844,14,0.08
15.5,7,0,19.201,6.39948,14,0.08
15.5,8,0,19.201,6.39948,14,0.08
15.5,9,0,20.3766,5.8117,14,0.08
15.5,10,0,20.3766,5.8117,14,0.08
15.5,11,2,21.2479,5.37603,13,0.075
15.5,12,1,21.2479,5.37603,13,0.075
15.5,13,1,22.5642,4.71792,12,0.07
15.5,14,2,22.5642,4.71792,12,0.07
20.5,0,0,19.051,6.47452,14,0.08
20.5,1,0,18.2733,6.86334,14,0.08
20.5,2,0,18.2733,6.86334,14,0.08
20.5,3,0,18.1026,6.94872,14,0.08
20.5,4,0,18.1026,6.94872,14,0.08
20.5,5,0,18.4312,6.7844,14,0.08
20.5,6,0,18.4312,6.7844,14,0.08
20.5,7,0,19.201,6.39948,14,0.08
20.5,8,0,19.201,6.39948,14,0.08
20.5,9,0,20.3766,5.8117,14,0.08
20.5,10,0,20.3766,5.8117,14,0.08
20.5,11,2,21.2479,5.37603,13,0.075
20.5,12,1,21.2479,5.37603,13,0.075
20.5,13,1,22.5642,4.71792,12,0.07
20.5,14,2,22.5642,4.71792,12,0.07
25.5,0,0,19.051,6.47452,14,0.08
25.5,1,0,18.2733,6.86334,14,0.08
25.5,2,0,18.2733,6.86334,14,0.08
25.5,3,0,18.1026,6.94872,14,0.08
25.5,4,0,18.1026,6.94872,14,0.08
25.5,5,0,18.4312,6.7844,14,0.08
25.5,6,0,18.4312,6.7844,14,0.08
25.5,7,0,19.201,6.39948,14,0.08
