time,num_nodes,num_links,avg_degree,network_density
2,15,102,13.6,0.971429
4,15,102,13.6,0.971429
6,15,102,13.6,0.971429
8,15,102,13.6,0.971429
10,15,102,13.6,0.971429
12,15,102,13.6,0.971429
14,15,102,13.6,0.971429
16,15,102,13.6,0.971429
18,15,102,13.6,0.971429
20,15,102,13.6,0.971429
22,15,102,13.6,0.971429
24,15,102,13.6,0.971429
26,15,102,13.6,0.971429
28,15,102,13.6,0.971429
30,15,102,13.6,0.971429
32,15,98,13.0667,0.933333
34,15,98,13.0667,0.933333
36,15,103,13.7333,0.980952
38,15,103,13.7333,0.980952
40,15,103,13.7333,0.980952
42,15,98,13.0667,0.933333
44,15,98,13.0667,0.933333
46,15,98,13.0667,0.933333
48,15,98,13.0667,0.933333
50,15,98,13.0667,0.933333
52,15,95,12.6667,0.904762
54,15,95,12.6667,0.904762
56,15,103,13.7333,0.980952
58,15,103,13.7333,0.980952
60,15,103,13.7333,0.980952
62,15,100,13.3333,0.952381
64,15,100,13.3333,0.952381
66,15,86,11.4667,0.819048
68,15,86,11.4667,0.819048
70,15,86,11.4667,0.819048
72,15,92,12.2667,0.87619
74,15,92,12.2667,0.87619
76,15,93,12.4,0.885714
78,15,93,12.4,0.885714
80,15,93,12.4,0.885714
82,15,89,11.8667,0.847619
84,15,89,11.8667,0.847619
86,15,85,11.3333,0.809524
88,15,85,11.3333,0.809524
90,15,85,11.3333,0.809524
