FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,976,0,100%
2,0,7,976,0,100%
3,1,2,975,0,100%
4,1,8,975,0,100%
5,2,3,974,0,100%
6,2,9,974,0,100%
7,3,4,972,883,9.15638%
8,3,10,972,0,100%
9,4,5,971,879,9.47477%
10,4,11,971,0,100%
11,5,6,970,0,100%
12,5,12,970,0,100%
13,6,7,969,843,13.0031%
14,6,13,969,0,100%
15,7,8,968,839,13.3264%
16,7,14,968,0,100%
17,8,9,966,901,6.72878%
18,8,0,966,0,100%
19,9,10,965,0,100%
20,9,1,965,0,100%
21,10,11,964,901,6.53527%
22,10,2,964,0,100%
23,11,12,963,843,12.4611%
24,11,3,963,0,100%
25,12,13,961,863,10.1977%
26,12,4,961,0,100%
27,13,14,960,920,4.16667%
28,13,5,960,0,100%
29,14,0,959,0,100%
30,14,6,959,0,100%
