time,nodeId,x,y,z
0,0,0.336,0.327,30
0,1,-12.392,-3.915,30
0,2,-3.906,-12.401,30
0,3,-25.12,-8.158,30
0,4,-16.634,-16.643,30
0,5,-8.149,-25.129,30
0,6,-37.847,-12.401,30
0,7,-29.362,-20.886,30
0,8,-20.877,-29.371,30
0,9,-12.392,-37.857,30
0,10,-50.575,-16.643,30
0,11,-42.09,-25.129,30
0,12,-33.605,-33.614,30
0,13,-25.12,-42.099,30
0,14,-16.634,-50.584,30
0.2,0,1.07,1.015,30
0.2,1,-11.658,-3.227,30
0.2,2,-3.172,-11.712,30
0.2,3,-24.386,-7.47,30
0.2,4,-15.9,-15.955,30
0.2,5,-7.415,-24.44,30
0.2,6,-37.114,-11.712,30
0.2,7,-28.628,-20.198,30
0.2,8,-20.143,-28.683,30
0.2,9,-11.658,-37.168,30
0.2,10,-49.841,-15.955,30
0.2,11,-41.356,-24.44,30
0.2,12,-32.871,-32.926,30
0.2,13,-24.386,-41.411,30
0.2,14,-15.9,-49.896,30
0.4,0,1.895,1.758,30
0.4,1,-10.833,-2.484,30
0.4,2,-2.348,-10.97,30
0.4,3,-23.561,-6.727,30
0.4,4,-15.076,-15.212,30
0.4,5,-6.591,-23.698,30
0.4,6,-36.289,-10.97,30
0.4,7,-27.804,-19.455,30
0.4,8,-19.318,-27.94,30
0.4,9,-10.833,-36.426,30
0.4,10,-49.017,-15.212,30
0.4,11,-40.532,-23.698,30
0.4,12,-32.046,-32.183,30
0.4,13,-23.561,-40.668,30
0.4,14,-15.076,-49.153,30
0.6,0,2.817,2.564,30
0.6,1,-9.911,-1.679,30
0.6,2,-1.426,-10.164,30
0.6,3,-22.639,-5.921,30
0.6,4,-14.154,-14.407,30
0.6,5,-5.668,-22.892,30
0.6,6,-35.367,-10.164,30
0.6,7,-26.881,-18.649,30
0.6,8,-18.396,-27.135,30
0.6,9,-9.911,-35.62,30
0.6,10,-48.095,-14.407,30
0.6,11,-39.609,-22.892,30
0.6,12,-31.124,-31.377,30
0.6,13,-22.639,-39.863,30
0.6,14,-14.154,-48.348,30
0.8,0,3.84,3.438,30
0.8,1,-8.887,-0.805,30
0.8,2,-0.402,-9.29,30
0.8,3,-21.615,-5.048,30
0.8,4,-13.13,-13.533,30
0.8,5,-4.645,-22.018,30
0.8,6,-34.343,-9.29,30
0.8,7,-25.858,-17.776,30
0.8,8,-17.373,-26.261,30
0.8,9,-8.887,-34.746,30
0.8,10,-47.071,-13.533,30
0.8,11,-38.586,-22.018,30
0.8,12,-30.101,-30.504,30
0.8,13,-21.615,-38.989,30
0.8,14,-13.13,-47.474,30
1,0,4.965,4.382,30
1,1,-7.763,0.139,30
1,2,0.722,-8.346,30
1,3,-20.491,-4.104,30
1,4,-12.006,-12.589,30
1,5,-3.521,-21.074,30
1,6,-33.219,-8.346,30
1,7,-24.734,-16.831,30
1,8,-16.248,-25.317,30
1,9,-7.763,-33.802,30
1,10,-45.947,-12.589,30
1,11,-37.462,-21.074,30
1,12,-28.976,-29.559,30
1,13,-20.491,-38.045,30
1,14,-12.006,-46.53,30
1.2,0,6.187,5.396,30
1.2,1,-6.541,1.153,30
1.2,2,1.944,-7.332,30
1.2,3,-19.269,-3.089,30
1.2,4,-10.784,-11.575,30
1.2,5,-2.298,-20.06,30
1.2,6,-31.997,-7.332,30
1.2,7,-23.512,-15.817,30
1.2,8,-15.026,-24.303,30
1.2,9,-6.541,-32.788,30
1.2,10,-44.725,-11.575,30
1.2,11,-36.24,-20.06,30
1.2,12,-27.754,-28.545,30
1.2,13,-19.269,-37.03,30
1.2,14,-10.784,-45.516,30
1.4,0,7.501,6.477,30
1.4,1,-5.227,2.235,30
1.4,2,3.258,-6.25,30
1.4,3,-17.955,-2.008,30
1.4,4,-9.47,-10.493,30
1.4,5,-0.985,-18.978,30
1.4,6,-30.683,-6.25,30
1.4,7,-22.198,-14.736,30
1.4,8,-13.713,-23.221,30
1.4,9,-5.227,-31.706,30
1.4,10,-43.411,-10.493,30
1.4,11,-34.926,-18.978,30
1.4,12,-26.441,-27.464,30
1.4,13,-17.955,-35.949,30
1.4,14,-9.47,-44.434,30
1.6,0,8.898,7.621,30
1.6,1,-3.83,3.379,30
1.6,2,4.655,-5.106,30
1.6,3,-16.558,-0.864,30
1.6,4,-8.073,-9.349,30
1.6,5,0.413,-17.834,30
1.6,6,-29.286,-5.106,30
1.6,7,-20.801,-13.592,30
1.6,8,-12.315,-22.077,30
1.6,9,-3.83,-30.562,30
1.6,10,-42.014,-9.349,30
1.6,11,-33.529,-17.834,30
1.6,12,-25.043,-26.32,30
1.6,13,-16.558,-34.805,30
1.6,14,-8.073,-43.29,30
1.8,0,10.369,8.821,30
1.8,1,-2.359,4.579,30
1.8,2,6.126,-3.906,30
1.8,3,-15.087,0.336,30
1.8,4,-6.602,-8.149,30
1.8,5,1.883,-16.634,30
1.8,6,-27.815,-3.906,30
1.8,7,-19.33,-12.392,30
1.8,8,-10.844,-20.877,30
1.8,9,-2.359,-29.362,30
1.8,10,-40.543,-8.149,30
1.8,11,-32.058,-16.634,30
1.8,12,-23.572,-25.12,30
1.8,13,-15.087,-33.605,30
1.8,14,-6.602,-42.09,30
2,0,11.902,10.07,30
2,1,-0.826,5.827,30
2,2,7.66,-2.658,30
2,3,-13.554,1.585,30
2,4,-5.068,-6.901,30
2,5,3.417,-15.386,30
2,6,-26.282,-2.658,30
2,7,-17.796,-11.143,30
2,8,-9.311,-19.628,30
2,9,-0.826,-28.114,30
2,10,-39.009,-6.901,30
2,11,-30.524,-15.386,30
2,12,-22.039,-23.871,30
2,13,-13.554,-32.356,30
2,14,-5.068,-40.842,30
2.2,0,13.486,11.359,30
2.2,1,0.759,7.116,30
2.2,2,9.244,-1.369,30
2.2,3,-11.969,2.873,30
2.2,4,-3.484,-5.612,30
2.2,5,5.001,-14.097,30
2.2,6,-24.697,-1.369,30
2.2,7,-16.212,-9.855,30
2.2,8,-7.727,-18.34,30
2.2,9,0.759,-26.825,30
2.2,10,-37.425,-5.612,30
2.2,11,-28.94,-14.097,30
2.2,12,-20.455,-22.583,30
2.2,13,-11.969,-31.068,30
2.2,14,-3.484,-39.553,30
2.4,0,15.109,12.678,30
2.4,1,2.382,8.435,30
2.4,2,10.867,-0.05,30
2.4,3,-10.346,4.193,30
2.4,4,-1.861,-4.292,30
2.4,5,6.624,-12.778,30
2.4,6,-23.074,-0.05,30
2.4,7,-14.589,-8.535,30
2.4,8,-6.104,-17.02,30
2.4,9,2.382,-25.506,30
2.4,10,-35.802,-4.292,30
2.4,11,-27.317,-12.778,30
2.4,12,-18.832,-21.263,30
2.4,13,-10.346,-29.748,30
2.4,14,-1.861,-38.234,30
2.6,0,16.759,14.02,30
2.6,1,4.031,9.777,30
2.6,2,12.516,1.292,30
2.6,3,-8.697,5.535,30
2.6,4,-0.211,-2.951,30
2.6,5,8.274,-11.436,30
2.6,6,-21.425,1.292,30
2.6,7,-12.939,-7.193,30
2.6,8,-4.454,-15.679,30
2.6,9,4.031,-24.164,30
2.6,10,-34.153,-2.951,30
2.6,11,-25.667,-11.436,30
2.6,12,-17.182,-19.921,30
2.6,13,-8.697,-28.407,30
2.6,14,-0.211,-36.892,30
2.8,0,18.424,15.375,30
2.8,1,5.696,11.132,30
2.8,2,14.181,2.647,30
2.8,3,-7.032,6.89,30
2.8,4,1.454,-1.596,30
2.8,5,9.939,-10.081,30
2.8,6,-19.76,2.647,30
2.8,7,-11.274,-5.838,30
2.8,8,-2.789,-14.324,30
2.8,9,5.696,-22.809,30
2.8,10,-32.488,-1.596,30
2.8,11,-24.002,-10.081,30
2.8,12,-15.517,-18.566,30
2.8,13,-7.032,-27.052,30
2.8,14,1.454,-35.537,30
3,0,20.094,16.735,30
3,1,7.366,12.492,30
3,2,15.851,4.007,30
3,3,-5.362,8.25,30
3,4,3.123,-0.236,30
3,5,11.608,-8.721,30
3,6,-18.09,4.007,30
3,7,-9.605,-4.478,30
3,8,-1.12,-12.963,30
3,9,7.366,-21.449,30
3,10,-30.818,-0.236,30
3,11,-22.333,-8.721,30
3,12,-13.847,-17.206,30
3,13,-5.362,-25.691,30
3,14,3.123,-34.177,30
3.2,0,21.758,18.093,30
3.2,1,9.03,13.85,30
3.2,2,17.516,5.365,30
3.2,3,-3.698,9.607,30
3.2,4,4.788,1.122,30
3.2,5,13.273,-7.363,30
3.2,6,-16.426,5.365,30
3.2,7,-7.94,-3.12,30
3.2,8,0.545,-11.606,30
3.2,9,9.03,-20.091,30
3.2,10,-29.153,1.122,30
3.2,11,-20.668,-7.363,30
3.2,12,-12.183,-15.848,30
3.2,13,-3.698,-24.334,30
3.2,14,4.788,-32.819,30
3.4,0,23.409,19.441,30
3.4,1,10.682,15.199,30
3.4,2,19.167,6.713,30
3.4,3,-2.046,10.956,30
3.4,4,6.439,2.471,30
3.4,5,14.924,-6.015,30
3.4,6,-14.774,6.713,30
3.4,7,-6.289,-1.772,30
3.4,8,2.196,-10.257,30
3.4,9,10.682,-18.742,30
3.4,10,-27.502,2.471,30
3.4,11,-19.017,-6.015,30
3.4,12,-10.532,-14.5,30
3.4,13,-2.046,-22.985,30
3.4,14,6.439,-31.47,30
3.6,0,25.04,20.775,30
3.6,1,12.312,16.532,30
3.6,2,20.798,8.047,30
3.6,3,-0.415,12.29,30
3.6,4,8.07,3.805,30
3.6,5,16.555,-4.681,30
3.6,6,-13.143,8.047,30
3.6,7,-4.658,-0.438,30
3.6,8,3.827,-8.923,30
3.6,9,12.312,-17.409,30
3.6,10,-25.871,3.805,30
3.6,11,-17.386,-4.681,30
3.6,12,-8.901,-13.166,30
3.6,13,-0.415,-21.651,30
3.6,14,8.07,-30.137,30
3.8,0,26.645,22.09,30
3.8,1,13.917,17.847,30
3.8,2,22.403,9.362,30
3.8,3,1.189,13.604,30
3.8,4,9.675,5.119,30
3.8,5,18.16,-3.366,30
3.8,6,-11.538,9.362,30
3.8,7,-3.053,0.876,30
3.8,8,5.432,-7.609,30
3.8,9,13.917,-16.094,30
3.8,10,-24.266,5.119,30
3.8,11,-15.781,-3.366,30
3.8,12,-7.296,-11.852,30
3.8,13,1.189,-20.337,30
3.8,14,9.675,-28.822,30
4,0,28.22,23.381,30
4,1,15.492,19.139,30
