time,uav0_pdr,uav0_delay,uav0_throughput,uav1_pdr,uav1_delay,uav1_throughput,uav2_pdr,uav2_delay,uav2_throughput,uav3_pdr,uav3_delay,uav3_throughput,uav4_pdr,uav4_delay,uav4_throughput,uav5_pdr,uav5_delay,uav5_throughput,uav6_pdr,uav6_delay,uav6_throughput,uav7_pdr,uav7_delay,uav7_throughput,uav8_pdr,uav8_delay,uav8_throughput,uav9_pdr,uav9_delay,uav9_throughput,uav10_pdr,uav10_delay,uav10_throughput,uav11_pdr,uav11_delay,uav11_throughput,uav12_pdr,uav12_delay,uav12_throughput,uav13_pdr,uav13_delay,uav13_throughput,uav14_pdr,uav14_delay,uav14_throughput
0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.2,0,0,0,0,0,0,0,0,0,0.5,0.00122712,38254.5,0.5,0.00105486,34429.1,0,0,0,0.5,0.0012171,26778.2,0.5,0.00131378,22952.7,0.5,0.00083303,15301.8,0,0,0,0.5,0.00112229,7650.91,0.5,0.00443556,3825.45,0,0,0,0,0,0,0,0,0
3.2,0,0,0,0,0,0,0,0,0,0.5,0.000960283,60490,0.5,0.000883522,55230,0,0,0,0.5,0.000925259,49970,0.5,0.000941272,47340,0.5,0.000791645,44710,0,0,0,0.5,0.000807487,36820,0.5,0.00103814,34190,0.5,0.00111436,31560,0.5,0.000879374,26300,0,0,0
4.2,0,0,0,0,0,0,0,0,0,0.5,0.000889907,70133.3,0.5,0.000834389,68129.5,0,0,0,0.5,0.00085936,62118.1,0.5,0.000866771,60114.3,0.5,0.00077649,58110.5,0,0,0,0.5,0.000783272,52099,0.5,0.000902242,50095.2,0.5,0.000934688,48091.4,0.5,0.000809087,46087.6,0,0,0
5.2,0,0,0,0,0,0,0,0,0,0.5,0.000855468,76067.7,0.5,0.000813684,74449.2,0,0,0,0.5,0.000830242,69593.8,0.5,0.000834842,67975.4,0.5,0.000770206,66356.9,0,0,0,0.5,0.000773854,63120,0.5,0.000854494,59883.1,0.5,0.000874799,58264.6,0.5,0.00079055,56646.2,0,0,0
6.2,0,0,0,0,0,0,0,0,0,0.466102,0.000840857,74658.1,0.474138,0.0018528,74658.1,0,0,0,0.5,0.00081278,76015.5,0.5,0.000817104,73300.6,0.5,0.000766768,71943.2,0,0,0,0.5,0.000769423,69228.4,0.5,0.000828631,67871,0.5,0.000844854,65156.1,0.5,0.000781478,63798.7,0,0,0
7.2,0,0,0,0,0,0,0,0,0,0.388889,0.000890539,65457.8,0.428571,0.0193056,70133.3,0,0,0,0.5,0.000802587,79484.4,0.5,0.000805058,78315.6,0.5,0.000770506,75977.8,0,0,0,0.5,0.000766679,73640,0.5,0.000814384,72471.1,0.5,0.000825709,71302.2,0.5,0.000776097,68964.4,0,0,0
8.2,0,0,0,0,0,0,0,0,0,0.339286,0.00090188,58501.5,0.361446,0.0193056,61580.5,0,0,0,0.5,0.000795452,82107.3,0.493671,0.000798001,80054.6,0.487179,0.00101486,78002,0,0,0,0.5,0.000764814,76975.6,0.5,0.000804757,75949.3,0.5,0.000814089,74922.9,0.5,0.000772291,73896.6,0,0,0
9.2,0,0,0,0,0,0,0,0,0,0.302083,0.00100774,53057.4,0.315789,0.0193056,54887,0,0,0,0.5,0.000790178,84160,0.461538,0.0013228,76841.7,0.427778,0.00367578,70438.3,0,0,0,0.5,0.000763463,79586.1,0.5,0.000797817,78671.3,0.5,0.00083238,77756.5,0.5,0.000769824,76841.7,0,0,0
