time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,14.8788,8.5606,14,0.08
0.2,1,1,13.6747,9.16264,14,0.08
0.2,2,2,13.6746,9.16268,14,0.08
0.2,3,0,13.1765,9.41175,14,0.08
0.2,4,0,12.7665,9.61676,14,0.08
0.2,5,0,13.1765,9.41174,14,0.08
0.2,6,0,13.4747,9.26267,14,0.08
0.2,7,0,12.7258,9.63711,14,0.08
0.2,8,0,12.7258,9.63712,14,0.08
0.2,9,0,13.4747,9.26267,14,0.08
0.2,10,0,14.532,8.734,14,0.08
0.2,11,0,13.5788,9.21058,14,0.08
0.2,12,0,13.2453,9.37734,14,0.08
0.2,13,0,13.5788,9.2106,14,0.08
0.2,14,0,14.5319,8.73403,14,0.08
5.2,0,0,14.8788,8.5606,14,0.08
5.2,1,1,13.6747,9.16264,14,0.08
5.2,2,2,13.6746,9.16268,14,0.08
5.2,3,0,13.1765,9.41175,14,0.08
5.2,4,0,12.7665,9.61677,14,0.08
5.2,5,0,13.1765,9.41174,14,0.08
5.2,6,0,13.4747,9.26266,14,0.08
5.2,7,0,12.7257,9.63713,14,0.08
5.2,8,0,12.7257,9.63713,14,0.08
5.2,9,0,13.4746,9.26268,14,0.08
5.2,10,0,14.532,8.73399,14,0.08
5.2,11,0,13.5788,9.21062,14,0.08
5.2,12,0,13.2453,9.37735,14,0.08
5.2,13,0,13.5788,9.21061,14,0.08
5.2,14,0,14.5319,8.73404,14,0.08
10.2,0,0,14.8787,8.56063,14,0.08
10.2,1,1,13.6747,9.16266,14,0.08
10.2,2,2,13.6747,9.16263,14,0.08
10.2,3,0,13.1765,9.41176,14,0.08
10.2,4,0,12.7665,9.61676,14,0.08
10.2,5,0,13.1765,9.41175,14,0.08
10.2,6,0,13.4747,9.26264,14,0.08
10.2,7,0,12.7258,9.63712,14,0.08
10.2,8,0,12.7258,9.63711,14,0.08
10.2,9,0,13.4746,9.26268,14,0.08
10.2,10,0,14.5319,8.73404,14,0.08
10.2,11,0,13.5788,9.21061,14,0.08
10.2,12,0,13.2453,9.37733,14,0.08
10.2,13,0,13.5788,9.21059,14,0.08
10.2,14,0,14.532,8.73401,14,0.08
15.2,0,0,14.8789,8.56057,14,0.08
15.2,1,1,13.6747,9.16266,14,0.08
