FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1561,0,100%
2,0,7,1561,0,100%
3,1,2,1560,0,100%
4,1,8,1560,0,100%
5,2,3,1558,0,100%
6,2,9,1558,0,100%
7,3,4,1557,1493,4.11047%
8,3,10,1557,0,100%
9,4,5,1556,1474,5.26992%
10,4,11,1556,0,100%
11,5,6,1555,0,100%
12,5,12,1555,0,100%
13,6,7,1553,1553,0%
14,6,13,1553,0,100%
15,7,8,1552,1524,1.80412%
16,7,14,1552,0,100%
17,8,9,1551,1481,4.51322%
18,8,0,1551,0,100%
19,9,10,1550,0,100%
20,9,1,1550,0,100%
21,10,11,1549,1549,0%
22,10,2,1549,0,100%
23,11,12,1547,1547,0%
24,11,3,1547,0,100%
25,12,13,1546,1546,0%
26,12,4,1546,0,100%
27,13,14,1545,1494,3.30097%
28,13,5,1545,0,100%
29,14,0,1544,0,100%
30,14,6,1544,0,100%
