time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,20,6,14,0.16
0.2,1,0,20,6,14,0.16
0.2,2,0,20,6,14,0.16
0.2,3,0,20,6,14,0.16
0.2,4,0,20,6,14,0.16
0.2,5,0,20,6,14,0.16
0.2,6,0,20,6,14,0.16
0.2,7,0,20,6,14,0.16
0.2,8,0,20,6,14,0.16
0.2,9,0,20,6,14,0.16
0.2,10,0,20,6,14,0.16
0.2,11,0,20,6,13,0.15
0.2,12,0,20,6,13,0.15
0.2,13,0,20,6,12,0.14
0.2,14,0,20,6,12,0.14
5.2,0,0,20,6,14,0.16
5.2,1,0,20,6,14,0.16
5.2,2,0,20,6,14,0.16
5.2,3,0,20,6,14,0.16
5.2,4,0,20,6,14,0.16
5.2,5,0,20,6,14,0.16
5.2,6,0,20,6,14,0.16
5.2,7,0,20,6,14,0.16
5.2,8,0,20,6,14,0.16
5.2,9,0,20,6,14,0.16
5.2,10,0,20,6,14,0.16
5.2,11,0,20,6,13,0.15
5.2,12,0,20,6,13,0.15
5.2,13,0,20,6,12,0.14
5.2,14,0,20,6,12,0.14
10.2,0,0,20,6,14,0.16
10.2,1,0,20,6,14,0.16
10.2,2,0,20,6,14,0.16
10.2,3,0,20,6,14,0.16
10.2,4,0,20,6,14,0.16
10.2,5,0,20,6,14,0.16
10.2,6,0,20,6,14,0.16
10.2,7,0,20,6,14,0.16
10.2,8,0,20,6,14,0.16
10.2,9,0,20,6,14,0.16
10.2,10,0,20,6,14,0.16
10.2,11,0,20,6,13,0.15
10.2,12,0,20,6,13,0.15
10.2,13,0,20,6,12,0.14
10.2,14,0,20,6,12,0.14
15.2,0,0,20,6,14,0.16
15.2,1,0,20,6,14,0.16
15.2,2,0,20,6,14,0.16
15.2,3,0,20,6,14,0.16
15.2,4,0,20,6,14,0.16
15.2,5,0,20,6,14,0.16
15.2,6,0,20,6,14,0.16
15.2,7,0,20,6,14,0.16
15.2,8,0,20,6,14,0.16
15.2,9,0,20,6,14,0.16
15.2,10,0,20,6,14,0.16
15.2,11,0,20,6,13,0.15
15.2,12,0,20,6,13,0.15
15.2,13,0,20,6,12,0.14
15.2,14,0,20,6,12,0.14
20.2,0,0,20,6,14,0.16
20.2,1,0,20,6,14,0.16
20.2,2,0,20,6,14,0.16
20.2,3,0,20,6,14,0.16
20.2,4,0,20,6,14,0.16
20.2,5,0,20,6,14,0.16
20.2,6,0,20,6,14,0.16
20.2,7,0,20,6,14,0.16
