FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,2429,2405,0.988061%
2,0,7,2429,262,89.2137%
3,1,2,2427,1155,52.4104%
4,1,8,2427,223,90.8117%
5,2,3,2426,928,61.7477%
6,2,9,2426,101,95.8368%
7,3,4,2425,594,75.5052%
8,3,10,2425,53,97.8144%
9,4,5,2424,379,84.3647%
10,4,11,2424,0,100%
11,5,6,2423,224,90.7553%
12,5,12,2423,0,100%
13,6,7,2421,177,92.689%
14,6,13,2421,0,100%
15,7,8,2420,60,97.5207%
16,7,14,2420,0,100%
17,8,9,2419,0,100%
18,8,0,2419,262,89.1691%
19,9,10,2418,0,100%
20,9,1,2418,135,94.4169%
21,10,11,2416,9,99.6275%
22,10,2,2416,161,93.3361%
23,11,12,2415,6,99.7516%
24,11,3,2415,153,93.6646%
25,12,13,2414,0,100%
26,12,4,2414,131,94.5733%
27,13,14,2413,0,100%
28,13,5,2413,0,100%
29,14,0,2412,0,100%
30,14,6,2412,37,98.466%
