time,num_links,connectivity
time,num_links,connectivity
0,102,0.971429
0.2,102,0.971429
0.4,102,0.971429
0.6,102,0.971429
0.8,102,0.971429
1,102,0.971429
1.2,102,0.971429
1.4,102,0.971429
1.6,102,0.971429
1.8,102,0.971429
2,102,0.971429
2.2,102,0.971429
2.4,102,0.971429
2.6,102,0.971429
2.8,102,0.971429
3,102,0.971429
3.2,102,0.971429
3.4,102,0.971429
3.6,102,0.971429
3.8,102,0.971429
4,102,0.971429
4.2,102,0.971429
4.4,102,0.971429
4.6,102,0.971429
4.8,102,0.971429
5,102,0.971429
5.2,102,0.971429
5.4,102,0.971429
5.6,102,0.971429
5.8,102,0.971429
6,102,0.971429
6.2,102,0.971429
6.4,102,0.971429
6.6,102,0.971429
6.8,102,0.971429
7,102,0.971429
7.2,102,0.971429
7.4,102,0.971429
7.6,102,0.971429
7.8,102,0.971429
8,102,0.971429
8.2,102,0.971429
8.4,102,0.971429
8.6,102,0.971429
8.8,102,0.971429
9,102,0.971429
9.2,102,0.971429
9.4,102,0.971429
9.6,102,0.971429
9.8,102,0.971429
10,102,0.971429
10.2,102,0.971429
10.4,102,0.971429
10.6,102,0.971429
10.8,102,0.971429
11,102,0.971429
11.2,102,0.971429
11.4,102,0.971429
11.6,102,0.971429
11.8,102,0.971429
12,102,0.971429
12.2,102,0.971429
12.4,102,0.971429
12.6,102,0.971429
12.8,102,0.971429
13,102,0.971429
13.2,102,0.971429
13.4,102,0.971429
13.6,102,0.971429
13.8,102,0.971429
14,102,0.971429
14.2,102,0.971429
14.4,102,0.971429
14.6,102,0.971429
14.8,102,0.971429
15,102,0.971429
15.2,102,0.971429
15.4,102,0.971429
15.6,102,0.971429
15.8,102,0.971429
16,102,0.971429
16.2,102,0.971429
16.4,102,0.971429
16.6,102,0.971429
16.8,102,0.971429
17,102,0.971429
17.2,102,0.971429
17.4,102,0.971429
17.6,102,0.971429
17.8,102,0.971429
18,102,0.971429
18.2,102,0.971429
18.4,102,0.971429
18.6,102,0.971429
18.8,102,0.971429
19,102,0.971429
19.2,102,0.971429
19.4,102,0.971429
19.6,102,0.971429
19.8,102,0.971429
20,102,0.971429
20.2,102,0.971429
20.4,102,0.971429
20.6,102,0.971429
20.8,102,0.971429
21,102,0.971429
21.2,102,0.971429
21.4,102,0.971429
21.6,102,0.971429
21.8,102,0.971429
22,102,0.971429
22.2,102,0.971429
22.4,102,0.971429
22.6,102,0.971429
22.8,102,0.971429
23,102,0.971429
23.2,102,0.971429
23.4,102,0.971429
23.6,102,0.971429
23.8,102,0.971429
24,102,0.971429
24.2,102,0.971429
24.4,102,0.971429
24.6,102,0.971429
24.8,102,0.971429
25,102,0.971429
25.2,102,0.971429
25.4,102,0.971429
25.6,102,0.971429
25.8,102,0.971429
26,102,0.971429
26.2,102,0.971429
26.4,102,0.971429
26.6,102,0.971429
26.8,102,0.971429
27,102,0.971429
27.2,102,0.971429
27.4,102,0.971429
27.6,102,0.971429
27.8,102,0.971429
28,102,0.971429
28.2,102,0.971429
28.4,102,0.971429
28.6,102,0.971429
28.8,102,0.971429
29,102,0.971429
29.2,102,0.971429
29.4,102,0.971429
29.6,102,0.971429
29.8,102,0.971429
30,102,0.971429
30.2,102,0.971429
30.4,102,0.971429
30.6,102,0.971429
30.8,102,0.971429
31,102,0.971429
31.2,102,0.971429
31.4,102,0.971429
31.6,102,0.971429
31.8,102,0.971429
32,102,0.971429
32.2,102,0.971429
32.4,102,0.971429
32.6,103,0.980952
32.8,103,0.980952
33,103,0.980952
33.2,104,0.990476
33.4,104,0.990476
33.6,104,0.990476
33.8,104,0.990476
34,104,0.990476
34.2,104,0.990476
34.4,104,0.990476
34.6,105,1
34.8,105,1
35,105,1
35.2,105,1
35.4,105,1
35.6,105,1
35.8,105,1
36,105,1
36.2,105,1
36.4,105,1
36.6,105,1
36.8,105,1
37,105,1
37.2,105,1
37.4,105,1
37.6,105,1
37.8,105,1
38,105,1
38.2,105,1
38.4,105,1
38.6,105,1
38.8,105,1
39,105,1
39.2,105,1
39.4,105,1
39.6,105,1
39.8,105,1
40,105,1
40.2,105,1
40.4,105,1
40.6,105,1
40.8,105,1
41,105,1
41.2,105,1
41.4,105,1
41.6,105,1
41.8,105,1
42,105,1
42.2,105,1
42.4,105,1
42.6,105,1
42.8,105,1
43,105,1
43.2,105,1
43.4,105,1
43.6,105,1
43.8,105,1
44,105,1
44.2,105,1
44.4,105,1
44.6,105,1
44.8,105,1
45,105,1
45.2,105,1
45.4,105,1
45.6,105,1
45.8,105,1
46,105,1
46.2,105,1
46.4,105,1
46.6,105,1
46.8,105,1
47,105,1
47.2,105,1
47.4,105,1
47.6,105,1
47.8,105,1
48,105,1
48.2,105,1
48.4,105,1
48.6,105,1
48.8,105,1
49,105,1
49.2,105,1
49.4,105,1
49.6,105,1
49.8,105,1
50,105,1
50.2,105,1
50.4,105,1
50.6,105,1
50.8,105,1
51,105,1
51.2,105,1
51.4,105,1
51.6,105,1
51.8,105,1
52,105,1
52.2,105,1
52.4,105,1
52.6,105,1
52.8,105,1
53,105,1
53.2,105,1
53.4,105,1
53.6,105,1
53.8,105,1
54,105,1
54.2,105,1
54.4,105,1
54.6,105,1
54.8,105,1
55,105,1
55.2,105,1
55.4,105,1
55.6,105,1
55.8,105,1
56,105,1
56.2,105,1
56.4,105,1
56.6,105,1
56.8,105,1
57,105,1
57.2,105,1
57.4,105,1
57.6,105,1
57.8,105,1
58,105,1
58.2,105,1
58.4,105,1
58.6,105,1
58.8,105,1
59,105,1
59.2,105,1
59.4,105,1
59.6,105,1
59.8,105,1
60,105,1
60.2,105,1
60.4,105,1
60.6,105,1
60.8,105,1
61,105,1
61.2,105,1
61.4,105,1
61.6,105,1
61.8,105,1
62,105,1
62.2,105,1
62.4,105,1
62.6,105,1
62.8,105,1
63,105,1
63.2,105,1
63.4,105,1
63.6,105,1
63.8,105,1
64,105,1
64.2,105,1
64.4,105,1
64.6,105,1
64.8,105,1
65,105,1
65.2,105,1
65.4,105,1
65.6,105,1
65.8,105,1
66,105,1
66.2,105,1
66.4,105,1
66.6,105,1
66.8,105,1
67,105,1
67.2,105,1
67.4,105,1
67.6,105,1
67.8,105,1
68,105,1
68.2,105,1
68.4,105,1
68.6,105,1
68.8,104,0.990476
69,104,0.990476
69.2,104,0.990476
69.4,104,0.990476
69.6,104,0.990476
69.8,103,0.980952
70,103,0.980952
70.2,102,0.971429
70.4,102,0.971429
70.6,102,0.971429
70.8,102,0.971429
71,102,0.971429
71.2,102,0.971429
71.4,101,0.961905
71.6,101,0.961905
71.8,101,0.961905
72,100,0.952381
72.2,100,0.952381
72.4,100,0.952381
72.6,100,0.952381
72.8,101,0.961905
73,101,0.961905
73.2,101,0.961905
73.4,101,0.961905
73.6,100,0.952381
73.8,100,0.952381
74,100,0.952381
74.2,100,0.952381
74.4,100,0.952381
74.6,100,0.952381
74.8,100,0.952381
75,100,0.952381
75.2,100,0.952381
75.4,101,0.961905
75.6,101,0.961905
75.8,101,0.961905
76,101,0.961905
76.2,102,0.971429
76.4,102,0.971429
76.6,102,0.971429
76.8,102,0.971429
77,102,0.971429
77.2,103,0.980952
77.4,103,0.980952
77.6,103,0.980952
77.8,103,0.980952
78,103,0.980952
78.2,104,0.990476
78.4,104,0.990476
78.6,104,0.990476
78.8,104,0.990476
79,104,0.990476
79.2,105,1
79.4,105,1
79.6,105,1
79.8,105,1
80,105,1
80.2,105,1
80.4,105,1
80.6,105,1
80.8,105,1
81,105,1
81.2,105,1
81.4,105,1
81.6,105,1
81.8,105,1
82,105,1
82.2,105,1
82.4,105,1
82.6,105,1
82.8,105,1
83,105,1
83.2,105,1
83.4,105,1
83.6,105,1
83.8,105,1
84,105,1
84.2,105,1
