time,nodeId,eventType
1.3026,22,Tx Data
1.313,19,Tx Data
1.3156,16,Tx Data
1.3208,16,Tx Data
1.3208,21,Tx Data
1.32768,0,Tx Data
1.3286,16,Tx Data
1.3286,21,Tx Data
1.3338,19,Tx Data
1.3364,19,Tx Data
1.339,19,Tx Data
1.3416,15,Tx Data
1.3468,16,Tx Data
1.352,16,Tx Data
1.3572,16,Tx Data
1.3572,21,Tx Data
1.3598,15,Tx Data
1.365,15,Tx Data
1.36703,9,Rx Data
1.3676,16,Tx Data
1.3702,20,Tx Data
1.3702,21,Tx Data
1.3702,22,Tx Data
1.3728,18,Tx Data
1.3754,17,Tx Data
1.378,17,Tx Data
1.3884,17,Tx Data
1.391,19,Tx Data
1.391,21,Tx Data
1.3936,15,Tx Data
1.3936,16,Tx Data
1.3962,16,Tx Data
1.3962,21,Tx Data
1.4066,19,Tx Data
1.4092,18,Tx Data
1.4118,19,Tx Data
1.4118,22,Tx Data
1.4144,20,Tx Data
1.4144,21,Tx Data
1.4144,22,Tx Data
1.417,22,Tx Data
1.4196,18,Tx Data
1.4196,21,Tx Data
1.4248,15,Tx Data
1.4248,21,Tx Data
1.43,21,Tx Data
1.4326,18,Tx Data
1.4352,16,Tx Data
1.4352,18,Tx Data
1.4352,19,Tx Data
1.4404,15,Tx Data
1.443,16,Tx Data
1.44888,9,Rx Data
1.4534,19,Tx Data
1.456,15,Tx Data
1.4638,17,Tx Data
1.4664,22,Tx Data
1.469,17,Tx Data
1.4716,21,Tx Data
1.4742,19,Tx Data
1.4898,15,Tx Data
1.4898,19,Tx Data
1.4924,21,Tx Data
1.49472,7,Rx Data
1.4976,17,Tx Data
1.4976,22,Tx Data
1.5028,16,Tx Data
1.508,22,Tx Data
1.5132,16,Tx Data
1.5158,17,Tx Data
1.5184,16,Tx Data
1.5184,18,Tx Data
1.5184,21,Tx Data
1.521,15,Tx Data
1.534,17,Tx Data
1.5418,20,Tx Data
1.5418,21,Tx Data
1.5444,16,Tx Data
1.5444,19,Tx Data
1.54576,3,Tx Data
1.54887,10,Rx Data
1.5496,15,Tx Data
1.5496,18,Tx Data
1.5496,20,Tx Data
1.5496,22,Tx Data
1.56,17,Tx Data
1.5626,18,Tx Data
1.5652,16,Tx Data
1.5652,19,Tx Data
1.5678,19,Tx Data
1.5782,17,Tx Data
1.5808,17,Tx Data
1.5834,19,Tx Data
1.586,15,Tx Data
1.5912,21,Tx Data
1.5938,15,Tx Data
1.59473,8,Rx Data
1.6042,21,Tx Data
1.612,21,Tx Data
1.612,22,Tx Data
1.6146,20,Tx Data
1.625,15,Tx Data
1.6328,18,Tx Data
1.638,20,Tx Data
1.6406,22,Tx Data
1.6432,17,Tx Data
1.6432,19,Tx Data
1.651,15,Tx Data
1.6536,18,Tx Data
1.6536,19,Tx Data
1.6562,15,Tx Data
1.6562,21,Tx Data
1.65687,1,Rx Data
1.664,16,Tx Data
1.6744,22,Tx Data
1.67495,2,Rx Data
1.6796,17,Tx Data
1.6796,21,Tx Data
1.6796,22,Tx Data
1.68192,6,Tx Data
1.6822,18,Tx Data
1.6848,15,Tx Data
1.6848,22,Tx Data
1.69,18,Tx Data
1.69,19,Tx Data
1.6952,17,Tx Data
1.6952,20,Tx Data
1.6978,21,Tx Data
1.7082,22,Tx Data
1.7108,17,Tx Data
1.716,21,Tx Data
1.7264,15,Tx Data
1.7264,22,Tx Data
1.72768,4,Tx Data
1.729,16,Tx Data
1.729,22,Tx Data
1.7316,15,Tx Data
1.7342,15,Tx Data
1.7342,18,Tx Data
1.7368,15,Tx Data
1.7446,17,Tx Data
1.7446,18,Tx Data
1.7498,18,Tx Data
1.7498,22,Tx Data
1.7524,17,Tx Data
1.7524,22,Tx Data
1.755,16,Tx Data
1.7576,18,Tx Data
1.7576,20,Tx Data
1.7628,22,Tx Data
1.7654,21,Tx Data
1.768,18,Tx Data
1.768,19,Tx Data
1.7732,18,Tx Data
1.7732,21,Tx Data
1.7758,15,Tx Data
1.7758,16,Tx Data
1.781,16,Tx Data
1.7836,17,Tx Data
1.7862,17,Tx Data
1.7966,16,Tx Data
1.8044,15,Tx Data
1.8122,19,Tx Data
1.8148,18,Tx Data
1.82,22,Tx Data
1.8226,20,Tx Data
1.8226,22,Tx Data
1.8278,17,Tx Data
1.8304,18,Tx Data
1.8356,16,Tx Data
1.8356,17,Tx Data
1.8356,19,Tx Data
1.83728,1,Tx Data
1.83728,1,Tx Data
1.8408,22,Tx Data
1.8434,16,Tx Data
1.8434,19,Tx Data
