time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
5.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
10.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
15.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
20.2,0,19.0509,6.47455,0,18.2733,6.86337,0,18.2733,6.86337,0,18.1025,6.94875,0,18.1025,6.94875,0,18.4311,6.78443,0,18.4311,6.78443,0,19.201,6.3995,0,19.201,6.3995,0,20.3765,5.81175,0,20.3765,5.81175,2,21.2479,5.37605,1,21.2479,5.37605,1,22.5641,4.71797,2,22.5641,4.71797
25.2,0,18.8557,6.57216,0,18.241,6.8795,0,18.1112,6.9444,0,18.061,6.96948,0,18.0515,6.97427,0,18.385,6.80752,0,18.4114,6.79428,0,19.1523,6.42385,0,19.1807,6.40967,0,20.3263,5.83683,0,20.356,5.82202,2,21.1927,5.40366,1,21.2255,5.38726,1,22.5035,4.74824,2,22.5397,4.73013
30.2,0,18.793,6.60349,0,18.2496,6.87518,0,18.0111,6.99446,0,18.043,6.97851,0,17.9044,7.04779,0,18.3444,6.8278,0,18.3358,6.8321,0,19.0969,6.45157,0,19.1511,6.42447,0,20.2606,5.86969,0,20.3043,5.84783,2,21.1141,5.44294,1,21.1433,5.42837,1,22.4119,4.79403,2,22.4496,4.77518
35.2,0,19.8554,6.07228,0,18.5604,6.71979,0,18.1389,6.93056,0,18.0878,6.95608,0,17.6493,7.17533,0,18.2096,6.89519,0,18.2245,6.88776,0,18.8355,6.58226,0,19.4457,6.27713,0,19.9084,6.0458,0,20.8199,5.59005,2,20.6621,5.66893,1,21.5763,5.21187,1,21.0672,5.4664,2,22.3786,4.81072
40.2,0,20.0457,5.97716,0,18.9396,6.5302,0,19.4977,6.25117,0,18.387,6.80652,0,17.6981,7.15095,0,18.3658,6.8171,0,18.4565,6.77174,0,18.8841,6.55795,0,19.6656,6.16719,0,19.8807,6.05967,0,22.1335,4.93327,2,19.7498,6.12509,1,21.8164,5.09181,1,20.7669,5.61655,2,22.653,4.67349
45.2,0,19.9787,6.01063,0,19.0081,6.49595,0,19.3521,6.32395,0,18.5872,6.70641,0,19.5578,6.2211,0,18.6349,6.68253,0,19.0193,6.49037,0,19.1599,6.42007,0,20.0327,5.98363,0,20.1616,5.91919,0,22.5346,4.73269,2,19.0778,6.46108,1,22.6705,4.66473,1,21.0078,5.49609,2,23.1057,4.44713
