time,nodeId,x,y,z
0,0,0.332,0.332,30
0,1,-16.639,0.332,30
0,2,0.332,-16.639,30
0,3,-33.609,0.332,30
0,4,0.332,-33.609,30
0,5,-50.58,0.332,30
0,6,0.332,-50.58,30
0,7,-67.55,0.332,30
0,8,0.332,-67.55,30
0,9,-84.521,0.332,30
0,10,0.332,-84.521,30
0,11,-101.491,0.332,30
0,12,0.332,-101.491,30
0,13,-118.462,0.332,30
0,14,0.332,-118.462,30
0.2,0,1.045,1.045,30
0.2,1,-15.926,1.045,30
0.2,2,1.045,-15.926,30
0.2,3,-32.897,1.045,30
0.2,4,1.045,-32.897,30
0.2,5,-49.867,1.045,30
0.2,6,1.045,-49.867,30
0.2,7,-66.838,1.045,30
0.2,8,1.045,-66.838,30
0.2,9,-83.808,1.045,30
0.2,10,1.045,-83.808,30
0.2,11,-100.779,1.045,30
0.2,12,1.045,-100.779,30
0.2,13,-117.749,1.045,30
0.2,14,1.045,-117.749,30
0.4,0,1.831,1.831,30
0.4,1,-15.14,1.831,30
0.4,2,1.831,-15.14,30
0.4,3,-32.111,1.831,30
0.4,4,1.831,-32.111,30
0.4,5,-49.081,1.831,30
0.4,6,1.831,-49.081,30
0.4,7,-66.052,1.831,30
0.4,8,1.831,-66.052,30
0.4,9,-83.022,1.831,30
0.4,10,1.831,-83.022,30
0.4,11,-99.993,1.831,30
0.4,12,1.831,-99.993,30
0.4,13,-116.963,1.831,30
0.4,14,1.831,-116.963,30
0.6,0,2.698,2.698,30
0.6,1,-14.273,2.698,30
0.6,2,2.698,-14.273,30
0.6,3,-31.243,2.698,30
0.6,4,2.698,-31.243,30
0.6,5,-48.214,2.698,30
0.6,6,2.698,-48.214,30
0.6,7,-65.185,2.698,30
0.6,8,2.698,-65.185,30
0.6,9,-82.155,2.698,30
0.6,10,2.698,-82.155,30
0.6,11,-99.126,2.698,30
0.6,12,2.698,-99.126,30
0.6,13,-116.096,2.698,30
0.6,14,2.698,-116.096,30
0.8,0,3.65,3.65,30
0.8,1,-13.32,3.65,30
0.8,2,3.65,-13.32,30
0.8,3,-30.291,3.65,30
0.8,4,3.65,-30.291,30
0.8,5,-47.261,3.65,30
0.8,6,3.65,-47.261,30
0.8,7,-64.232,3.65,30
0.8,8,3.65,-64.232,30
0.8,9,-81.202,3.65,30
0.8,10,3.65,-81.202,30
0.8,11,-98.173,3.65,30
0.8,12,3.65,-98.173,30
0.8,13,-115.144,3.65,30
0.8,14,3.65,-115.144,30
1,0,4.689,4.689,30
1,1,-12.281,4.689,30
1,2,4.689,-12.281,30
1,3,-29.252,4.689,30
1,4,4.689,-29.252,30
1,5,-46.222,4.689,30
1,6,4.689,-46.222,30
1,7,-63.193,4.689,30
1,8,4.689,-63.193,30
1,9,-80.164,4.689,30
1,10,4.689,-80.164,30
1,11,-97.134,4.689,30
1,12,4.689,-97.134,30
1,13,-114.105,4.689,30
1,14,4.689,-114.105,30
1.2,0,5.813,5.813,30
1.2,1,-11.158,5.813,30
1.2,2,5.813,-11.158,30
1.2,3,-28.129,5.813,30
1.2,4,5.813,-28.129,30
1.2,5,-45.099,5.813,30
1.2,6,5.813,-45.099,30
1.2,7,-62.07,5.813,30
1.2,8,5.813,-62.07,30
1.2,9,-79.04,5.813,30
1.2,10,5.813,-79.04,30
1.2,11,-96.011,5.813,30
1.2,12,5.813,-96.011,30
1.2,13,-112.981,5.813,30
1.2,14,5.813,-112.981,30
1.4,0,7.016,7.016,30
1.4,1,-9.955,7.016,30
1.4,2,7.016,-9.955,30
1.4,3,-26.925,7.016,30
1.4,4,7.016,-26.925,30
1.4,5,-43.896,7.016,30
1.4,6,7.016,-43.896,30
1.4,7,-60.866,7.016,30
1.4,8,7.016,-60.866,30
1.4,9,-77.837,7.016,30
1.4,10,7.016,-77.837,30
1.4,11,-94.808,7.016,30
1.4,12,7.016,-94.808,30
1.4,13,-111.778,7.016,30
1.4,14,7.016,-111.778,30
1.6,0,8.292,8.292,30
1.6,1,-8.678,8.292,30
1.6,2,8.292,-8.678,30
1.6,3,-25.649,8.292,30
1.6,4,8.292,-25.649,30
1.6,5,-42.619,8.292,30
1.6,6,8.292,-42.619,30
1.6,7,-59.59,8.292,30
1.6,8,8.292,-59.59,30
1.6,9,-76.56,8.292,30
1.6,10,8.292,-76.56,30
1.6,11,-93.531,8.292,30
1.6,12,8.292,-93.531,30
1.6,13,-110.501,8.292,30
1.6,14,8.292,-110.501,30
1.8,0,9.634,9.634,30
1.8,1,-7.336,9.634,30
1.8,2,9.634,-7.336,30
1.8,3,-24.307,9.634,30
1.8,4,9.634,-24.307,30
1.8,5,-41.277,9.634,30
1.8,6,9.634,-41.277,30
1.8,7,-58.248,9.634,30
1.8,8,9.634,-58.248,30
1.8,9,-75.219,9.634,30
1.8,10,9.634,-75.219,30
1.8,11,-92.189,9.634,30
1.8,12,9.634,-92.189,30
1.8,13,-109.16,9.634,30
1.8,14,9.634,-109.16,30
2,0,11.032,11.032,30
2,1,-5.939,11.032,30
2,2,11.032,-5.939,30
2,3,-22.909,11.032,30
2,4,11.032,-22.909,30
2,5,-39.88,11.032,30
2,6,11.032,-39.88,30
2,7,-56.851,11.032,30
2,8,11.032,-56.851,30
2,9,-73.821,11.032,30
2,10,11.032,-73.821,30
2,11,-90.792,11.032,30
2,12,11.032,-90.792,30
2,13,-107.762,11.032,30
2,14,11.032,-107.762,30
2.2,0,12.475,12.475,30
2.2,1,-4.496,12.475,30
2.2,2,12.475,-4.496,30
2.2,3,-21.466,12.475,30
2.2,4,12.475,-21.466,30
2.2,5,-38.437,12.475,30
2.2,6,12.475,-38.437,30
2.2,7,-55.408,12.475,30
2.2,8,12.475,-55.408,30
2.2,9,-72.378,12.475,30
2.2,10,12.475,-72.378,30
2.2,11,-89.349,12.475,30
2.2,12,12.475,-89.349,30
2.2,13,-106.319,12.475,30
2.2,14,12.475,-106.319,30
2.4,0,13.953,13.953,30
2.4,1,-3.018,13.953,30
2.4,2,13.953,-3.018,30
2.4,3,-19.989,13.953,30
2.4,4,13.953,-19.989,30
2.4,5,-36.959,13.953,30
2.4,6,13.953,-36.959,30
2.4,7,-53.93,13.953,30
2.4,8,13.953,-53.93,30
2.4,9,-70.9,13.953,30
2.4,10,13.953,-70.9,30
2.4,11,-87.871,13.953,30
2.4,12,13.953,-87.871,30
2.4,13,-104.841,13.953,30
2.4,14,13.953,-104.841,30
2.6,0,15.455,15.455,30
2.6,1,-1.516,15.455,30
2.6,2,15.455,-1.516,30
2.6,3,-18.486,15.455,30
2.6,4,15.455,-18.486,30
2.6,5,-35.457,15.455,30
2.6,6,15.455,-35.457,30
2.6,7,-52.427,15.455,30
2.6,8,15.455,-52.427,30
2.6,9,-69.398,15.455,30
2.6,10,15.455,-69.398,30
2.6,11,-86.368,15.455,30
2.6,12,15.455,-86.368,30
2.6,13,-103.339,15.455,30
2.6,14,15.455,-103.339,30
2.8,0,16.972,16.972,30
2.8,1,0.001,16.972,30
2.8,2,16.972,0.001,30
2.8,3,-16.969,16.972,30
2.8,4,16.972,-16.969,30
2.8,5,-33.94,16.972,30
2.8,6,16.972,-33.94,30
2.8,7,-50.911,16.972,30
2.8,8,16.972,-50.911,30
2.8,9,-67.881,16.972,30
2.8,10,16.972,-67.881,30
2.8,11,-84.852,16.972,30
2.8,12,16.972,-84.852,30
2.8,13,-101.822,16.972,30
2.8,14,16.972,-101.822,30
3,0,18.493,18.493,30
3,1,1.523,18.493,30
3,2,18.493,1.523,30
3,3,-15.448,18.493,30
3,4,18.493,-15.448,30
3,5,-32.419,18.493,30
3,6,18.493,-32.419,30
3,7,-49.389,18.493,30
3,8,18.493,-49.389,30
3,9,-66.36,18.493,30
3,10,18.493,-66.36,30
3,11,-83.33,18.493,30
3,12,18.493,-83.33,30
3,13,-100.301,18.493,30
3,14,18.493,-100.301,30
3.2,0,20.011,20.011,30
3.2,1,3.04,20.011,30
3.2,2,20.011,3.04,30
3.2,3,-13.93,20.011,30
3.2,4,20.011,-13.93,30
3.2,5,-30.901,20.011,30
3.2,6,20.011,-30.901,30
3.2,7,-47.871,20.011,30
3.2,8,20.011,-47.871,30
3.2,9,-64.842,20.011,30
3.2,10,20.011,-64.842,30
3.2,11,-81.812,20.011,30
3.2,12,20.011,-81.812,30
3.2,13,-98.783,20.011,30
3.2,14,20.011,-98.783,30
3.4,0,21.517,21.517,30
3.4,1,4.547,21.517,30
3.4,2,21.517,4.547,30
3.4,3,-12.424,21.517,30
3.4,4,21.517,-12.424,30
3.4,5,-29.394,21.517,30
3.4,6,21.517,-29.394,30
3.4,7,-46.365,21.517,30
3.4,8,21.517,-46.365,30
3.4,9,-63.335,21.517,30
3.4,10,21.517,-63.335,30
3.4,11,-80.306,21.517,30
3.4,12,21.517,-80.306,30
3.4,13,-97.277,21.517,30
3.4,14,21.517,-97.277,30
3.6,0,23.006,23.006,30
3.6,1,6.036,23.006,30
3.6,2,23.006,6.036,30
3.6,3,-10.935,23.006,30
3.6,4,23.006,-10.935,30
3.6,5,-27.906,23.006,30
3.6,6,23.006,-27.906,30
3.6,7,-44.876,23.006,30
3.6,8,23.006,-44.876,30
3.6,9,-61.847,23.006,30
3.6,10,23.006,-61.847,30
3.6,11,-78.817,23.006,30
3.6,12,23.006,-78.817,30
3.6,13,-95.788,23.006,30
3.6,14,23.006,-95.788,30
3.8,0,24.472,24.472,30
3.8,1,7.502,24.472,30
3.8,2,24.472,7.502,30
3.8,3,-9.469,24.472,30
3.8,4,24.472,-9.469,30
3.8,5,-26.439,24.472,30
3.8,6,24.472,-26.439,30
3.8,7,-43.41,24.472,30
3.8,8,24.472,-43.41,30
3.8,9,-60.381,24.472,30
3.8,10,24.472,-60.381,30
3.8,11,-77.351,24.472,30
3.8,12,24.472,-77.351,30
3.8,13,-94.322,24.472,30
3.8,14,24.472,-94.322,30
4,0,25.912,25.912,30
4,1,8.941,25.912,30
4,2,25.912,8.941,30
4,3,-8.029,25.912,30
4,4,25.912,-8.029,30
4,5,-25,25.912,30
4,6,25.912,-25,30
4,7,-41.97,25.912,30
4,8,25.912,-41.97,30
4,9,-58.941,25.912,30
4,10,25.912,-58.941,30
4,11,-75.912,25.912,30
4,12,25.912,-75.912,30
4,13,-92.882,25.912,30
4,14,25.912,-92.882,30
4.2,0,27.323,27.323,30
4.2,1,10.352,27.323,30
4.2,2,27.323,10.352,30
4.2,3,-6.619,27.323,30
4.2,4,27.323,-6.619,30
4.2,5,-23.589,27.323,30
4.2,6,27.323,-23.589,30
4.2,7,-40.56,27.323,30
4.2,8,27.323,-40.56,30
4.2,9,-57.53,27.323,30
4.2,10,27.323,-57.53,30
4.2,11,-74.501,27.323,30
4.2,12,27.323,-74.501,30
4.2,13,-91.471,27.323,30
4.2,14,27.323,-91.471,30
4.4,0,28.703,28.703,30
4.4,1,11.732,28.703,30
4.4,2,28.703,11.732,30
4.4,3,-5.238,28.703,30
4.4,4,28.703,-5.238,30
4.4,5,-22.209,28.703,30
4.4,6,28.703,-22.209,30
4.4,7,-39.179,28.703,30
4.4,8,28.703,-39.179,30
4.4,9,-56.15,28.703,30
4.4,10,28.703,-56.15,30
4.4,11,-73.12,28.703,30
4.4,12,28.703,-73.12,30
4.4,13,-90.091,28.703,30
4.4,14,28.703,-90.091,30
4.6,0,30.053,30.053,30
4.6,1,13.083,30.053,30
4.6,2,30.053,13.083,30
4.6,3,-3.888,30.053,30
4.6,4,30.053,-3.888,30
4.6,5,-20.859,30.053,30
4.6,6,30.053,-20.859,30
4.6,7,-37.829,30.053,30
4.6,8,30.053,-37.829,30
4.6,9,-54.8,30.053,30
