time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
5.2,0,19.051,6.47451,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.37602,1,21.248,5.37602,1,22.5642,4.71792,2,22.5642,4.71792
10.2,0,19.0509,6.47454,0,18.2733,6.86335,0,18.2733,6.86335,0,18.1025,6.94873,0,18.1025,6.94873,0,18.4312,6.78441,0,18.4312,6.78441,0,19.201,6.39949,0,19.201,6.39949,0,20.3766,5.81172,0,20.3766,5.81172,2,21.2479,5.37604,1,21.2479,5.37604,1,22.5642,4.71791,2,22.5642,4.71791
15.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78439,0,18.4312,6.78439,0,19.2011,6.39946,0,19.2011,6.39946,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.37602,1,21.248,5.37602,1,22.5642,4.71792,2,22.5642,4.71792
20.2,0,19.1426,6.42868,0,18.3245,6.83777,0,18.358,6.821,0,18.1669,6.91654,0,18.1775,6.91127,0,18.512,6.74399,0,18.4971,6.75143,0,19.2916,6.35418,0,19.2591,6.37043,0,20.4737,5.76317,0,20.428,5.78598,2,21.3481,5.32597,1,21.2861,5.35696,1,22.6637,4.66814,2,22.5906,4.70471
25.2,0,18.8776,6.56122,0,18.1416,6.92921,0,18.1184,6.94078,0,17.9636,7.01819,0,17.9691,7.01544,0,18.2485,6.87573,0,18.318,6.84098,0,18.9879,6.50605,0,19.1058,6.44708,0,20.1445,5.92776,0,20.2968,5.85162,2,20.9996,5.50022,1,21.197,5.40149,1,22.3084,4.84578,2,22.5371,4.73146
30.2,0,20.2065,5.89676,0,19.0105,6.49476,0,19.2669,6.36656,0,18.8968,6.5516,0,18.9267,6.53665,0,19.361,6.3195,0,19.0998,6.4501,0,20.6047,5.69765,0,18.9279,6.53606,0,21.3873,5.30636,0,19.9904,6.00482,2,22.3221,4.83895,1,20.6997,5.65015,1,22.7036,4.64822,2,21.8874,5.05631
35.2,0,18.3618,6.81911,0,17.6395,7.18026,0,17.7211,7.13943,0,17.4798,7.26009,0,17.6825,7.15875,0,18.1457,6.92716,0,18.1281,6.93596,0,18.3611,6.81947,0,18.9966,6.50172,0,19.2075,6.39624,0,20.2536,5.87318,2,19.8422,6.07891,1,21.2508,5.37462,1,21.3624,5.31879,2,22.6603,4.66985
40.2,0,19.2678,6.36611,0,18.6105,6.69476,0,18.8886,6.55569,0,18.4883,6.75586,0,18.4513,6.77434,0,18.7713,6.61436,0,19.0245,6.48777,0,19.2165,6.39175,0,19.7757,6.11214,0,20.4663,5.76685,0,20.2127,5.89364,2,21.4071,5.29644,1,21.1273,5.43634,1,22.7125,4.64375,2,23.3243,4.33785
45.2,0,19.2163,6.39184,0,18.536,6.732,0,18.0829,6.95855,0,18.1726,6.91368,0,18.6723,6.66387,0,18.6472,6.67638,0,18.1572,6.9214,0,17.8793,7.06033,0,18.2631,6.86845,0,18.8183,6.59084,0,19.605,6.19748,2,20.6451,5.67743,0,21.0789,5.46057,1,23.0223,4.48885,1,25.4377,3.28116
50.2,0,19.9846,6.0077,0,18.6244,6.68781,0,18.9531,6.52346,0,18.3656,6.81718,0,18.7839,6.60806,0,17.6549,7.17256,0,17.2408,7.37961,0,19.2312,6.38441,0,18.7744,6.61282,0,18.8641,6.56796,0,19.4167,6.29164,2,21.548,5.22601,0,20.6457,5.67716,1,23.4624,4.26881,1,25.5345,3.23276
55.2,0,19.5725,6.21377,0,19.0067,6.49666,0,19.2463,6.37687,0,18.7618,6.61909,0,18.9368,6.5316,0,18.5379,6.73106,0,18.6784,6.66081,0,18.9425,6.52876,0,19.1942,6.40289,2,20.3463,5.82684,0,20.6247,5.68764,1,21.5757,5.21214,0,22.1894,4.90528,0,23.643,4.17848,1,24.6132,3.69338
60.2,0,19.4461,6.27694,0,18.1861,6.90695,0,18.8434,6.57829,0,17.7829,7.10857,0,18.1831,6.90845,0,18.3503,6.82486,0,18.8243,6.58786,0,17.9853,7.00737,0,19.674,6.16301,2,19.0577,6.47115,0,21.0291,5.48544,1,20.0548,5.97259,0,23.0412,4.4794,0,22.0111,4.99445,1,24.6039,3.69806
