FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1110,910,18.018%
2,0,7,1110,574,48.2883%
3,1,2,1109,716,35.4373%
4,1,8,1109,571,48.5122%
5,2,3,1108,488,55.9567%
6,2,9,1108,150,86.4621%
7,3,4,1107,612,44.7154%
8,3,10,1107,288,73.9837%
9,4,5,1105,656,40.6335%
10,4,11,1105,0,100%
11,5,6,1104,464,57.971%
12,5,12,1104,0,100%
13,6,7,1103,469,57.4796%
14,6,13,1103,0,100%
15,7,8,1102,437,60.3448%
16,7,14,1102,0,100%
17,8,9,1101,0,100%
18,8,0,1101,627,43.0518%
19,9,10,1099,0,100%
20,9,1,1099,324,70.5187%
21,10,11,1098,0,100%
22,10,2,1098,442,59.745%
23,11,12,1097,0,100%
24,11,3,1097,0,100%
25,12,13,1096,0,100%
26,12,4,1096,0,100%
27,13,14,1094,0,100%
28,13,5,1094,0,100%
29,14,0,1093,0,100%
30,14,6,1093,0,100%
