time,nodeId,eventType
1.3026,22,Tx Data
1.313,15,Tx Data
1.313,20,Tx Data
1.3182,18,Tx Data
1.32008,6,Rx Data
1.326,15,Tx Data
1.326,17,Tx Data
1.326,22,Tx Data
1.3312,18,Tx Data
1.3338,17,Tx Data
1.3364,17,Tx Data
1.3364,21,Tx Data
1.3442,15,Tx Data
1.34762,2,Rx Data
1.352,21,Tx Data
1.3546,18,Tx Data
1.3546,20,Tx Data
1.3598,22,Tx Data
1.36384,2,Tx Data
1.36428,6,Rx Data
1.3676,17,Tx Data
1.3676,18,Tx Data
1.3676,19,Tx Data
1.3702,15,Tx Data
1.3702,22,Tx Data
1.3728,22,Tx Data
1.38448,10,Rx Data
1.3884,16,Tx Data
1.3884,18,Tx Data
1.3884,21,Tx Data
1.3884,22,Tx Data
1.391,22,Tx Data
1.3936,19,Tx Data
1.404,16,Tx Data
1.4066,15,Tx Data
1.4092,19,Tx Data
1.4092,22,Tx Data
1.4118,18,Tx Data
1.4118,19,Tx Data
1.4118,20,Tx Data
1.4144,19,Tx Data
1.4152,7,Rx Data
1.417,17,Tx Data
1.4196,19,Tx Data
1.4222,17,Tx Data
1.4274,20,Tx Data
1.43,15,Tx Data
1.43,21,Tx Data
1.43087,2,Rx Data
1.4326,15,Tx Data
1.4352,18,Tx Data
1.4378,19,Tx Data
1.4456,21,Tx Data
1.4508,15,Tx Data
1.4508,19,Tx Data
1.4586,21,Tx Data
1.4638,20,Tx Data
1.46384,3,Tx Data
1.469,18,Tx Data
1.4716,15,Tx Data
1.4846,20,Tx Data
1.4872,16,Tx Data
1.4898,20,Tx Data
1.49152,0,Tx Data
1.495,16,Tx Data
1.495,21,Tx Data
1.4976,22,Tx Data
1.5054,20,Tx Data
1.5106,15,Tx Data
1.5132,15,Tx Data
1.5132,22,Tx Data
1.5158,15,Tx Data
1.5158,18,Tx Data
1.5158,20,Tx Data
1.52967,3,Rx Data
1.5392,17,Tx Data
1.5392,18,Tx Data
1.5392,21,Tx Data
1.5418,16,Tx Data
1.5418,20,Tx Data
1.54576,3,Tx Data
1.54576,3,Tx Data
1.547,17,Tx Data
1.547,19,Tx Data
1.547,21,Tx Data
1.5574,15,Tx Data
1.56,15,Tx Data
1.5626,15,Tx Data
1.5626,18,Tx Data
1.5652,17,Tx Data
1.5756,16,Tx Data
1.5782,16,Tx Data
1.5808,20,Tx Data
1.5834,15,Tx Data
1.5886,20,Tx Data
1.5912,17,Tx Data
1.5938,15,Tx Data
1.6016,21,Tx Data
1.6096,2,Tx Data
1.6102,5,Rx Data
1.612,21,Tx Data
1.6224,15,Tx Data
1.6302,20,Tx Data
1.6354,22,Tx Data
1.6406,16,Tx Data
1.6406,19,Tx Data
1.6406,21,Tx Data
1.6484,16,Tx Data
1.651,19,Tx Data
1.651,20,Tx Data
1.6536,18,Tx Data
1.65536,0,Tx Data
1.6562,16,Tx Data
1.6614,20,Tx Data
1.6744,17,Tx Data
1.6744,18,Tx Data
1.677,21,Tx Data
1.6796,17,Tx Data
1.6796,18,Tx Data
1.6796,20,Tx Data
1.68192,6,Tx Data
1.6822,18,Tx Data
1.6848,17,Tx Data
1.6874,22,Tx Data
1.69,15,Tx Data
1.69383,3,Rx Data
1.6952,17,Tx Data
1.6978,18,Tx Data
1.7082,19,Tx Data
1.7096,3,Tx Data
1.716,19,Tx Data
1.7238,21,Tx Data
1.7264,20,Tx Data
1.7264,22,Tx Data
1.72768,4,Tx Data
1.729,20,Tx Data
1.729,22,Tx Data
1.7316,21,Tx Data
1.7342,16,Tx Data
1.7342,21,Tx Data
1.7446,16,Tx Data
1.7446,17,Tx Data
1.7498,18,Tx Data
1.7498,22,Tx Data
1.7524,17,Tx Data
1.7524,22,Tx Data
1.755,16,Tx Data
1.7576,19,Tx Data
1.7576,21,Tx Data
1.76384,6,Tx Data
1.768,16,Tx Data
1.768,21,Tx Data
1.768,22,Tx Data
1.7732,21,Tx Data
1.77344,2,Tx Data
1.7758,18,Tx Data
1.7758,19,Tx Data
1.781,19,Tx Data
1.7836,20,Tx Data
1.7862,20,Tx Data
1.7966,22,Tx Data
1.8044,20,Tx Data
1.8148,17,Tx Data
1.8174,16,Tx Data
1.8226,19,Tx Data
1.8252,19,Tx Data
1.8252,21,Tx Data
1.8304,16,Tx Data
1.833,18,Tx Data
1.83728,1,Tx Data
1.8382,15,Tx Data
1.8382,17,Tx Data
1.8382,21,Tx Data
1.8382,22,Tx Data
1.84576,6,Tx Data
1.846,15,Tx Data
1.846,18,Tx Data
1.8486,15,Tx Data
1.8512,16,Tx Data
1.8512,17,Tx Data
1.8512,18,Tx Data
1.8538,19,Tx Data
1.8538,20,Tx Data
1.8564,16,Tx Data
1.8616,15,Tx Data
1.8616,17,Tx Data
1.8694,18,Tx Data
1.8694,21,Tx Data
1.872,15,Tx Data
1.87344,3,Tx Data
1.8798,22,Tx Data
1.885,19,Tx Data
1.8876,21,Tx Data
1.8902,16,Tx Data
1.89152,4,Tx Data
1.8928,16,Tx Data
1.8954,21,Tx Data
1.9006,15,Tx Data
1.9058,16,Tx Data
1.9058,17,Tx Data
1.911,18,Tx Data
1.9136,15,Tx Data
1.9162,17,Tx Data
1.9188,21,Tx Data
1.924,20,Tx Data
1.924,22,Tx Data
1.9318,18,Tx Data
1.9344,18,Tx Data
1.9344,22,Tx Data
1.937,18,Tx Data
1.937,19,Tx Data
1.9396,22,Tx Data
1.9422,18,Tx Data
1.9448,21,Tx Data
1.9474,20,Tx Data
1.9509,4,Rx Data
1.9526,16,Tx Data
1.9552,18,Tx Data
1.9578,15,Tx Data
1.9578,20,Tx Data
1.9604,18,Tx Data
1.963,19,Tx Data
1.96384,8,Tx Data
1.9656,16,Tx Data
1.9682,15,Tx Data
1.9682,18,Tx Data
1.9708,20,Tx Data
1.9734,19,Tx Data
1.9786,16,Tx Data
1.9838,17,Tx Data
1.9864,19,Tx Data
1.9864,22,Tx Data
1.989,20,Tx Data
1.989,22,Tx Data
1.9916,15,Tx Data
1.9916,19,Tx Data
1.9916,22,Tx Data
1.9942,15,Tx Data
1.9942,16,Tx Data
1.9942,17,Tx Data
1.9942,20,Tx Data
1.9968,15,Tx Data
1.9968,18,Tx Data
1.9968,21,Tx Data
1.9994,15,Tx Data
1.9994,19,Tx Data
1.9994,22,Tx Data
2.02768,7,Tx Data
2.06367,4,Rx Data
2.07344,5,Tx Data
2.09152,6,Tx Data
2.1069,7,Rx Data
2.1101,7,Rx Data
2.1192,3,Tx Data
2.18304,2,Tx Data
2.20112,3,Tx Data
