time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
5.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
10.2,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.2479,5.37605,1,21.2479,5.37605,1,22.5642,4.71791,2,22.5642,4.71791
15.2,0,19.0493,6.47537,0,18.2732,6.86341,0,18.2732,6.8634,0,18.1024,6.94879,0,18.1025,6.94877,0,18.4311,6.78447,0,18.4311,6.78447,0,19.2009,6.39954,0,19.2009,6.39956,0,20.3764,5.81178,0,20.3765,5.81177,2,21.2478,5.37609,1,21.2478,5.37612,1,22.564,4.71802,2,22.564,4.71799
20.2,0,18.5811,6.70945,0,18.1421,6.92897,0,18.0323,6.98385,0,17.8779,7.06103,0,18.0773,6.96133,0,18.1824,6.90879,0,18.4735,6.76324,0,19.0111,6.49445,0,19.156,6.42198,0,20.2616,5.8692,0,20.1777,5.91116,2,21.2316,5.38418,1,20.9068,5.54662,1,22.583,4.70851,2,22.1512,4.92439
25.2,0,18.8581,6.57096,0,18.118,6.94102,0,17.8159,7.09203,0,17.9754,7.01229,0,17.7736,7.11318,0,18.2048,6.89758,0,18.1921,6.90393,0,18.8462,6.57692,0,18.8105,6.59473,0,19.9155,6.04225,0,19.8213,6.08936,2,20.9848,5.50762,1,20.5409,5.72954,1,22.7981,4.60096,2,21.6676,5.1662
30.2,0,17.8229,7.08857,0,17.3944,7.30278,0,17.0768,7.46159,0,17.3532,7.3234,0,17.0996,7.45019,0,17.7785,7.11073,0,17.5618,7.21909,0,18.7989,6.60054,0,18.357,6.82149,0,19.0393,6.48035,0,19.4871,6.25644,2,18.7668,6.61658,1,20.9241,5.53797,0,19.3287,6.33564,0,22.5142,4.74291
35.2,0,18.7234,6.6383,0,18.2605,6.86974,0,18.0598,6.97012,0,18.1534,6.92331,0,17.9313,7.03433,0,18.5608,6.71961,0,18.1458,6.92709,0,18.5129,6.74356,0,18.8456,6.57721,0,19.6212,6.18938,1,20.605,5.69748,2,20.6689,5.66554,0,23.4812,4.25938,0,20.7419,5.62904,2,22.8731,4.56344
40.2,0,19.0367,6.48166,0,18.358,6.82101,0,18.1532,6.92341,0,18.1792,6.9104,0,18.1512,6.92441,0,17.5777,7.21115,0,18.473,6.7635,0,18.3189,6.84056,0,19.2213,6.38934,0,19.5436,6.22822,1,20.3933,5.80333,2,20.7823,5.60885,0,22.8277,4.58616,0,21.4316,5.28419,2,23.693,4.1535
45.2,0,18.7465,6.62673,0,18.0017,6.99916,0,17.9581,7.02094,0,17.696,7.15201,0,17.5141,7.24297,0,17.9277,7.03614,0,18.3216,6.83921,0,18.6431,6.67844,0,18.8937,6.55316,1,19.7668,6.11659,0,19.8338,6.08312,2,20.5799,5.71005,0,20.4599,5.77004,0,22.0998,4.9501,2,22.4894,4.75531
