FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,1318,1309,0.682853%
2,0,7,1318,0,100%
3,1,2,1317,0,100%
4,1,8,1317,0,100%
5,2,3,1315,0,100%
6,2,9,1315,0,100%
7,3,4,1314,0,100%
8,3,10,1314,0,100%
9,4,5,1313,0,100%
10,4,11,1313,0,100%
11,5,6,1312,0,100%
12,5,12,1312,0,100%
13,6,7,1311,0,100%
14,6,13,1311,0,100%
15,7,8,1309,0,100%
16,7,14,1309,0,100%
17,8,9,1308,0,100%
18,8,0,1308,0,100%
19,9,10,1307,0,100%
20,9,1,1307,0,100%
21,10,11,1306,0,100%
22,10,2,1306,0,100%
23,11,12,1304,0,100%
24,11,3,1304,0,100%
25,12,13,1303,0,100%
26,12,4,1303,0,100%
27,13,14,1302,0,100%
28,13,5,1302,0,100%
29,14,0,1301,0,100%
30,14,6,1301,0,100%
