time,num_links,connectivity
time,num_links,connectivity
0,102,0.971429
0.2,102,0.971429
0.4,102,0.971429
0.6,102,0.971429
0.8,102,0.971429
1,102,0.971429
1.2,102,0.971429
1.4,102,0.971429
1.6,102,0.971429
1.8,102,0.971429
2,102,0.971429
2.2,102,0.971429
2.4,102,0.971429
2.6,102,0.971429
2.8,102,0.971429
3,102,0.971429
3.2,102,0.971429
3.4,102,0.971429
3.6,102,0.971429
3.8,102,0.971429
4,102,0.971429
4.2,102,0.971429
4.4,102,0.971429
4.6,102,0.971429
4.8,102,0.971429
5,102,0.971429
5.2,102,0.971429
5.4,102,0.971429
5.6,102,0.971429
5.8,102,0.971429
6,102,0.971429
6.2,102,0.971429
6.4,102,0.971429
6.6,102,0.971429
6.8,102,0.971429
7,102,0.971429
7.2,102,0.971429
7.4,102,0.971429
7.6,102,0.971429
7.8,102,0.971429
8,102,0.971429
8.2,102,0.971429
8.4,102,0.971429
8.6,102,0.971429
8.8,102,0.971429
9,102,0.971429
9.2,102,0.971429
9.4,102,0.971429
9.6,102,0.971429
9.8,102,0.971429
10,102,0.971429
10.2,102,0.971429
10.4,102,0.971429
10.6,102,0.971429
10.8,102,0.971429
11,102,0.971429
11.2,102,0.971429
11.4,102,0.971429
11.6,102,0.971429
11.8,102,0.971429
12,102,0.971429
12.2,102,0.971429
12.4,102,0.971429
12.6,102,0.971429
12.8,102,0.971429
13,102,0.971429
13.2,102,0.971429
13.4,102,0.971429
13.6,102,0.971429
13.8,102,0.971429
14,102,0.971429
14.2,102,0.971429
14.4,102,0.971429
14.6,102,0.971429
14.8,102,0.971429
15,102,0.971429
15.2,102,0.971429
15.4,102,0.971429
15.6,102,0.971429
15.8,102,0.971429
16,102,0.971429
16.2,102,0.971429
16.4,102,0.971429
16.6,102,0.971429
16.8,102,0.971429
17,102,0.971429
17.2,102,0.971429
17.4,102,0.971429
17.6,102,0.971429
17.8,102,0.971429
18,102,0.971429
18.2,102,0.971429
18.4,102,0.971429
18.6,102,0.971429
18.8,102,0.971429
19,102,0.971429
19.2,102,0.971429
19.4,102,0.971429
19.6,102,0.971429
19.8,102,0.971429
20,102,0.971429
20.2,102,0.971429
20.4,102,0.971429
20.6,102,0.971429
20.8,102,0.971429
21,103,0.980952
21.2,102,0.971429
21.4,102,0.971429
21.6,102,0.971429
21.8,102,0.971429
22,102,0.971429
22.2,102,0.971429
22.4,101,0.961905
22.6,101,0.961905
22.8,101,0.961905
23,101,0.961905
23.2,102,0.971429
23.4,102,0.971429
23.6,102,0.971429
23.8,102,0.971429
24,102,0.971429
24.2,102,0.971429
24.4,102,0.971429
24.6,102,0.971429
24.8,102,0.971429
25,102,0.971429
25.2,102,0.971429
25.4,103,0.980952
25.6,104,0.990476
25.8,104,0.990476
26,104,0.990476
26.2,104,0.990476
26.4,104,0.990476
26.6,104,0.990476
26.8,104,0.990476
27,105,1
27.2,105,1
27.4,105,1
27.6,105,1
27.8,105,1
28,105,1
28.2,105,1
28.4,105,1
28.6,105,1
28.8,105,1
29,105,1
29.2,105,1
29.4,105,1
29.6,105,1
29.8,105,1
30,105,1
30.2,105,1
30.4,105,1
30.6,105,1
30.8,105,1
31,105,1
31.2,104,0.990476
31.4,104,0.990476
31.6,104,0.990476
31.8,104,0.990476
32,104,0.990476
32.2,103,0.980952
32.4,103,0.980952
32.6,103,0.980952
32.8,103,0.980952
33,102,0.971429
33.2,102,0.971429
33.4,102,0.971429
33.6,102,0.971429
33.8,101,0.961905
34,101,0.961905
34.2,101,0.961905
34.4,101,0.961905
34.6,101,0.961905
34.8,101,0.961905
35,101,0.961905
35.2,101,0.961905
35.4,101,0.961905
35.6,100,0.952381
35.8,100,0.952381
36,100,0.952381
36.2,99,0.942857
36.4,99,0.942857
36.6,99,0.942857
36.8,99,0.942857
37,99,0.942857
37.2,99,0.942857
37.4,99,0.942857
37.6,99,0.942857
37.8,99,0.942857
38,99,0.942857
38.2,100,0.952381
38.4,100,0.952381
38.6,100,0.952381
38.8,100,0.952381
39,100,0.952381
39.2,100,0.952381
39.4,100,0.952381
39.6,100,0.952381
39.8,100,0.952381
40,100,0.952381
40.2,100,0.952381
40.4,100,0.952381
40.6,100,0.952381
40.8,100,0.952381
41,100,0.952381
41.2,100,0.952381
41.4,101,0.961905
41.6,101,0.961905
41.8,101,0.961905
42,101,0.961905
42.2,101,0.961905
42.4,101,0.961905
42.6,102,0.971429
42.8,101,0.961905
43,101,0.961905
43.2,101,0.961905
43.4,101,0.961905
43.6,101,0.961905
43.8,101,0.961905
44,101,0.961905
44.2,102,0.971429
44.4,102,0.971429
44.6,102,0.971429
44.8,102,0.971429
45,102,0.971429
45.2,102,0.971429
45.4,102,0.971429
45.6,104,0.990476
45.8,104,0.990476
46,104,0.990476
46.2,104,0.990476
46.4,104,0.990476
46.6,104,0.990476
46.8,105,1
47,105,1
47.2,105,1
47.4,105,1
47.6,105,1
47.8,105,1
48,105,1
48.2,105,1
48.4,105,1
48.6,105,1
48.8,105,1
49,105,1
49.2,105,1
49.4,105,1
49.6,105,1
49.8,105,1
50,105,1
50.2,105,1
50.4,105,1
50.6,105,1
50.8,105,1
51,105,1
51.2,105,1
51.4,105,1
51.6,105,1
51.8,105,1
52,105,1
52.2,105,1
52.4,105,1
52.6,105,1
52.8,105,1
53,105,1
53.2,105,1
53.4,105,1
53.6,105,1
53.8,105,1
54,105,1
54.2,105,1
54.4,105,1
54.6,105,1
54.8,105,1
55,105,1
55.2,105,1
55.4,105,1
55.6,105,1
55.8,105,1
56,105,1
56.2,105,1
56.4,105,1
56.6,105,1
56.8,105,1
57,105,1
57.2,105,1
57.4,105,1
57.6,105,1
57.8,105,1
58,105,1
58.2,105,1
58.4,105,1
58.6,105,1
58.8,105,1
59,105,1
59.2,105,1
59.4,105,1
59.6,105,1
59.8,105,1
60,105,1
60.2,105,1
60.4,105,1
60.6,105,1
60.8,105,1
61,105,1
61.2,105,1
61.4,105,1
61.6,105,1
61.8,105,1
62,105,1
62.2,105,1
62.4,105,1
62.6,105,1
62.8,105,1
63,105,1
63.2,105,1
63.4,105,1
63.6,105,1
63.8,105,1
64,105,1
64.2,105,1
64.4,105,1
64.6,105,1
64.8,105,1
65,105,1
65.2,105,1
65.4,105,1
65.6,105,1
65.8,105,1
66,105,1
66.2,105,1
66.4,105,1
66.6,105,1
66.8,105,1
67,105,1
67.2,105,1
67.4,105,1
67.6,105,1
67.8,105,1
68,105,1
68.2,105,1
68.4,105,1
68.6,105,1
68.8,105,1
69,105,1
69.2,105,1
69.4,105,1
69.6,105,1
69.8,105,1
70,105,1
70.2,105,1
70.4,105,1
70.6,105,1
70.8,105,1
71,105,1
71.2,105,1
71.4,105,1
71.6,105,1
71.8,105,1
72,105,1
72.2,105,1
72.4,105,1
72.6,105,1
72.8,105,1
73,105,1
73.2,105,1
73.4,105,1
73.6,105,1
73.8,105,1
74,105,1
74.2,105,1
74.4,105,1
74.6,105,1
74.8,105,1
75,105,1
75.2,105,1
75.4,105,1
75.6,104,0.990476
75.8,104,0.990476
76,104,0.990476
76.2,104,0.990476
76.4,104,0.990476
76.6,104,0.990476
76.8,104,0.990476
77,104,0.990476
77.2,104,0.990476
77.4,104,0.990476
77.6,104,0.990476
77.8,104,0.990476
78,104,0.990476
78.2,104,0.990476
78.4,104,0.990476
78.6,104,0.990476
78.8,104,0.990476
79,104,0.990476
79.2,104,0.990476
79.4,104,0.990476
79.6,104,0.990476
79.8,104,0.990476
80,104,0.990476
80.2,103,0.980952
80.4,102,0.971429
80.6,102,0.971429
80.8,102,0.971429
81,102,0.971429
81.2,102,0.971429
81.4,102,0.971429
81.6,102,0.971429
81.8,102,0.971429
82,102,0.971429
82.2,102,0.971429
82.4,102,0.971429
