time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.5,0,13.6843,9.15785,1,14.0115,8.99426,2,14.788,8.606,0,15.8988,8.0506,0,17.292,7.35402,0,13.9843,9.00784,0,14.7517,8.62413,0,15.8581,8.07094,0,17.2489,7.37553,0,14.0093,8.99535,0,14.8522,8.5739,0,16.0758,7.96209,0,14.0093,8.99535,0,14.8522,8.5739,0,16.0758,7.96209
5.5,0,13.7184,9.14079,1,14.0696,8.96522,2,14.8718,8.5641,0,16.0011,7.99943,0,17.4065,7.29677,0,14.0184,8.99078,0,14.7859,8.60707,0,15.8922,8.05388,0,17.283,7.35848,0,14.0403,8.97985,0,14.8784,8.56081,0,16.0978,7.95108,0,14.0403,8.97985,0,14.8784,8.56081,0,16.0978,7.95108
10.5,0,13.7049,9.14753,1,14.039,8.98052,2,14.8253,8.58736,0,15.9773,8.01135,0,17.4087,7.29563,0,14.0049,8.99753,0,14.7724,8.61381,0,15.8788,8.06062,0,17.2696,7.36522,0,14.0286,8.9857,0,14.8691,8.56544,0,16.0904,7.95479,0,14.0286,8.9857,0,14.8691,8.56544,0,16.0904,7.95479
15.5,0,13.692,9.15401,1,14.0156,8.99218,2,14.7823,8.60883,0,15.9428,8.0286,0,17.3925,7.30373,0,13.992,9.004,0,14.7594,8.62029,0,15.8658,8.0671,0,17.2566,7.3717,0,14.0171,8.99147,0,14.8597,8.57017,0,16.0826,7.95868,0,14.0171,8.99147,0,14.8597,8.57017,0,16.0826,7.95868
20.5,0,13.6825,9.15876,1,14.0107,8.99467,2,14.749,8.62549,0,15.8883,8.05586,0,17.3618,7.31908,0,13.9825,9.00875,0,14.7499,8.62504,0,15.8563,8.07185,0,17.2471,7.37644,0,14.0079,8.99606,0,14.8515,8.57426,0,16.0756,7.96219,0,14.0079,8.99606,0,14.8515,8.57426,0,16.0756,7.96219
25.5,0,13.6738,9.16312,1,14.0138,8.9931,2,14.7358,8.63209,0,15.8047,8.09763,0,17.2998,7.35011,0,13.9738,9.01311,0,14.7412,8.6294,0,15.8476,8.07621,0,17.2384,7.38081,0,13.9988,9.00058,0,14.8428,8.57859,0,16.0679,7.96607,0,13.9988,9.00058,0,14.8428,8.57859,0,16.0679,7.96607
30.5,0,13.6749,9.16255,1,14.0278,8.98609,2,14.7708,8.61462,0,15.7673,8.11634,0,17.2231,7.38844,0,13.9749,9.01254,0,14.7423,8.62883,0,15.8487,8.07564,0,17.2395,7.38023,0,13.9989,9.00056,0,14.8417,8.57914,0,16.0662,7.96688,0,13.9989,9.00056,0,14.8417,8.57914,0,16.0662,7.96688
35.5,0,13.6867,9.15664,1,14.0497,8.97513,2,14.858,8.571,0,15.8136,8.0932,0,17.1033,7.44837,0,13.9867,9.00663,0,14.7542,8.62292,0,15.8605,8.06973,0,17.2514,7.37432,0,14.009,8.99552,0,14.8491,8.57545,0,16.0716,7.96419,0,14.009,8.99552,0,14.8491,8.57545,0,16.0716,7.96419
40.5,0,13.7147,9.14264,1,14.0835,8.95824,2,14.9512,8.52441,0,15.9684,8.01578,0,17.1153,7.44233,0,14.0147,8.99263,0,14.7822,8.60892,0,15.8885,8.05573,0,17.2794,7.36032,0,14.035,8.9825,0,14.8714,8.56431,0,16.0903,7.95486,0,14.035,8.9825,0,14.8714,8.56431,0,16.0903,7.95486
45.5,0,13.7509,9.12455,1,14.1215,8.93927,2,15.0077,8.49617,0,16.1393,7.93035,0,17.3507,7.32464,0,14.0509,8.97454,0,14.8183,8.59083,0,15.9247,8.03764,0,17.3155,7.34223,0,14.0697,8.96517,0,14.9026,8.54872,0,16.1176,7.94121,0,14.0697,8.96517,0,14.9026,8.54872,0,16.1176,7.94121
