time_s,nodeId,x,y,z
0,0,0,5.7,30
0,1,0,18.413,30
0,2,0,30.413,30
0,3,0,42.413,30
0,4,0,54.413,30
0,5,0,-6.3,30
0,6,0,-18.3,30
0,7,0,-30.3,30
0,8,0,-42.3,30
0,9,12,5.7,30
0,10,24,5.7,30
0,11,36,5.7,30
0,12,-12,5.7,30
0,13,-24,5.7,30
0,14,-36,5.7,30
0.5,0,0,13.2,30
0.5,1,0,25.913,30
0.5,2,0,37.913,30
0.5,3,0,49.913,30
0.5,4,0,61.913,30
0.5,5,0,1.2,30
0.5,6,0,-10.8,30
0.5,7,0,-22.8,30
0.5,8,0,-34.8,30
0.5,9,12,13.2,30
0.5,10,24,13.2,30
0.5,11,36,13.2,30
0.5,12,-12,13.2,30
0.5,13,-24,13.2,30
0.5,14,-36,13.2,30
1,0,0,20.7,30
1,1,0,33.413,30
1,2,0,45.413,30
1,3,0,57.413,30
1,4,0,69.412,30
1,5,0,8.7,30
1,6,0,-3.3,30
1,7,0,-15.3,30
1,8,0,-27.3,30
1,9,12,20.7,30
1,10,24,20.7,30
1,11,36,20.7,30
1,12,-12,20.7,30
1,13,-24,20.7,30
1,14,-36,20.7,30
1.5,0,0,28.2,30
1.5,1,0,40.913,30
1.5,2,0,52.913,30
1.5,3,0,64.912,30
1.5,4,0,76.912,30
1.5,5,0,16.2,30
1.5,6,0,4.2,30
1.5,7,0,-7.8,30
1.5,8,0,-19.8,30
1.5,9,12,28.2,30
1.5,10,24,28.2,30
1.5,11,36,28.2,30
1.5,12,-12,28.2,30
1.5,13,-24,28.2,30
1.5,14,-36,28.2,30
2,0,0,35.7,30
2,1,0,48.413,30
2,2,0,60.413,30
2,3,0,72.412,30
2,4,0,84.412,30
2,5,0,23.7,30
2,6,0,11.7,30
2,7,0,-0.3,30
2,8,0,-12.3,30
2,9,12,35.7,30
2,10,24,35.7,30
2,11,36,35.7,30
2,12,-12,35.7,30
2,13,-24,35.7,30
2,14,-36,35.7,30
2.5,0,0,42.932,30
2.5,1,0,55.913,30
2.5,2,0,67.912,30
2.5,3,0,79.912,30
2.5,4,0,91.912,30
2.5,5,0,30.932,30
2.5,6,0,18.932,30
2.5,7,0,6.932,30
2.5,8,0,-5.068,30
2.5,9,12,42.932,30
2.5,10,24,42.932,30
2.5,11,36,42.932,30
2.5,12,-12,42.932,30
2.5,13,-24,42.932,30
2.5,14,-36,42.932,30
3,0,0,49.47,30
3,1,0,63.093,30
3,2,0,75.342,30
3,3,0,87.395,30
3,4,0,99.408,30
3,5,0,37.47,30
3,6,0,25.47,30
3,7,0,13.47,30
3,8,0,1.47,30
3,9,12,49.47,30
3,10,24,49.47,30
3,11,36,49.47,30
3,12,-12,49.47,30
3,13,-24,49.47,30
3,14,-36,49.47,30
3.5,0,0,55.158,30
3.5,1,0,69.412,30
3.5,2,0,82.01,30
3.5,3,0,94.177,30
3.5,4,0,106.222,30
3.5,5,0,43.158,30
3.5,6,0,31.158,30
3.5,7,0,19.158,30
3.5,8,0,7.158,30
3.5,9,12,55.158,30
3.5,10,24,55.158,30
3.5,11,36,55.158,30
3.5,12,-12,55.158,30
3.5,13,-24,55.158,30
3.5,14,-36,55.158,30
4,0,0,60.149,30
4,1,0,74.712,30
4,2,0,87.567,30
4,3,0,99.85,30
4,4,0,111.937,30
4,5,0,48.149,30
4,6,0,36.149,30
4,7,0,24.149,30
4,8,0,12.149,30
4,9,12,60.149,30
4,10,24,60.149,30
4,11,36,60.149,30
4,12,-12,60.149,30
4,13,-24,60.149,30
4,14,-36,60.149,30
4.5,0,0,64.837,30
4.5,1,0,79.262,30
4.5,2,0,92.148,30
4.5,3,0,104.484,30
4.5,4,0,116.601,30
4.5,5,0,52.837,30
4.5,6,0,40.837,30
4.5,7,0,28.837,30
4.5,8,0,16.837,30
4.5,9,12,64.837,30
4.5,10,24,64.837,30
4.5,11,36,64.837,30
4.5,12,-12,64.837,30
4.5,13,-24,64.837,30
4.5,14,-36,64.837,30
5,0,0,69.705,30
5,1,0,83.631,30
5,2,0,96.292,30
5,3,0,108.582,30
5,4,0,120.698,30
5,5,0,57.705,30
5,6,0,45.705,30
5,7,0,33.705,30
5,8,0,21.705,30
5,9,12,69.705,30
5,10,24,69.705,30
5,11,36,69.705,30
5,12,-12,69.705,30
5,13,-24,69.705,30
5,14,-36,69.705,30
5.5,0,0,75.148,30
5.5,1,0,88.474,30
5.5,2,0,100.732,30
5.5,3,0,112.872,30
5.5,4,0,124.948,30
5.5,5,0,63.148,30
5.5,6,0,51.148,30
5.5,7,0,39.148,30
5.5,8,0,27.148,30
5.5,9,12,75.148,30
5.5,10,24,75.148,30
5.5,11,36,75.148,30
5.5,12,-12,75.148,30
5.5,13,-24,75.148,30
5.5,14,-36,75.148,30
6,0,0,81.334,30
6,1,0,94.283,30
6,2,0,106.139,30
6,3,0,118.056,30
6,4,0,130.049,30
6,5,0,69.334,30
6,6,0,57.334,30
6,7,0,45.334,30
6,8,0,33.334,30
6,9,12,81.334,30
6,10,24,81.334,30
6,11,36,81.334,30
6,12,-12,81.334,30
6,13,-24,81.334,30
6,14,-36,81.334,30
6.5,0,0,88.161,30
6.5,1,0,101.19,30
6.5,2,0,112.898,30
6.5,3,0,124.593,30
6.5,4,0,136.462,30
6.5,5,0,76.161,30
6.5,6,0,64.161,30
6.5,7,0,52.161,30
6.5,8,0,40.161,30
6.5,9,12,88.161,30
6.5,10,24,88.161,30
6.5,11,36,88.161,30
6.5,12,-12,88.161,30
6.5,13,-24,88.161,30
6.5,14,-36,88.161,30
7,0,0,95.302,30
7,1,0,108.69,30
7,2,0,120.398,30
7,3,0,132.093,30
7,4,0,143.962,30
7,5,0,83.302,30
7,6,0,71.302,30
7,7,0,59.302,30
7,8,0,47.302,30
7,9,12,95.302,30
7,10,24,95.302,30
7,11,36,95.302,30
7,12,-12,95.302,30
7,13,-24,95.302,30
7,14,-36,95.302,30
7.5,0,0,102.334,30
7.5,1,0,116.19,30
7.5,2,0,127.898,30
7.5,3,0,139.593,30
7.5,4,0,151.462,30
7.5,5,0,90.334,30
7.5,6,0,78.334,30
7.5,7,0,66.334,30
7.5,8,0,54.334,30
7.5,9,12,102.334,30
7.5,10,24,102.334,30
7.5,11,36,102.334,30
7.5,12,-12,102.334,30
7.5,13,-24,102.334,30
7.5,14,-36,102.334,30
8,0,0,108.896,30
8,1,0,123.186,30
8,2,0,135.355,30
8,3,0,147.093,30
8,4,0,158.962,30
8,5,0,96.896,30
8,6,0,84.896,30
8,7,0,72.896,30
8,8,0,60.896,30
8,9,12,108.896,30
8,10,24,108.896,30
8,11,36,108.896,30
8,12,-12,108.896,30
8,13,-24,108.896,30
8,14,-36,108.896,30
8.5,0,0,114.811,30
8.5,1,0,129.264,30
8.5,2,0,142.024,30
8.5,3,0,154.053,30
8.5,4,0,165.999,30
8.5,5,0,102.811,30
8.5,6,0,90.811,30
8.5,7,0,78.811,30
8.5,8,0,66.811,30
8.5,9,12,114.811,30
8.5,10,24,114.811,30
8.5,11,36,114.811,30
8.5,12,-12,114.811,30
8.5,13,-24,114.811,30
8.5,14,-36,114.811,30
9,0,0,120.141,30
9,1,0,134.397,30
9,2,0,147.548,30
9,3,0,159.951,30
9,4,0,172.046,30
9,5,0,108.141,30
9,6,0,96.141,30
9,7,0,84.141,30
9,8,0,72.141,30
9,9,12,120.141,30
9,10,24,120.141,30
9,11,36,120.141,30
9,12,-12,120.141,30
9,13,-24,120.141,30
9,14,-36,120.141,30
9.5,0,0,125.154,30
9.5,1,0,138.932,30
9.5,2,0,152.084,30
9.5,3,0,164.751,30
9.5,4,0,177,30
