time,nodeId,eventType
1.05407,4,Rx Data
1.05631,11,Rx Data
1.05785,19,Tx Data
1.05834,16,Rx Data
1.05842,11,Rx Data
1.06045,24,Rx Data
1.06063,3,Rx Data
1.06178,15,Tx Data
1.06257,16,Rx Data
1.06283,11,Rx Data
1.06374,22,Tx Data
1.06374,26,Tx Data
1.0657,20,Tx Data
1.06715,10,Rx Data
1.06766,28,Tx Data
1.06905,28,Rx Data
1.06931,3,Rx Data
1.06963,28,Tx Data
1.07143,9,Rx Data
1.07159,15,Tx Data
1.07159,27,Tx Data
1.07159,28,Tx Data
1.07159,29,Tx Data
1.0735,20,Rx Data
1.07355,20,Tx Data
1.07355,28,Tx Data
1.07748,16,Tx Data
1.07748,26,Tx Data
1.07748,28,Tx Data
1.07751,16,Rx Data
1.07765,17,Rx Data
1.07944,16,Tx Data
1.07944,21,Tx Data
1.0814,25,Tx Data
1.08192,0,Tx Data
1.08337,16,Tx Data
1.08337,19,Tx Data
1.08337,26,Tx Data
1.08337,27,Tx Data
1.08337,28,Tx Data
1.08444,3,Rx Data
1.08444,11,Rx Data
1.08533,16,Tx Data
1.08533,26,Tx Data
1.08629,17,Rx Data
1.08729,25,Tx Data
1.08817,24,Rx Data
1.08878,9,Rx Data
1.08878,0,Rx Data
1.08925,15,Tx Data
1.08925,27,Tx Data
1.09096,4,Rx Data
1.09314,11,Rx Data
1.09318,27,Tx Data
1.09458,24,Rx Data
1.09709,25,Rx Data
1.09721,17,Rx Data
1.09754,9,Rx Data
1.09907,22,Tx Data
1.09907,28,Tx Data
1.10299,27,Tx Data
1.10313,16,Rx Data
1.10495,17,Tx Data
1.10495,20,Tx Data
1.10528,24,Rx Data
1.1063,4,Rx Data
1.10692,20,Tx Data
1.10888,17,Tx Data
1.10954,24,Rx Data
1.11084,15,Tx Data
1.11084,22,Tx Data
1.11084,24,Tx Data
1.11084,27,Tx Data
1.11084,29,Tx Data
1.11477,29,Tx Data
1.11725,3,Rx Data
1.11725,4,Rx Data
1.11725,11,Rx Data
1.11806,16,Rx Data
1.11869,17,Tx Data
1.11869,28,Tx Data
1.11869,29,Tx Data
1.11944,3,Rx Data
1.11944,10,Rx Data
1.11944,11,Rx Data
1.12232,16,Rx Data
1.12262,23,Tx Data
1.12356,20,Rx Data
1.12374,4,Rx Data
1.12458,17,Tx Data
1.12654,29,Tx Data
1.12822,9,Rx Data
1.12851,24,Tx Data
1.12851,29,Tx Data
1.13047,25,Tx Data
1.13082,16,Rx Data
1.13243,18,Tx Data
1.13439,24,Tx Data
1.13636,25,Tx Data
1.13636,26,Tx Data
1.13698,10,Rx Data
1.13915,11,Rx Data
1.14225,18,Tx Data
1.14338,11,Rx Data
1.14421,21,Tx Data
1.14421,24,Tx Data
1.14421,26,Tx Data
1.14617,24,Tx Data
1.14761,10,Rx Data
1.14761,9,Rx Data
1.14813,17,Tx Data
1.14813,23,Tx Data
1.14813,25,Tx Data
1.1501,22,Tx Data
1.15402,15,Tx Data
1.15402,16,Tx Data
1.15402,28,Tx Data
1.15514,20,Rx Data
1.15514,25,Rx Data
1.15598,15,Tx Data
1.15598,19,Tx Data
1.15598,24,Tx Data
1.15609,4,Rx Data
1.15795,19,Tx Data
1.15795,20,Tx Data
1.15966,17,Rx Data
1.15991,17,Tx Data
1.15991,26,Tx Data
1.16259,10,Rx Data
1.1629,24,Rx Data
1.1648,4,Rx Data
1.16692,4,Rx Data
1.16776,15,Tx Data
1.16776,17,Tx Data
1.16776,19,Tx Data
1.16776,25,Tx Data
1.16776,27,Tx Data
1.16908,11,Rx Data
1.16913,25,Rx Data
1.16972,17,Tx Data
1.17169,21,Tx Data
1.17169,22,Tx Data
1.17365,17,Tx Data
1.17365,21,Tx Data
1.17365,24,Tx Data
1.17365,29,Tx Data
1.17561,15,Tx Data
1.17561,28,Tx Data
1.17561,3,Rx Data
1.17757,24,Tx Data
1.17775,11,Rx Data
1.17948,20,Rx Data
1.17948,25,Rx Data
1.17954,29,Tx Data
1.17993,10,Rx Data
1.1815,15,Tx Data
1.1815,16,Tx Data
1.18192,1,Tx Data
1.18346,18,Tx Data
1.18346,26,Tx Data
1.18648,4,Rx Data
1.18857,20,Rx Data
1.19084,9,Rx Data
1.19131,19,Tx Data
1.19327,15,Tx Data
1.19327,23,Tx Data
1.19327,25,Tx Data
1.19519,9,Rx Data
1.19524,22,Tx Data
1.1972,18,Tx Data
1.1972,19,Tx Data
1.1972,21,Tx Data
1.1972,25,Tx Data
1.1972,26,Tx Data
1.19916,18,Tx Data
1.19916,20,Tx Data
1.19916,23,Tx Data
1.19916,28,Tx Data
1.20111,17,Rx Data
1.20113,15,Tx Data
1.20113,16,Tx Data
1.20113,25,Tx Data
1.20113,26,Tx Data
1.20177,4,Rx Data
1.20309,25,Tx Data
1.20309,27,Tx Data
1.20505,29,Tx Data
1.20549,24,Rx Data
1.20565,25,Rx Data
1.20701,16,Tx Data
1.20898,15,Tx Data
1.2098,24,Rx Data
1.21094,15,Tx Data
1.21094,18,Tx Data
1.21094,27,Tx Data
1.21094,29,Tx Data
1.2129,17,Tx Data
1.2129,27,Tx Data
1.21486,23,Tx Data
1.21486,24,Tx Data
1.21683,24,Tx Data
1.21683,29,Tx Data
1.21866,17,Rx Data
1.21879,26,Tx Data
1.22075,21,Tx Data
1.22075,23,Tx Data
1.22271,19,Tx Data
1.22271,27,Tx Data
1.22331,20,Rx Data
1.22348,10,Rx Data
1.22348,9,Rx Data
1.22468,25,Tx Data
1.22468,29,Tx Data
1.22568,0,Rx Data
1.22664,23,Tx Data
1.22784,10,Rx Data
1.22784,11,Rx Data
1.2286,23,Tx Data
1.22882,28,Rx Data
1.23,3,Rx Data
1.23057,16,Tx Data
1.23057,25,Tx Data
1.23096,20,Rx Data
1.23096,26,Rx Data
1.23222,9,Rx Data
1.23253,15,Tx Data
1.23253,25,Tx Data
1.23437,3,Rx Data
1.23449,24,Tx Data
1.23645,25,Tx Data
1.23659,0,Rx Data
1.23745,22,Rx Data
1.23842,18,Tx Data
1.23842,20,Tx Data
1.23842,23,Tx Data
1.23842,27,Tx Data
1.2387,3,Rx Data
1.2387,4,Rx Data
1.2387,10,Rx Data
1.2387,9,Rx Data
1.23942,20,Rx Data
1.23958,16,Rx Data
1.24038,16,Tx Data
1.24038,19,Tx Data
1.24038,21,Tx Data
1.24038,25,Tx Data
1.24038,28,Tx Data
1.24234,18,Tx Data
1.2443,20,Tx Data
1.2444,27,Rx Data
1.24627,17,Tx Data
1.24627,28,Tx Data
