FlowId,Src,Dest,Tx,Rx,LossRate
1,0,1,955,955,0%
2,0,7,955,0,100%
3,1,2,954,0,100%
4,1,8,954,0,100%
5,2,3,953,0,100%
6,2,9,953,0,100%
7,3,4,952,0,100%
8,3,10,952,0,100%
9,4,5,950,0,100%
10,4,11,950,0,100%
11,5,6,949,0,100%
12,5,12,949,0,100%
13,6,7,948,0,100%
14,6,13,948,0,100%
15,7,8,947,0,100%
16,7,14,947,0,100%
17,8,9,946,0,100%
18,8,0,946,0,100%
19,9,10,944,0,100%
20,9,1,944,0,100%
21,10,11,943,0,100%
22,10,2,943,0,100%
23,11,12,942,0,100%
24,11,3,942,0,100%
25,12,13,941,0,100%
26,12,4,941,0,100%
27,13,14,939,0,100%
28,13,5,939,0,100%
29,14,0,938,0,100%
30,14,6,938,0,100%
