time,uav0_channel,uav0_power,uav0_rate,uav1_channel,uav1_power,uav1_rate,uav2_channel,uav2_power,uav2_rate,uav3_channel,uav3_power,uav3_rate,uav4_channel,uav4_power,uav4_rate,uav5_channel,uav5_power,uav5_rate,uav6_channel,uav6_power,uav6_rate,uav7_channel,uav7_power,uav7_rate,uav8_channel,uav8_power,uav8_rate,uav9_channel,uav9_power,uav9_rate,uav10_channel,uav10_power,uav10_rate,uav11_channel,uav11_power,uav11_rate,uav12_channel,uav12_power,uav12_rate,uav13_channel,uav13_power,uav13_rate,uav14_channel,uav14_power,uav14_rate
0.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
5.2,0,19.051,6.4745,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
10.2,0,19.051,6.47452,0,18.2733,6.86334,0,18.2733,6.86334,0,18.1026,6.94872,0,18.1026,6.94872,0,18.4312,6.78439,0,18.4312,6.78439,0,19.201,6.39948,0,19.201,6.39948,0,20.3766,5.81169,0,20.3766,5.81169,2,21.2479,5.37605,1,21.2479,5.37605,1,22.5642,4.71791,2,22.5642,4.71791
15.2,0,19.051,6.47449,0,18.2734,6.86332,0,18.2734,6.86332,0,18.1026,6.9487,0,18.1026,6.9487,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.8117,0,20.3766,5.8117,2,21.248,5.376,1,21.248,5.376,1,22.5641,4.71793,2,22.5641,4.71793
20.2,0,19.051,6.4745,0,18.2733,6.86333,0,18.2733,6.86333,0,18.1026,6.94871,0,18.1026,6.94871,0,18.4312,6.78438,0,18.4312,6.78438,0,19.2011,6.39945,0,19.2011,6.39945,0,20.3766,5.81169,0,20.3766,5.81169,2,21.248,5.376,1,21.248,5.376,1,22.5642,4.71792,2,22.5642,4.71792
25.2,0,18.755,6.62251,0,18.2127,6.89363,0,18.0737,6.96315,0,18.0218,6.98911,0,18.0722,6.96389,0,18.3442,6.82792,0,18.4356,6.78218,0,19.1207,6.43965,0,19.1987,6.40065,0,20.2999,5.85003,0,20.3769,5.81153,2,21.1477,5.42613,1,21.2512,5.37442,1,22.4392,4.7804,2,22.578,4.71101
30.2,0,19.2732,6.36338,0,18.3969,6.80156,0,18.2627,6.86865,0,18.1805,6.90975,0,17.7344,7.13278,0,18.4218,6.78909,0,18.6403,6.67985,0,19.2122,6.39392,0,19.2987,6.35066,0,20.4954,5.75229,0,19.5579,6.22103,0,22.2151,4.89246,1,20.7799,5.61007,1,22.3088,4.8456,2,22.3186,4.84071
35.2,0,16.6563,7.67187,0,16.2888,7.8556,0,16.0416,7.97919,0,16.1718,7.91411,0,16.1388,7.9306,0,16.509,7.74549,0,17.5792,7.21038,0,17.0349,7.48255,0,17.983,7.00848,0,17.4676,7.26619,0,18.505,6.74749,0,18.5952,6.7024,1,19.5134,6.2433,2,20.6308,5.68459,0,20.4156,5.79218
40.2,0,17.583,7.20851,0,17.1154,7.44229,0,16.9921,7.50396,0,17.0211,7.48946,0,16.8917,7.55415,0,17.5118,7.2441,0,17.118,7.44098,0,18.1238,6.93811,0,17.9678,7.01611,0,19.4753,6.26237,0,19.3593,6.32034,0,18.6634,6.6683,1,21.3074,5.34628,2,18.3458,6.82712,0,22.8411,4.57945
45.2,0,17.3765,7.31177,0,16.9822,7.50889,0,16.7236,7.63821,0,17.0059,7.49706,0,16.6238,7.68808,0,17.3221,7.33897,0,16.7849,7.60757,0,17.7505,7.12474,0,17.2724,7.3638,0,17.9746,7.01268,0,17.9977,7.00117,0,22.3312,4.8344,1,21.782,5.109,2,22.1248,4.93758,0,24.8545,3.57276
