FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.3,10.0.0.4,11,11,0,0,671996,0.0113663
2,10.0.0.4,10.0.0.3,6,6,0,0,63290.1,0.00921802
3,10.0.0.5,10.0.0.9,14,14,0,0,946267,0.0058512
4,10.0.0.9,10.0.0.5,7,7,0,0,64062.7,0.00446233
5,10.0.0.3,10.0.0.5,14,14,0,0,945165,0.00484891
6,10.0.0.5,10.0.0.3,7,7,0,0,62616.3,0.00541617
7,10.0.0.14,10.0.0.6,15,15,0,0,1.03007e+06,0.00538317
8,10.0.0.6,10.0.0.14,8,8,0,0,71020.2,0.00265816
9,10.0.0.13,10.0.0.5,12,12,0,0,764368,0.0124571
10,10.0.0.5,10.0.0.13,6,6,0,0,64986.6,0.00625712
11,10.0.0.3,10.0.0.9,13,13,0,0,854094,0.0127231
12,10.0.0.9,10.0.0.3,7,7,0,0,75616.1,0.00155518
13,10.0.0.9,10.0.0.6,12,12,0,0,764299,0.0114136
14,10.0.0.6,10.0.0.9,6,6,0,0,63287.7,0.0042682
15,10.0.0.9,10.0.0.1,13,13,0,0,855499,0.00466802
16,10.0.0.1,10.0.0.9,7,7,0,0,62713.5,0.00747724
17,10.0.0.10,10.0.0.5,11,11,0,0,673679,0.0122629
18,10.0.0.5,10.0.0.10,6,6,0,0,65093.3,0.00934422
19,10.0.0.8,10.0.0.3,13,13,0,0,851998,0.0108422
20,10.0.0.3,10.0.0.8,7,7,0,0,71641.9,0.00441709
21,10.0.0.15,10.0.0.11,14,14,0,0,946445,0.00379623
22,10.0.0.11,10.0.0.15,7,7,0,0,61336.8,0.0064781
23,10.0.0.2,10.0.0.4,12,12,0,0,763439,0.00734806
24,10.0.0.4,10.0.0.2,6,6,0,0,57368.3,0.00926306
25,10.0.0.4,10.0.0.11,14,14,0,0,947392,0.00384112
26,10.0.0.11,10.0.0.4,7,7,0,0,61452.1,0.00446208
27,10.0.0.14,10.0.0.9,14,14,0,0,947139,0.00577782
28,10.0.0.9,10.0.0.14,7,7,0,0,63950.1,0.00343631
29,10.0.0.2,10.0.0.13,11,11,0,0,673288,0.0122743
30,10.0.0.13,10.0.0.2,6,6,0,0,65003.6,0.00821905
31,10.0.0.2,10.0.0.1,14,14,0,0,945335,0.00389359
32,10.0.0.1,10.0.0.2,7,7,0,0,61233.7,0.00743203
33,10.0.0.12,10.0.0.6,14,14,0,0,945779,0.00592791
34,10.0.0.6,10.0.0.12,7,7,0,0,64138.6,0.0034992
35,10.0.0.3,10.0.0.1,12,12,0,0,763534,0.00859574
36,10.0.0.1,10.0.0.3,6,6,0,0,58920.7,0.0102171
37,10.0.0.12,10.0.0.3,14,14,0,0,945681,0.00596544
38,10.0.0.3,10.0.0.12,7,7,0,0,64113.3,0.00440822
39,10.0.0.15,10.0.0.13,13,13,0,0,852708,0.0118213
40,10.0.0.13,10.0.0.15,7,7,0,0,73476.6,0.00339107
41,10.0.0.11,10.0.0.2,13,13,0,0,851469,0.0129195
42,10.0.0.2,10.0.0.11,7,7,0,0,75216.9,0.00250005
43,10.0.0.1,10.0.0.4,11,11,0,0,673591,0.0111231
44,10.0.0.4,10.0.0.1,6,6,0,0,63161.8,0.00927208
45,10.0.0.14,10.0.0.8,13,13,0,0,855878,0.00852991
46,10.0.0.8,10.0.0.14,7,7,0,0,68434,0.00450721
47,10.0.0.10,10.0.0.9,14,14,0,0,946754,0.00388988
48,10.0.0.9,10.0.0.10,7,7,0,0,61475.1,0.00548809
49,10.0.0.6,10.0.0.15,12,12,0,0,763563,0.00840307
50,10.0.0.15,10.0.0.6,6,6,0,0,58748.1,0.0102351
51,10.0.0.12,10.0.0.15,15,15,0,0,1.039e+06,0.00394267
52,10.0.0.15,10.0.0.12,8,8,0,0,70007.6,0.00266727
53,10.0.0.4,10.0.0.11,15,15,0,0,1.03883e+06,0.00281319
54,10.0.0.11,10.0.0.4,8,8,0,0,68341,0.00133607
55,10.0.0.11,10.0.0.3,12,12,0,0,764373,0.00658799
56,10.0.0.3,10.0.0.11,6,6,0,0,56310.2,0.00921806
57,10.0.0.8,10.0.0.7,13,13,0,0,855434,0.00662756
58,10.0.0.7,10.0.0.8,7,7,0,0,65488.7,0.00738713
59,10.0.0.6,10.0.0.4,14,14,0,0,943002,0.0100975
60,10.0.0.4,10.0.0.6,7,7,0,0,69895,0.00151011
61,10.0.0.3,10.0.0.2,14,14,0,0,946240,0.00681389
62,10.0.0.2,10.0.0.3,7,7,0,0,65435.2,0.00347203
63,10.0.0.13,10.0.0.14,12,12,0,0,763965,0.00752316
64,10.0.0.14,10.0.0.13,6,6,0,0,57544.4,0.0092451
65,10.0.0.3,10.0.0.5,15,15,0,0,1.0366e+06,0.00291858
66,10.0.0.5,10.0.0.3,8,8,0,0,68340.6,0.00133614
67,10.0.0.11,10.0.0.13,13,13,0,0,855873,0.00367795
68,10.0.0.13,10.0.0.11,7,7,0,0,61499.8,0.01051
69,10.0.0.12,10.0.0.8,13,13,0,0,856288,0.0106522
70,10.0.0.8,10.0.0.12,7,7,0,0,71892.9,0.00159129
71,10.0.0.1,10.0.0.4,15,15,0,0,1.03667e+06,0.00288365
