time_s,nodeId,x,y,z
1,0,-0.005996,0,-0.0166556
1,1,0.966,0.022,-0.08
1,2,1.986,0.011,0.25
1,3,2.988,0.033,0.13
1,4,-2.633,3.008,-0.53
1,5,1.339,2.286,2.66
1,6,1.436,1.82,-0.75
1,7,4.105,0.488,2.23
1,8,7.971,0.133,0.03
1,9,5.551,1.809,-0.98
1,10,0.763,1.276,1.12
1,11,-4.504,3.718,-0.02
1,12,1.525,1.654,0.74
1,13,-2.279,1.376,-0.52
1,14,3.44,3.085,1.38
2,0,-0.011992,0,-0.0333111
2,1,0.966,0.022,-0.08
2,2,1.986,0.011,0.25
2,3,2.988,0.033,0.13
2,4,-2.633,3.008,-0.53
2,5,1.339,2.286,2.66
2,6,1.436,1.82,-0.75
2,7,4.105,0.488,2.23
2,8,7.971,0.133,0.03
2,9,5.551,1.809,-0.98
2,10,0.763,1.276,1.12
2,11,-4.504,3.718,-0.02
2,12,1.525,1.654,0.74
2,13,-2.279,1.376,-0.52
2,14,3.44,3.085,1.38
3,0,-0.017988,0,-0.0499667
3,1,0.966708,0.020702,-0.07646
3,2,1.986,0.011,0.25
3,3,2.988,0.033,0.13
3,4,-2.633,3.008,-0.53
3,5,1.339,2.286,2.66
3,6,1.436,1.82,-0.75
3,7,4.105,0.488,2.23
3,8,7.971,0.133,0.03
3,9,5.551,1.809,-0.98
3,10,0.763,1.276,1.12
3,11,-4.504,3.718,-0.02
3,12,1.525,1.654,0.74
3,13,-2.279,1.376,-0.52
3,14,3.44,3.085,1.38
4,0,-0.015006,0,-0.0533267
4,1,0.972708,0.009702,-0.04646
4,2,1.986,0.011,0.25
4,3,2.988,0.033,0.0925988
4,4,-2.633,3.008,-0.53
4,5,1.339,2.286,2.66
4,6,1.436,1.82,-0.75
4,7,4.105,0.488,2.23
4,8,7.971,0.133,0.03
4,9,5.551,1.809,-0.98
4,10,0.763,1.276,1.12
4,11,-4.504,3.718,-0.02
4,12,1.525,1.654,0.74
4,13,-2.279,1.376,-0.52
4,14,3.44,3.085,1.38
5,0,-0.012006,0,-0.05666
5,1,0.978708,-0.001298,-0.01646
5,2,1.98568,0.0106077,0.245007
5,3,2.988,0.033,0.039921
5,4,-2.633,3.008,-0.53
5,5,1.339,2.286,2.66
5,6,1.436,1.82,-0.75
5,7,4.105,0.488,2.23
5,8,7.971,0.133,0.03
5,9,5.551,1.809,-0.98
5,10,0.763,1.276,1.12
5,11,-4.504,3.718,-0.02
5,12,1.525,1.654,0.74
5,13,-2.279,1.376,-0.52
5,14,3.44,3.085,1.38
6,0,-0.009006,0,-0.0599933
6,1,0.983646,-0.0105673,0.00921333
6,2,1.98268,0.006941,0.19834
6,3,2.9867,0.033,0.00856
6,4,-2.633,3.008,-0.53
6,5,1.339,2.286,2.66
6,6,1.436,1.82,-0.75
6,7,4.105,0.488,2.23
6,8,7.971,0.133,0.03
6,9,5.551,1.809,-0.98
6,10,0.763,1.276,1.12
6,11,-4.504,3.718,-0.02
6,12,1.525,1.654,0.74
6,13,-2.279,1.376,-0.52
6,14,3.44,3.085,1.38
7,0,-0.006006,0,-0.0566733
7,1,0.980646,-0.00690067,0.00254667
7,2,1.97968,0.00327433,0.151673
7,3,2.9837,0.033,0.00522667
7,4,-2.633,3.008,-0.53
7,5,1.339,2.286,2.66
7,6,1.436,1.82,-0.75
7,7,4.105,0.488,2.23
7,8,7.971,0.133,0.03
7,9,5.551,1.809,-0.98
7,10,0.763,1.276,1.12
7,11,-4.504,3.718,-0.02
7,12,1.525,1.654,0.74
7,13,-2.279,1.376,-0.52
7,14,3.44,3.085,1.38
8,0,-0.003006,0,-0.05334
8,1,0.977646,-0.003234,-0.00412
8,2,1.977,0,0.108931
8,3,2.9807,0.033,0.00189333
8,4,-2.633,3.008,-0.53
8,5,1.339,2.286,2.66
8,6,1.436,1.82,-0.75
8,7,4.105,0.488,2.23
8,8,7.971,0.133,0.03
8,9,5.551,1.809,-0.98
8,10,0.763,1.276,1.12
8,11,-4.504,3.718,-0.02
8,12,1.525,1.654,0.74
8,13,-2.279,1.376,-0.52
8,14,3.44,3.085,1.38
9,0,-6e-06,0,-0.0500067
9,1,0.974646,0.000432667,-0.01
9,2,1.977,0,0.0989374
9,3,2.9803,0.031416,0.00144
9,4,-2.633,3.008,-0.53
9,5,1.339,2.286,2.66
9,6,1.436,1.82,-0.75
9,7,4.105,0.488,2.23
9,8,7.971,0.133,0.03
9,9,5.551,1.809,-0.98
9,10,0.763,1.276,1.12
9,11,-4.504,3.718,-0.02
9,12,1.525,1.654,0.74
9,13,-2.279,1.376,-0.52
9,14,3.44,3.085,1.38
10,0,0,-0.00365933,-0.0433467
10,1,0.971646,0.00409933,-0.01
10,2,1.977,0,0.088944
10,3,2.9833,0.0277493,0.00477333
10,4,-2.633,3.008,-0.53
10,5,1.339,2.286,2.66
10,6,1.436,1.82,-0.75
10,7,4.105,0.488,2.23
10,8,7.971,0.133,0.03
10,9,5.551,1.809,-0.98
10,10,0.763,1.276,1.12
10,11,-4.504,3.718,-0.02
10,12,1.525,1.654,0.74
10,13,-2.279,1.376,-0.52
10,14,3.44,3.085,1.38
11,0,0,-0.007326,-0.03668
11,1,0.968646,0.007766,-0.01
11,2,1.977,-0.000385,0.0779
11,3,2.9863,0.0240827,0.00810667
11,4,-2.633,3.008,-0.53
11,5,1.339,2.286,2.66
11,6,1.436,1.82,-0.75
11,7,4.105,0.488,2.23
11,8,7.971,0.133,0.03
11,9,5.551,1.809,-0.98
11,10,0.763,1.276,1.12
11,11,-4.504,3.718,-0.02
11,12,1.525,1.654,0.74
11,13,-2.279,1.376,-0.52
11,14,3.44,3.085,1.38
12,0,0,-0.0109927,-0.0300133
12,1,0.966354,0.0105673,-0.01
12,2,1.977,-0.00405167,0.0579
12,3,2.9867,0.023584,0.01
12,4,-2.633,3.008,-0.53
12,5,1.339,2.286,2.66
12,6,1.436,1.82,-0.75
12,7,4.105,0.488,2.23
12,8,7.971,0.133,0.03
12,9,5.551,1.809,-0.98
12,10,0.763,1.276,1.12
12,11,-4.504,3.718,-0.02
12,12,1.525,1.654,0.74
12,13,-2.279,1.376,-0.52
12,14,3.44,3.085,1.38
13,0,0,-0.011,-0.0333267
13,1,0.969354,0.00690067,-0.01
13,2,1.977,-0.00771833,0.0379
13,3,2.9837,0.0272507,0.01
13,4,-2.633,3.008,-0.53
13,5,1.339,2.286,2.66
13,6,1.436,1.82,-0.75
13,7,4.105,0.488,2.23
13,8,7.971,0.133,0.03
13,9,5.551,1.809,-0.98
13,10,0.763,1.276,1.12
13,11,-4.504,3.718,-0.02
13,12,1.525,1.654,0.74
13,13,-2.279,1.376,-0.52
13,14,3.44,3.085,1.38
14,0,0,-0.011,-0.03666
14,1,0.972354,0.003234,-0.01
14,2,1.97732,-0.010615,0.01965
14,3,2.9807,0.0309173,0.01
14,4,-2.633,3.008,-0.53
14,5,1.33913,2.286,2.65384
14,6,1.41932,1.80615,-0.775183
14,7,4.105,0.488,2.23
14,8,7.971,0.133,0.03
14,9,5.551,1.809,-0.98
14,10,0.763,1.276,1.12
14,11,-4.504,3.718,-0.02
14,12,1.525,1.654,0.74
14,13,-2.279,1.376,-0.52
14,14,3.44,3.085,1.38
15,0,0,-0.011,-0.0399933
15,1,0.975,0,-0.01
15,2,1.98032,-0.00694833,0.0163167
15,3,2.979,0.033,0.01
15,4,-2.633,3.008,-0.53
15,5,1.34213,2.286,2.50717
15,6,1.40166,1.79149,-0.801832
15,7,4.105,0.488,2.23
15,8,7.971,0.133,0.03
15,9,5.551,1.809,-0.98
15,10,0.763,1.276,1.12
15,11,-4.504,3.718,-0.02
15,12,1.525,1.654,0.74
15,13,-2.279,1.376,-0.52
15,14,3.44,3.085,1.38
16,0,0,-0.011,-0.0366733
16,1,0.975,0,-0.01
16,2,1.98332,-0.00328167,0.0129833
16,3,2.979,0.033,0.01
16,4,-2.633,3.008,-0.53
16,5,1.34513,2.286,2.36051
16,6,1.38401,1.77684,-0.828481
16,7,4.105,0.488,2.23
16,8,7.971,0.133,0.03
16,9,5.551,1.809,-0.98
16,10,0.763,1.276,1.12
16,11,-4.504,3.718,-0.02
16,12,1.525,1.654,0.74
16,13,-2.279,1.376,-0.52
16,14,3.44,3.085,1.38
17,0,0,-0.011,-0.03334
17,1,0.975,0,-0.01
17,2,1.986,0.000385,0.01
17,3,2.979,0.033,0.01
17,4,-2.633,3.008,-0.53
17,5,1.34825,2.286,2.21874
17,6,1.36634,1.776,-0.852003
17,7,4.105,0.488,2.23
17,8,7.971,0.133,0.03
17,9,5.551,1.809,-0.98
17,10,0.763,1.276,1.12
17,11,-4.504,3.718,-0.02
17,12,1.525,1.654,0.74
17,13,-2.279,1.376,-0.52
17,14,3.44,3.085,1.38
18,0,0,-0.011,-0.0300067
18,1,0.975,0,-0.0103933
18,2,1.986,0.00405167,0.01
18,3,2.9803,0.034584,0.01
18,4,-2.633,3.008,-0.53
18,5,1.35425,2.286,2.18873
18,6,1.34867,1.776,-0.875337
18,7,4.105,0.488,2.23
18,8,7.971,0.133,0.03
18,9,5.551,1.809,-0.98
18,10,0.763,1.276,1.12
18,11,-4.504,3.718,-0.02
18,12,1.525,1.654,0.74
18,13,-2.279,1.376,-0.52
18,14,3.44,3.085,1.38
19,0,0,-0.011,-0.0333267
19,1,0.975,0,-0.0137267
19,2,1.986,0.00771833,0.01
19,3,2.9833,0.0382507,0.01
19,4,-2.633,3.008,-0.53
19,5,1.36026,2.286,2.15872
19,6,1.33101,1.776,-0.89867
19,7,4.105,0.488,2.23
19,8,7.971,0.133,0.03
19,9,5.551,1.809,-0.98
19,10,0.763,1.276,1.12
19,11,-4.504,3.718,-0.02
19,12,1.525,1.654,0.74
19,13,-2.279,1.376,-0.52
19,14,3.44,3.085,1.38
20,0,0,-0.011,-0.03666
20,1,0.975,0,-0.01706
20,2,1.98568,0.011,0.00965
20,3,2.9863,0.0419173,0.01
20,4,-2.633,3.008,-0.53
20,5,1.36547,2.286,2.12737
20,6,1.30202,1.77254,-0.89057
20,7,4.105,0.488,2.23
20,8,7.971,0.133,0.03
20,9,5.551,1.809,-0.98
20,10,0.763,1.276,1.12
20,11,-4.504,3.718,-0.02
20,12,1.525,1.654,0.74
20,13,-2.279,1.376,-0.52
20,14,3.44,3.085,1.38
21,0,0,-0.011,-0.0399933
21,1,0.975,0,-0.02
21,2,1.98268,0.011,0.00631667
21,3,2.9867,0.044,0.01
21,4,-2.633,3.008,-0.53
21,5,1.35326,2.286,2.06632
21,6,1.27236,1.76888,-0.88057
21,7,4.105,0.488,2.23
21,8,7.971,0.133,0.03
21,9,5.551,1.809,-0.98
21,10,0.763,1.276,1.12
21,11,-4.504,3.718,-0.02
21,12,1.525,1.654,0.74
21,13,-2.279,1.376,-0.52
21,14,3.44,3.085,1.38
22,0,0,-0.011,-0.04
22,1,0.975,0,-0.02
22,2,1.97968,0.011,0.00298333
22,3,2.9837,0.044,0.01
22,4,-2.633,3.008,-0.53
22,5,1.35717,2.286,1.98906
22,6,1.24269,1.76521,-0.87057
22,7,4.105,0.488,2.23
22,8,7.971,0.133,0.03
22,9,5.551,1.809,-0.98
22,10,0.763,1.276,1.12
22,11,-4.504,3.718,-0.02
22,12,1.525,1.654,0.74
22,13,-2.279,1.376,-0.52
22,14,3.44,3.085,1.38
23,0,0,-0.011,-0.04
23,1,0.975,0,-0.02
23,2,1.977,0.011,-0.00035
23,3,2.9807,0.044,0.01
23,4,-2.64596,3.01064,-0.5372
23,5,2.20628,1.83967,1.9157
23,6,5.86823,-0.524166,-0.863938
23,7,4.105,0.488,2.23
23,8,7.971,0.133,0.03
23,9,5.551,1.809,-0.98
23,10,0.763,1.276,1.12
23,11,-4.504,3.718,-0.02
23,12,1.525,1.654,0.74
23,13,-2.279,1.376,-0.52
23,14,3.44,3.085,1.38
24,0,0,-0.011,-0.04
24,1,0.975,0,-0.0203933
24,2,1.977,0.011,-0.00368333
24,3,2.9803,0.0455877,0.00855667
24,4,-2.66396,3.01431,-0.5472
24,5,4.0653,0.852215,1.86194
24,6,5.85833,-0.536267,-0.885941
24,7,4.105,0.488,2.23
24,8,7.971,0.133,0.03
24,9,5.551,1.809,-0.98
24,10,0.763,1.276,1.12
24,11,-4.504,3.718,-0.02
24,12,1.525,1.654,0.74
24,13,-2.279,1.376,-0.52
24,14,3.44,3.085,1.38
25,0,0,-0.00733945,-0.04
25,1,0.975,0,-0.0237267
25,2,1.977,0.011,-0.00701667
25,3,2.9833,0.0492543,0.00522333
25,4,-2.68196,3.01797,-0.5572
25,5,4.60654,0.492017,1.80335
25,6,5.84843,-0.548369,-0.907943
25,7,4.105,0.488,2.23
25,8,7.971,0.133,0.03
25,9,5.551,1.809,-0.98
25,10,0.763,1.276,1.12
25,11,-4.504,3.718,-0.02
25,12,1.525,1.654,0.74
25,13,-2.279,1.376,-0.52
25,14,3.44,3.085,1.38
26,0,0,-0.00367156,-0.04
26,1,0.975,0,-0.02706
26,2,1.977,0.011,-0.00965
26,3,2.9863,0.052921,0.00189
26,4,-0.311143,1.96576,-0.570704
26,5,4.77177,0.310804,1.74339
26,6,5.86304,-0.451341,-0.92904
26,7,4.105,0.488,2.23
26,8,7.971,0.133,0.03
26,9,5.551,1.809,-0.98
26,10,0.763,1.276,1.12
