time,node_id,channel,tx_power,data_rate,neighbors,interference
0.2,0,0,20,6,7,0.045
0.2,1,1,20,6,6,0.04
0.2,2,2,20,6,7,0.045
0.2,3,0,20,6,7,0.045
0.2,4,1,20,6,6,0.04
0.2,5,2,20,6,7,0.045
0.2,6,0,20,6,2,0.02
0.2,7,1,20,6,1,0.015
0.2,8,2,20,6,2,0.02
0.2,9,0,20,6,3,0.025
0.2,10,1,20,6,0,0.01
0.2,11,2,20,6,6,0.04
0.2,12,0,20,6,7,0.045
0.2,13,1,20,6,2,0.02
0.2,14,2,20,6,1,0.015
5.2,0,0,20,6,6,0.04
5.2,1,1,20,6,7,0.045
5.2,2,2,20,6,5,0.035
5.2,3,0,20,6,6,0.04
5.2,4,1,20,6,6,0.04
5.2,5,2,20,6,7,0.045
5.2,6,0,20,6,3,0.025
5.2,7,1,20,6,2,0.02
5.2,8,2,20,6,3,0.025
5.2,9,0,20,6,3,0.025
5.2,10,1,20,6,0,0.01
5.2,11,2,20,6,4,0.03
5.2,12,0,20,6,7,0.045
5.2,13,1,20,6,2,0.02
5.2,14,2,20,6,1,0.015
10.2,0,0,20,6,6,0.04
10.2,1,1,20,6,7,0.045
10.2,2,2,20,6,4,0.03
10.2,3,0,20,6,8,0.05
10.2,4,1,20,6,7,0.045
10.2,5,2,20,6,9,0.055
10.2,6,0,20,6,4,0.03
10.2,7,1,20,6,4,0.03
10.2,8,2,20,6,7,0.045
10.2,9,0,20,6,3,0.025
10.2,10,1,20,6,1,0.015
10.2,11,2,20,6,6,0.04
10.2,12,0,20,6,8,0.05
10.2,13,1,20,6,3,0.025
10.2,14,2,20,6,3,0.025
15.2,0,0,20,6,6,0.04
15.2,1,1,20,6,7,0.045
15.2,2,2,20,6,7,0.045
15.2,3,0,20,6,9,0.055
15.2,4,1,20,6,7,0.045
15.2,5,2,20,6,8,0.05
15.2,6,0,20,6,4,0.03
15.2,7,1,20,6,2,0.02
15.2,8,2,20,6,7,0.045
15.2,9,0,20,6,3,0.025
15.2,10,1,20,6,0,0.01
15.2,11,2,20,6,6,0.04
15.2,12,0,20,6,9,0.055
15.2,13,1,20,6,5,0.035
15.2,14,2,20,6,2,0.02
20.2,0,0,20,6,2,0.02
20.2,1,1,20,6,7,0.045
20.2,2,2,20,6,7,0.045
20.2,3,0,20,6,8,0.05
20.2,4,1,20,6,6,0.04
20.2,5,2,20,6,7,0.045
20.2,6,0,20,6,4,0.03
20.2,7,1,20,6,3,0.025
20.2,8,2,20,6,6,0.04
20.2,9,0,20,6,2,0.02
20.2,10,1,20,6,0,0.01
20.2,11,2,20,6,4,0.03
20.2,12,0,20,6,8,0.05
20.2,13,1,20,6,6,0.04
20.2,14,2,20,6,2,0.02
25.2,0,0,20,6,6,0.04
25.2,1,1,20,6,7,0.045
25.2,2,2,20,6,6,0.04
25.2,3,0,20,6,6,0.04
25.2,4,1,20,6,5,0.035
25.2,5,2,20,6,8,0.05
25.2,6,0,20,6,4,0.03
25.2,7,1,20,6,4,0.03
25.2,8,2,20,6,3,0.025
25.2,9,0,20,6,2,0.02
25.2,10,1,20,6,0,0.01
25.2,11,2,20,6,4,0.03
25.2,12,0,20,6,6,0.04
25.2,13,1,20,6,4,0.03
25.2,14,2,20,6,3,0.025
30.2,0,0,20,6,6,0.04
30.2,1,1,20,6,5,0.035
30.2,2,2,20,6,5,0.035
30.2,3,0,20,6,4,0.03
30.2,4,1,20,6,6,0.04
30.2,5,2,20,6,7,0.045
30.2,6,0,20,6,3,0.025
30.2,7,1,20,6,4,0.03
30.2,8,2,20,6,5,0.035
30.2,9,0,20,6,2,0.02
30.2,10,1,20,6,0,0.01
30.2,11,2,20,6,3,0.025
30.2,12,0,20,6,5,0.035
30.2,13,1,20,6,5,0.035
30.2,14,2,20,6,2,0.02
35.2,0,0,20,6,7,0.045
35.2,1,1,20,6,2,0.02
35.2,2,2,20,6,2,0.02
35.2,3,0,20,6,3,0.025
35.2,4,1,20,6,6,0.04
35.2,5,2,20,6,7,0.045
35.2,6,0,20,6,3,0.025
35.2,7,1,20,6,3,0.025
35.2,8,2,20,6,7,0.045
35.2,9,0,20,6,2,0.02
35.2,10,1,20,6,0,0.01
35.2,11,2,20,6,6,0.04
35.2,12,0,20,6,6,0.04
35.2,13,1,20,6,6,0.04
35.2,14,2,20,6,2,0.02
40.2,0,0,20,6,4,0.03
40.2,1,1,20,6,3,0.025
40.2,2,2,20,6,2,0.02
40.2,3,0,20,6,2,0.02
40.2,4,1,20,6,5,0.035
40.2,5,2,20,6,7,0.045
40.2,6,0,20,6,3,0.025
40.2,7,1,20,6,2,0.02
40.2,8,2,20,6,3,0.025
40.2,9,0,20,6,2,0.02
40.2,10,1,20,6,0,0.01
40.2,11,2,20,6,6,0.04
40.2,12,0,20,6,5,0.035
40.2,13,1,20,6,5,0.035
40.2,14,2,20,6,3,0.025
45.2,0,0,20,6,3,0.025
45.2,1,1,20,6,4,0.03
45.2,2,2,20,6,5,0.035
45.2,3,0,20,6,2,0.02
45.2,4,1,20,6,4,0.03
45.2,5,2,20,6,8,0.05
45.2,6,0,20,6,6,0.04
45.2,7,1,20,6,5,0.035
45.2,8,2,20,6,7,0.045
45.2,9,0,20,6,2,0.02
45.2,10,1,20,6,0,0.01
45.2,11,2,20,6,6,0.04
45.2,12,0,20,6,7,0.045
45.2,13,1,20,6,8,0.05
45.2,14,2,20,6,3,0.025
50.2,0,0,20,6,3,0.025
50.2,1,1,20,6,3,0.025
50.2,2,2,20,6,3,0.025
50.2,3,0,20,6,1,0.015
50.2,4,1,20,6,5,0.035
50.2,5,2,20,6,7,0.045
50.2,6,0,20,6,6,0.04
50.2,7,1,20,6,6,0.04
50.2,8,2,20,6,8,0.05
50.2,9,0,20,6,0,0.01
50.2,10,1,20,6,0,0.01
50.2,11,2,20,6,7,0.045
50.2,12,0,20,6,7,0.045
50.2,13,1,20,6,8,0.05
50.2,14,2,20,6,2,0.02
55.2,0,0,20,6,1,0.015
55.2,1,1,20,6,4,0.03
55.2,2,2,20,6,9,0.055
55.2,3,0,20,6,0,0.01
55.2,4,1,20,6,6,0.04
55.2,5,2,20,6,9,0.055
55.2,6,0,20,6,6,0.04
55.2,7,1,20,6,6,0.04
55.2,8,2,20,6,9,0.055
55.2,9,0,20,6,1,0.015
55.2,10,1,20,6,0,0.01
55.2,11,2,20,6,5,0.035
55.2,12,0,20,6,5,0.035
55.2,13,1,20,6,7,0.045
55.2,14,2,20,6,4,0.03
60.2,0,0,20,6,1,0.015
60.2,1,1,20,6,7,0.045
60.2,2,2,20,6,6,0.04
60.2,3,0,20,6,0,0.01
60.2,4,1,20,6,5,0.035
60.2,5,2,20,6,8,0.05
60.2,6,0,20,6,5,0.035
60.2,7,1,20,6,7,0.045
60.2,8,2,20,6,8,0.05
60.2,9,0,20,6,4,0.03
60.2,10,1,20,6,0,0.01
60.2,11,2,20,6,4,0.03
60.2,12,0,20,6,6,0.04
60.2,13,1,20,6,5,0.035
60.2,14,2,20,6,4,0.03
65.2,0,0,20,6,2,0.02
65.2,1,1,20,6,7,0.045
65.2,2,2,20,6,5,0.035
65.2,3,0,20,6,0,0.01
65.2,4,1,20,6,3,0.025
65.2,5,2,20,6,7,0.045
65.2,6,0,20,6,5,0.035
65.2,7,1,20,6,7,0.045
65.2,8,2,20,6,4,0.03
65.2,9,0,20,6,4,0.03
65.2,10,1,20,6,0,0.01
65.2,11,2,20,6,3,0.025
65.2,12,0,20,6,3,0.025
65.2,13,1,20,6,4,0.03
65.2,14,2,20,6,2,0.02
70.2,0,0,20,6,2,0.02
70.2,1,1,20,6,6,0.04
70.2,2,2,20,6,7,0.045
70.2,3,0,20,6,0,0.01
70.2,4,1,20,6,4,0.03
70.2,5,2,20,6,6,0.04
70.2,6,0,20,6,7,0.045
70.2,7,1,20,6,6,0.04
70.2,8,2,20,6,3,0.025
70.2,9,0,20,6,8,0.05
70.2,10,1,20,6,0,0.01
70.2,11,2,20,6,3,0.025
70.2,12,0,20,6,7,0.045
70.2,13,1,20,6,7,0.045
70.2,14,2,20,6,2,0.02
75.2,0,0,20,6,2,0.02
75.2,1,1,20,6,5,0.035
75.2,2,2,20,6,5,0.035
75.2,3,0,20,6,0,0.01
75.2,4,1,20,6,4,0.03
75.2,5,2,20,6,5,0.035
75.2,6,0,20,6,6,0.04
75.2,7,1,20,6,6,0.04
75.2,8,2,20,6,4,0.03
75.2,9,0,20,6,5,0.035
75.2,10,1,20,6,0,0.01
75.2,11,2,20,6,3,0.025
75.2,12,0,20,6,4,0.03
75.2,13,1,20,6,5,0.035
75.2,14,2,20,6,2,0.02
80.2,0,0,20,6,3,0.025
80.2,1,1,20,6,3,0.025
80.2,2,2,20,6,4,0.03
80.2,3,0,20,6,0,0.01
80.2,4,1,20,6,6,0.04
80.2,5,2,20,6,4,0.03
80.2,6,0,20,6,3,0.025
80.2,7,1,20,6,6,0.04
80.2,8,2,20,6,4,0.03
80.2,9,0,20,6,3,0.025
80.2,10,1,20,6,0,0.01
80.2,11,2,20,6,4,0.03
80.2,12,0,20,6,5,0.035
80.2,13,1,20,6,3,0.025
80.2,14,2,20,6,4,0.03
85.2,0,0,20,6,3,0.025
85.2,1,1,20,6,2,0.02
85.2,2,2,20,6,4,0.03
85.2,3,0,20,6,0,0.01
85.2,4,1,20,6,5,0.035
85.2,5,2,20,6,4,0.03
85.2,6,0,20,6,3,0.025
85.2,7,1,20,6,4,0.03
85.2,8,2,20,6,3,0.025
85.2,9,0,20,6,2,0.02
85.2,10,1,20,6,0,0.01
85.2,11,2,20,6,2,0.02
85.2,12,0,20,6,2,0.02
85.2,13,1,20,6,3,0.025
85.2,14,2,20,6,3,0.025
90.2,0,0,20,6,5,0.035
90.2,1,1,20,6,3,0.025
90.2,2,2,20,6,7,0.045
90.2,3,0,20,6,1,0.015
90.2,4,1,20,6,6,0.04
90.2,5,2,20,6,3,0.025
90.2,6,0,20,6,3,0.025
90.2,7,1,20,6,6,0.04
90.2,8,2,20,6,5,0.035
90.2,9,0,20,6,3,0.025
90.2,10,1,20,6,0,0.01
90.2,11,2,20,6,5,0.035
90.2,12,0,20,6,1,0.015
90.2,13,1,20,6,3,0.025
90.2,14,2,20,6,3,0.025
95.2,0,0,20,6,5,0.035
95.2,1,1,20,6,4,0.03
95.2,2,2,20,6,7,0.045
95.2,3,0,20,6,0,0.01
95.2,4,1,20,6,7,0.045
95.2,5,2,20,6,3,0.025
95.2,6,0,20,6,3,0.025
95.2,7,1,20,6,5,0.035
95.2,8,2,20,6,5,0.035
95.2,9,0,20,6,1,0.015
95.2,10,1,20,6,0,0.01
95.2,11,2,20,6,4,0.03
95.2,12,0,20,6,3,0.025
95.2,13,1,20,6,3,0.025
95.2,14,2,20,6,4,0.03
100.2,0,0,20,6,4,0.03
100.2,1,1,20,6,2,0.02
100.2,2,2,20,6,7,0.045
100.2,3,0,20,6,0,0.01
100.2,4,1,20,6,7,0.045
100.2,5,2,20,6,3,0.025
100.2,6,0,20,6,2,0.02
100.2,7,1,20,6,4,0.03
100.2,8,2,20,6,6,0.04
100.2,9,0,20,6,1,0.015
100.2,10,1,20,6,0,0.01
100.2,11,2,20,6,5,0.035
100.2,12,0,20,6,3,0.025
100.2,13,1,20,6,2,0.02
100.2,14,2,20,6,4,0.03
105.2,0,0,20,6,5,0.035
105.2,1,1,20,6,3,0.025
105.2,2,2,20,6,5,0.035
105.2,3,0,20,6,2,0.02
105.2,4,1,20,6,6,0.04
