time,nodeId,x,y,z,node_type
0,0,28.4927,87.5052,51.8658,0
0,1,132.271,278.715,45.0625,0
0,2,52.5143,177.949,44.2202,0
0,3,125.931,151.091,48.665,0
0,4,26.3488,179.783,54.9858,0
0,5,158.052,116.557,45.9488,0
0,6,383.676,177.67,58.534,0
0,7,436.948,82.9357,42.3848,0
0,8,240.734,247.411,56.6253,0
0,9,294.771,167.844,52.7139,0
0,10,403.311,415.828,46.5187,0
0,11,120.611,59.1341,54.9877,0
0,12,87.5424,181.978,43.4255,0
0,13,36.4676,0.312201,53.4009,0
0,14,109.863,350.121,43.0933,0
0.2,0,29.0385,85.3113,51.8658,0
0.2,1,133.044,277.871,45.0625,0
0.2,2,48.9459,179.698,44.2202,0
0.2,3,122.935,153.153,48.665,0
0.2,4,27.28,180.354,54.9858,0
0.2,5,157.379,117.916,45.9488,0
0.2,6,381.689,175.468,58.534,0
0.2,7,433.866,82.6515,42.3848,0
0.2,8,242.376,246.377,56.6253,0
0.2,9,294.921,165.352,52.7139,0
0.2,10,401.326,415.942,46.5187,0
0.2,11,119.141,56.6122,54.9877,0
0.2,12,90.2413,181.119,43.4255,0
0.2,13,35.008,0.243364,53.4009,0
0.2,14,112.033,348.32,43.0933,0
0.4,0,29.5842,83.1173,51.8658,0
0.4,1,133.817,277.027,45.0625,0
0.4,2,45.3774,181.447,44.2202,0
0.4,3,119.939,155.215,48.665,0
0.4,4,28.2113,180.926,54.9858,0
0.4,5,156.706,119.274,45.9488,0
0.4,6,379.701,173.267,58.534,0
0.4,7,430.784,82.3674,42.3848,0
0.4,8,244.018,245.344,56.6253,0
0.4,9,295.071,162.86,52.7139,0
0.4,10,399.341,416.056,46.5187,0
0.4,11,117.672,54.0903,54.9877,0
0.4,12,92.9402,180.261,43.4255,0
0.4,13,33.5484,0.79893,53.4009,0
0.4,14,114.203,346.519,43.0933,0
0.6,0,30.1299,80.9233,51.8658,0
0.6,1,134.59,276.183,45.0625,0
0.6,2,41.809,183.195,44.2202,0
0.6,3,116.943,157.277,48.665,0
0.6,4,29.1425,181.497,54.9858,0
0.6,5,156.033,120.633,45.9488,0
0.6,6,377.714,171.066,58.534,0
0.6,7,427.702,82.0832,42.3848,0
0.6,8,245.66,244.311,56.6253,0
0.6,9,295.222,160.367,52.7139,0
0.6,10,397.356,416.171,46.5187,0
0.6,11,116.202,51.5684,54.9877,0
0.6,12,95.6392,179.402,43.4255,0
0.6,13,32.0888,1.35449,53.4009,0
0.6,14,116.373,344.718,43.0933,0
0.8,0,30.6756,78.7294,51.8658,0
0.8,1,135.363,275.339,45.0625,0
0.8,2,38.2405,184.944,44.2202,0
0.8,3,113.946,159.339,48.665,0
0.8,4,30.0738,182.068,54.9858,0
0.8,5,155.36,121.992,45.9488,0
0.8,6,375.726,168.864,58.534,0
0.8,7,424.62,81.799,42.3848,0
0.8,8,247.302,243.278,56.6253,0
0.8,9,295.372,157.875,52.7139,0
0.8,10,395.371,416.285,46.5187,0
0.8,11,114.732,49.0466,54.9877,0
0.8,12,98.3381,178.543,43.4255,0
