time,num_links,connectivity
time,num_links,connectivity
0,32,0.304762
0.2,32,0.304762
0.4,32,0.304762
0.6,31,0.295238
0.8,32,0.304762
1,33,0.314286
1.2,34,0.32381
1.4,34,0.32381
1.6,34,0.32381
1.8,34,0.32381
2,34,0.32381
2.2,33,0.314286
2.4,33,0.314286
2.6,31,0.295238
2.8,32,0.304762
3,30,0.285714
3.2,29,0.27619
3.4,29,0.27619
3.6,30,0.285714
3.8,29,0.27619
4,29,0.27619
4.2,28,0.266667
4.4,28,0.266667
4.6,28,0.266667
4.8,30,0.285714
5,30,0.285714
5.2,31,0.295238
5.4,31,0.295238
5.6,31,0.295238
5.8,31,0.295238
6,31,0.295238
6.2,32,0.304762
6.4,34,0.32381
6.6,34,0.32381
6.8,35,0.333333
7,36,0.342857
7.2,37,0.352381
7.4,37,0.352381
7.6,38,0.361905
7.8,38,0.361905
8,38,0.361905
8.2,38,0.361905
8.4,38,0.361905
8.6,38,0.361905
8.8,38,0.361905
9,38,0.361905
9.2,38,0.361905
9.4,38,0.361905
9.6,39,0.371429
9.8,39,0.371429
10,40,0.380952
10.2,40,0.380952
10.4,40,0.380952
10.6,40,0.380952
10.8,42,0.4
11,42,0.4
11.2,42,0.4
11.4,42,0.4
11.6,42,0.4
11.8,43,0.409524
12,43,0.409524
12.2,44,0.419048
12.4,44,0.419048
12.6,42,0.4
12.8,43,0.409524
13,43,0.409524
13.2,43,0.409524
13.4,43,0.409524
13.6,43,0.409524
13.8,43,0.409524
14,44,0.419048
14.2,43,0.409524
14.4,43,0.409524
14.6,43,0.409524
14.8,41,0.390476
15,41,0.390476
15.2,41,0.390476
15.4,41,0.390476
15.6,41,0.390476
15.8,40,0.380952
16,39,0.371429
16.2,40,0.380952
16.4,40,0.380952
16.6,40,0.380952
16.8,41,0.390476
17,42,0.4
17.2,42,0.4
17.4,41,0.390476
17.6,41,0.390476
17.8,39,0.371429
18,38,0.361905
18.2,38,0.361905
18.4,39,0.371429
18.6,39,0.371429
18.8,39,0.371429
19,40,0.380952
19.2,39,0.371429
19.4,38,0.361905
19.6,37,0.352381
19.8,38,0.361905
20,38,0.361905
20.2,36,0.342857
20.4,36,0.342857
20.6,37,0.352381
20.8,37,0.352381
21,39,0.371429
21.2,39,0.371429
21.4,36,0.342857
21.6,36,0.342857
21.8,36,0.342857
22,35,0.333333
22.2,36,0.342857
22.4,36,0.342857
22.6,34,0.32381
22.8,34,0.32381
23,34,0.32381
23.2,34,0.32381
23.4,35,0.333333
23.6,35,0.333333
23.8,35,0.333333
24,35,0.333333
24.2,35,0.333333
24.4,35,0.333333
24.6,32,0.304762
24.8,34,0.32381
25,33,0.314286
25.2,34,0.32381
25.4,34,0.32381
25.6,33,0.314286
25.8,32,0.304762
26,32,0.304762
26.2,32,0.304762
26.4,32,0.304762
26.6,32,0.304762
26.8,31,0.295238
27,32,0.304762
27.2,32,0.304762
27.4,31,0.295238
27.6,31,0.295238
27.8,31,0.295238
28,31,0.295238
28.2,31,0.295238
28.4,30,0.285714
28.6,30,0.285714
28.8,30,0.285714
29,32,0.304762
29.2,31,0.295238
29.4,30,0.285714
29.6,29,0.27619
29.8,30,0.285714
30,30,0.285714
30.2,31,0.295238
30.4,32,0.304762
30.6,32,0.304762
30.8,31,0.295238
31,30,0.285714
31.2,30,0.285714
31.4,30,0.285714
31.6,31,0.295238
31.8,31,0.295238
32,30,0.285714
32.2,30,0.285714
32.4,30,0.285714
32.6,30,0.285714
32.8,30,0.285714
33,31,0.295238
33.2,31,0.295238
33.4,31,0.295238
33.6,32,0.304762
33.8,32,0.304762
34,33,0.314286
34.2,32,0.304762
34.4,32,0.304762
34.6,31,0.295238
34.8,31,0.295238
35,31,0.295238
35.2,31,0.295238
35.4,31,0.295238
35.6,30,0.285714
35.8,29,0.27619
36,29,0.27619
36.2,30,0.285714
36.4,30,0.285714
36.6,30,0.285714
36.8,30,0.285714
37,30,0.285714
37.2,30,0.285714
37.4,30,0.285714
37.6,29,0.27619
37.8,29,0.27619
38,29,0.27619
38.2,27,0.257143
38.4,27,0.257143
38.6,27,0.257143
38.8,27,0.257143
39,27,0.257143
39.2,26,0.247619
39.4,26,0.247619
39.6,26,0.247619
39.8,26,0.247619
40,26,0.247619
40.2,26,0.247619
40.4,27,0.257143
40.6,30,0.285714
40.8,30,0.285714
41,31,0.295238
41.2,32,0.304762
41.4,31,0.295238
41.6,31,0.295238
41.8,31,0.295238
42,33,0.314286
42.2,33,0.314286
42.4,32,0.304762
42.6,33,0.314286
42.8,32,0.304762
43,31,0.295238
43.2,31,0.295238
43.4,31,0.295238
43.6,31,0.295238
43.8,31,0.295238
44,32,0.304762
44.2,32,0.304762
44.4,31,0.295238
44.6,31,0.295238
44.8,32,0.304762
45,33,0.314286
45.2,35,0.333333
45.4,35,0.333333
45.6,34,0.32381
45.8,33,0.314286
46,33,0.314286
46.2,33,0.314286
46.4,33,0.314286
46.6,33,0.314286
46.8,33,0.314286
47,32,0.304762
47.2,32,0.304762
47.4,33,0.314286
47.6,33,0.314286
47.8,32,0.304762
48,34,0.32381
48.2,34,0.32381
48.4,34,0.32381
48.6,33,0.314286
48.8,33,0.314286
49,33,0.314286
49.2,33,0.314286
49.4,33,0.314286
49.6,32,0.304762
49.8,34,0.32381
50,34,0.32381
50.2,33,0.314286
50.4,33,0.314286
50.6,33,0.314286
50.8,33,0.314286
51,33,0.314286
51.2,33,0.314286
51.4,33,0.314286
51.6,33,0.314286
51.8,32,0.304762
52,34,0.32381
52.2,35,0.333333
52.4,36,0.342857
52.6,35,0.333333
52.8,37,0.352381
53,38,0.361905
53.2,36,0.342857
53.4,37,0.352381
53.6,38,0.361905
53.8,38,0.361905
54,38,0.361905
54.2,38,0.361905
54.4,37,0.352381
54.6,37,0.352381
54.8,35,0.333333
55,36,0.342857
55.2,36,0.342857
55.4,38,0.361905
55.6,42,0.4
55.8,41,0.390476
56,40,0.380952
56.2,39,0.371429
56.4,39,0.371429
56.6,38,0.361905
56.8,38,0.361905
57,37,0.352381
57.2,37,0.352381
57.4,37,0.352381
57.6,36,0.342857
57.8,36,0.342857
58,36,0.342857
58.2,36,0.342857
58.4,36,0.342857
58.6,36,0.342857
58.8,36,0.342857
59,37,0.352381
59.2,35,0.333333
59.4,35,0.333333
59.6,35,0.333333
59.8,35,0.333333
60,36,0.342857
60.2,35,0.333333
60.4,35,0.333333
60.6,36,0.342857
60.8,36,0.342857
61,35,0.333333
61.2,35,0.333333
61.4,35,0.333333
61.6,35,0.333333
61.8,35,0.333333
62,30,0.285714
62.2,31,0.295238
62.4,30,0.285714
62.6,30,0.285714
62.8,29,0.27619
63,29,0.27619
63.2,29,0.27619
63.4,30,0.285714
63.6,30,0.285714
63.8,30,0.285714
64,30,0.285714
64.2,29,0.27619
64.4,27,0.257143
64.6,27,0.257143
64.8,28,0.266667
65,28,0.266667
65.2,28,0.266667
65.4,29,0.27619
65.6,29,0.27619
65.8,29,0.27619
66,29,0.27619
66.2,29,0.27619
66.4,30,0.285714
66.6,29,0.27619
66.8,31,0.295238
67,31,0.295238
67.2,31,0.295238
67.4,33,0.314286
67.6,33,0.314286
67.8,33,0.314286
68,33,0.314286
68.2,32,0.304762
68.4,32,0.304762
68.6,31,0.295238
68.8,31,0.295238
69,32,0.304762
69.2,31,0.295238
69.4,31,0.295238
69.6,32,0.304762
69.8,34,0.32381
70,34,0.32381
70.2,34,0.32381
70.4,34,0.32381
70.6,33,0.314286
70.8,33,0.314286
71,33,0.314286
71.2,33,0.314286
71.4,32,0.304762
71.6,32,0.304762
71.8,32,0.304762
72,32,0.304762
72.2,32,0.304762
72.4,33,0.314286
72.6,33,0.314286
72.8,32,0.304762
73,32,0.304762
73.2,32,0.304762
73.4,32,0.304762
73.6,32,0.304762
73.8,32,0.304762
74,31,0.295238
74.2,29,0.27619
74.4,29,0.27619
74.6,29,0.27619
74.8,29,0.27619
75,29,0.27619
75.2,28,0.266667
75.4,27,0.257143
75.6,27,0.257143
75.8,26,0.247619
76,27,0.257143
76.2,27,0.257143
76.4,27,0.257143
76.6,27,0.257143
76.8,25,0.238095
77,26,0.247619
77.2,26,0.247619
77.4,26,0.247619
77.6,26,0.247619
77.8,26,0.247619
78,26,0.247619
78.2,26,0.247619
78.4,25,0.238095
78.6,26,0.247619
78.8,26,0.247619
79,25,0.238095
79.2,26,0.247619
79.4,26,0.247619
79.6,26,0.247619
79.8,25,0.238095
80,25,0.238095
80.2,26,0.247619
80.4,26,0.247619
80.6,26,0.247619
80.8,25,0.238095
81,24,0.228571
81.2,24,0.228571
81.4,24,0.228571
81.6,24,0.228571
81.8,24,0.228571
82,24,0.228571
82.2,23,0.219048
82.4,23,0.219048
82.6,24,0.228571
82.8,24,0.228571
83,23,0.219048
83.2,23,0.219048
83.4,22,0.209524
83.6,22,0.209524
83.8,22,0.209524
84,22,0.209524
84.2,22,0.209524
84.4,22,0.209524
84.6,22,0.209524
84.8,21,0.2
85,20,0.190476
85.2,20,0.190476
85.4,20,0.190476
85.6,20,0.190476
