time,num_nodes,num_links,avg_degree,network_density
0,15,32,4.26667,0.304762
0.2,15,32,4.26667,0.304762
0.4,15,32,4.26667,0.304762
0.6,15,31,4.13333,0.295238
0.8,15,32,4.26667,0.304762
1,15,33,4.4,0.314286
1.2,15,34,4.53333,0.32381
1.4,15,34,4.53333,0.32381
1.6,15,34,4.53333,0.32381
1.8,15,34,4.53333,0.32381
2,15,34,4.53333,0.32381
2.2,15,33,4.4,0.314286
2.4,15,33,4.4,0.314286
2.6,15,31,4.13333,0.295238
2.8,15,32,4.26667,0.304762
3,15,30,4,0.285714
3.2,15,29,3.86667,0.27619
3.4,15,29,3.86667,0.27619
3.6,15,30,4,0.285714
3.8,15,29,3.86667,0.27619
4,15,29,3.86667,0.27619
4.2,15,28,3.73333,0.266667
4.4,15,28,3.73333,0.266667
4.6,15,28,3.73333,0.266667
4.8,15,30,4,0.285714
5,15,30,4,0.285714
5.2,15,31,4.13333,0.295238
5.4,15,31,4.13333,0.295238
5.6,15,31,4.13333,0.295238
5.8,15,31,4.13333,0.295238
6,15,31,4.13333,0.295238
6.2,15,32,4.26667,0.304762
6.4,15,34,4.53333,0.32381
6.6,15,34,4.53333,0.32381
6.8,15,35,4.66667,0.333333
7,15,36,4.8,0.342857
7.2,15,37,4.93333,0.352381
7.4,15,37,4.93333,0.352381
7.6,15,38,5.06667,0.361905
7.8,15,38,5.06667,0.361905
8,15,38,5.06667,0.361905
8.2,15,38,5.06667,0.361905
8.4,15,38,5.06667,0.361905
8.6,15,38,5.06667,0.361905
8.8,15,38,5.06667,0.361905
9,15,38,5.06667,0.361905
9.2,15,38,5.06667,0.361905
9.4,15,38,5.06667,0.361905
9.6,15,39,5.2,0.371429
9.8,15,39,5.2,0.371429
10,15,40,5.33333,0.380952
10.2,15,40,5.33333,0.380952
10.4,15,40,5.33333,0.380952
10.6,15,40,5.33333,0.380952
10.8,15,42,5.6,0.4
11,15,42,5.6,0.4
11.2,15,42,5.6,0.4
11.4,15,42,5.6,0.4
11.6,15,42,5.6,0.4
11.8,15,43,5.73333,0.409524
12,15,43,5.73333,0.409524
12.2,15,44,5.86667,0.419048
12.4,15,44,5.86667,0.419048
12.6,15,42,5.6,0.4
12.8,15,43,5.73333,0.409524
13,15,43,5.73333,0.409524
13.2,15,43,5.73333,0.409524
13.4,15,43,5.73333,0.409524
13.6,15,43,5.73333,0.409524
13.8,15,43,5.73333,0.409524
14,15,44,5.86667,0.419048
14.2,15,43,5.73333,0.409524
14.4,15,43,5.73333,0.409524
14.6,15,43,5.73333,0.409524
14.8,15,41,5.46667,0.390476
15,15,41,5.46667,0.390476
15.2,15,41,5.46667,0.390476
15.4,15,41,5.46667,0.390476
15.6,15,41,5.46667,0.390476
15.8,15,40,5.33333,0.380952
16,15,39,5.2,0.371429
16.2,15,40,5.33333,0.380952
16.4,15,40,5.33333,0.380952
16.6,15,40,5.33333,0.380952
16.8,15,41,5.46667,0.390476
17,15,42,5.6,0.4
17.2,15,42,5.6,0.4
17.4,15,41,5.46667,0.390476
17.6,15,41,5.46667,0.390476
17.8,15,39,5.2,0.371429
18,15,38,5.06667,0.361905
18.2,15,38,5.06667,0.361905
18.4,15,39,5.2,0.371429
18.6,15,39,5.2,0.371429
18.8,15,39,5.2,0.371429
19,15,40,5.33333,0.380952
19.2,15,39,5.2,0.371429
19.4,15,38,5.06667,0.361905
19.6,15,37,4.93333,0.352381
19.8,15,38,5.06667,0.361905
20,15,38,5.06667,0.361905
20.2,15,36,4.8,0.342857
20.4,15,36,4.8,0.342857
20.6,15,37,4.93333,0.352381
20.8,15,37,4.93333,0.352381
21,15,39,5.2,0.371429
21.2,15,39,5.2,0.371429
21.4,15,36,4.8,0.342857
21.6,15,36,4.8,0.342857
21.8,15,36,4.8,0.342857
22,15,35,4.66667,0.333333
22.2,15,36,4.8,0.342857
22.4,15,36,4.8,0.342857
22.6,15,34,4.53333,0.32381
22.8,15,34,4.53333,0.32381
23,15,34,4.53333,0.32381
23.2,15,34,4.53333,0.32381
23.4,15,35,4.66667,0.333333
23.6,15,35,4.66667,0.333333
23.8,15,35,4.66667,0.333333
24,15,35,4.66667,0.333333
24.2,15,35,4.66667,0.333333
24.4,15,35,4.66667,0.333333
24.6,15,32,4.26667,0.304762
24.8,15,34,4.53333,0.32381
25,15,33,4.4,0.314286
25.2,15,34,4.53333,0.32381
25.4,15,34,4.53333,0.32381
25.6,15,33,4.4,0.314286
25.8,15,32,4.26667,0.304762
26,15,32,4.26667,0.304762
26.2,15,32,4.26667,0.304762
26.4,15,32,4.26667,0.304762
26.6,15,32,4.26667,0.304762
26.8,15,31,4.13333,0.295238
27,15,32,4.26667,0.304762
27.2,15,32,4.26667,0.304762
27.4,15,31,4.13333,0.295238
27.6,15,31,4.13333,0.295238
27.8,15,31,4.13333,0.295238
28,15,31,4.13333,0.295238
28.2,15,31,4.13333,0.295238
28.4,15,30,4,0.285714
28.6,15,30,4,0.285714
28.8,15,30,4,0.285714
29,15,32,4.26667,0.304762
29.2,15,31,4.13333,0.295238
29.4,15,30,4,0.285714
29.6,15,29,3.86667,0.27619
29.8,15,30,4,0.285714
30,15,30,4,0.285714
30.2,15,31,4.13333,0.295238
30.4,15,32,4.26667,0.304762
30.6,15,32,4.26667,0.304762
30.8,15,31,4.13333,0.295238
31,15,30,4,0.285714
31.2,15,30,4,0.285714
31.4,15,30,4,0.285714
31.6,15,31,4.13333,0.295238
31.8,15,31,4.13333,0.295238
32,15,30,4,0.285714
32.2,15,30,4,0.285714
32.4,15,30,4,0.285714
32.6,15,30,4,0.285714
32.8,15,30,4,0.285714
33,15,31,4.13333,0.295238
33.2,15,31,4.13333,0.295238
33.4,15,31,4.13333,0.295238
33.6,15,32,4.26667,0.304762
33.8,15,32,4.26667,0.304762
34,15,33,4.4,0.314286
34.2,15,32,4.26667,0.304762
34.4,15,32,4.26667,0.304762
34.6,15,31,4.13333,0.295238
34.8,15,31,4.13333,0.295238
35,15,31,4.13333,0.295238
35.2,15,31,4.13333,0.295238
35.4,15,31,4.13333,0.295238
35.6,15,30,4,0.285714
35.8,15,29,3.86667,0.27619
36,15,29,3.86667,0.27619
36.2,15,30,4,0.285714
36.4,15,30,4,0.285714
36.6,15,30,4,0.285714
36.8,15,30,4,0.285714
37,15,30,4,0.285714
37.2,15,30,4,0.285714
37.4,15,30,4,0.285714
37.6,15,29,3.86667,0.27619
37.8,15,29,3.86667,0.27619
38,15,29,3.86667,0.27619
38.2,15,27,3.6,0.257143
38.4,15,27,3.6,0.257143
38.6,15,27,3.6,0.257143
38.8,15,27,3.6,0.257143
39,15,27,3.6,0.257143
39.2,15,26,3.46667,0.247619
39.4,15,26,3.46667,0.247619
39.6,15,26,3.46667,0.247619
39.8,15,26,3.46667,0.247619
40,15,26,3.46667,0.247619
40.2,15,26,3.46667,0.247619
40.4,15,27,3.6,0.257143
40.6,15,30,4,0.285714
40.8,15,30,4,0.285714
41,15,31,4.13333,0.295238
41.2,15,32,4.26667,0.304762
41.4,15,31,4.13333,0.295238
41.6,15,31,4.13333,0.295238
41.8,15,31,4.13333,0.295238
42,15,33,4.4,0.314286
42.2,15,33,4.4,0.314286
42.4,15,32,4.26667,0.304762
42.6,15,33,4.4,0.314286
42.8,15,32,4.26667,0.304762
43,15,31,4.13333,0.295238
43.2,15,31,4.13333,0.295238
43.4,15,31,4.13333,0.295238
43.6,15,31,4.13333,0.295238
43.8,15,31,4.13333,0.295238
44,15,32,4.26667,0.304762
44.2,15,32,4.26667,0.304762
44.4,15,31,4.13333,0.295238
44.6,15,31,4.13333,0.295238
44.8,15,32,4.26667,0.304762
45,15,33,4.4,0.314286
45.2,15,35,4.66667,0.333333
45.4,15,35,4.66667,0.333333
45.6,15,34,4.53333,0.32381
45.8,15,33,4.4,0.314286
46,15,33,4.4,0.314286
46.2,15,33,4.4,0.314286
46.4,15,33,4.4,0.314286
46.6,15,33,4.4,0.314286
46.8,15,33,4.4,0.314286
47,15,32,4.26667,0.304762
47.2,15,32,4.26667,0.304762
47.4,15,33,4.4,0.314286
