FlowId,SrcAddr,DestAddr,TxPackets,RxPackets,LostPackets,PacketLossRate(%),Throughput(bps),DelaySum(s)
1,10.0.0.3,10.0.0.4,11,11,0,0,671995,0.0113666
2,10.0.0.4,10.0.0.3,6,6,0,0,63290,0.00921805
3,10.0.0.5,10.0.0.9,14,14,0,0,946280,0.00584794
4,10.0.0.9,10.0.0.5,7,7,0,0,64063.5,0.00446214
5,10.0.0.3,10.0.0.5,14,14,0,0,945184,0.00484597
6,10.0.0.5,10.0.0.3,7,7,0,0,62616.7,0.00541608
7,10.0.0.14,10.0.0.6,15,15,0,0,1.03008e+06,0.00538248
8,10.0.0.6,10.0.0.14,8,8,0,0,71019.9,0.00265823
9,10.0.0.13,10.0.0.5,12,12,0,0,764382,0.012455
10,10.0.0.5,10.0.0.13,6,6,0,0,64986.8,0.00625707
11,10.0.0.3,10.0.0.9,13,13,0,0,854110,0.0127214
12,10.0.0.9,10.0.0.3,7,7,0,0,75616.1,0.00155519
13,10.0.0.9,10.0.0.6,12,12,0,0,764318,0.0114105
14,10.0.0.6,10.0.0.9,6,6,0,0,63288.1,0.00426811
15,10.0.0.9,10.0.0.1,13,13,0,0,855520,0.00466566
16,10.0.0.1,10.0.0.9,7,7,0,0,62713.4,0.00747725
17,10.0.0.10,10.0.0.5,11,11,0,0,673695,0.0122607
18,10.0.0.5,10.0.0.10,6,6,0,0,65093.2,0.00934425
19,10.0.0.8,10.0.0.3,13,13,0,0,852014,0.0108407
20,10.0.0.3,10.0.0.8,7,7,0,0,71641.7,0.00441714
21,10.0.0.15,10.0.0.11,14,14,0,0,946463,0.00379434
22,10.0.0.11,10.0.0.15,7,7,0,0,61336.8,0.0064781
23,10.0.0.2,10.0.0.4,12,12,0,0,763453,0.00734616
24,10.0.0.4,10.0.0.2,6,6,0,0,57368.3,0.00926306
25,10.0.0.4,10.0.0.11,14,14,0,0,947412,0.0038389
26,10.0.0.11,10.0.0.4,7,7,0,0,61452.2,0.00446206
27,10.0.0.14,10.0.0.9,14,14,0,0,947167,0.0057737
28,10.0.0.9,10.0.0.14,7,7,0,0,63950.6,0.00343619
