time_s,nodeId,x,y,z
1,0,-0.002999,0.00366544,-0.0266578
1,1,1.011,0.033,-0.04
1,2,1.773,0.089,-1.46
1,3,2.988,0.067,0.03
1,4,4.026,0.055,-0.17
1,5,5.045,0.067,0.05
1,6,5.994,0.1,0.29
1,7,6.615,0.466,-1.21
1,8,7.714,-0.155,-3.02
1,9,1.064,6.082,-6.46
1,10,1.046,-0.366,-0.35
1,11,1.091,1.565,1.19
1,12,2.722,0.377,2.3
1,13,2.43,0.61,-6.19
1,14,3.981,1.043,0.02
2,0,-0.005998,0.00733089,-0.0533156
2,1,1.011,0.033,-0.04
2,2,1.773,0.089,-1.46
2,3,2.988,0.067,0.03
2,4,4.026,0.055,-0.17
2,5,5.045,0.067,0.05
2,6,5.994,0.1,0.29
2,7,6.615,0.466,-1.21
2,8,7.714,-0.155,-3.02
2,9,1.064,6.082,-6.46
2,10,1.046,-0.366,-0.35
2,11,1.091,1.565,1.19
2,12,2.722,0.377,2.3
2,13,2.43,0.61,-6.19
2,14,3.981,1.043,0.02
3,0,-0.008997,0.0109963,-0.0799733
3,1,1.011,0.033,-0.04
3,2,1.773,0.089,-1.46
3,3,2.988,0.067,0.03
3,4,4.026,0.055,-0.17
3,5,5.045,0.067,0.05
3,6,5.994,0.1,0.29
3,7,6.615,0.466,-1.21
3,8,7.714,-0.155,-3.02
3,9,1.064,6.082,-6.46
3,10,1.046,-0.366,-0.35
3,11,1.091,1.565,1.19
3,12,2.722,0.377,2.3
3,13,2.43,0.61,-6.19
3,14,3.981,1.043,0.02
4,0,-0.009,0.011,-0.0692567
4,1,1.011,0.033,-0.04
4,2,1.773,0.089,-1.46
4,3,2.988,0.067,0.03
4,4,4.026,0.055,-0.17
4,5,5.045,0.067,0.05
4,6,5.994,0.1,0.29
4,7,6.615,0.466,-1.21
4,8,7.714,-0.155,-3.02
4,9,1.064,6.082,-6.46
4,10,1.046,-0.366,-0.35
4,11,1.091,1.565,1.19
4,12,2.722,0.377,2.3
4,13,2.43,0.61,-6.19
4,14,3.981,1.043,0.02
5,0,-0.009,0.011,-0.0459233
5,1,1.011,0.033,-0.0603593
5,2,1.773,0.089,-1.46
5,3,2.988,0.067,0.03
5,4,4.026,0.055,-0.17
5,5,5.045,0.067,0.05
5,6,5.994,0.1,0.29
5,7,6.615,0.466,-1.21
5,8,7.714,-0.155,-3.02
5,9,1.064,6.082,-6.46
5,10,1.046,-0.366,-0.35
5,11,1.091,1.565,1.19
5,12,2.722,0.377,2.3
5,13,2.43,0.61,-6.19
5,14,3.981,1.043,0.02
6,0,-0.009,0.011,-0.02259
6,1,1.011,0.0295956,-0.064291
6,2,1.77075,0.092092,-1.44876
6,3,2.988,0.067,0.03
6,4,4.026,0.055,-0.17
6,5,5.045,0.067,0.05
6,6,5.994,0.1,0.29
6,7,6.615,0.466,-1.21
6,8,7.714,-0.155,-3.02
6,9,1.064,6.082,-6.46
6,10,1.046,-0.366,-0.35
6,11,1.091,1.565,1.19
6,12,2.722,0.377,2.3
6,13,2.43,0.61,-6.19
6,14,3.981,1.043,0.02
7,0,-0.006333,0.011,-0.02
7,1,1.011,0.0228138,0.0466831
7,2,1.76808,0.0957599,-1.43542
7,3,2.988,0.067,0.03
7,4,4.026,0.055,-0.17
7,5,5.045,0.067,0.05
7,6,5.994,0.1,0.29
7,7,6.615,0.466,-1.21
7,8,7.714,-0.155,-3.02
7,9,1.064,6.082,-6.46
7,10,1.046,-0.366,-0.35
7,11,1.091,1.565,1.19
7,12,2.722,0.377,2.3
7,13,2.43,0.61,-6.19
7,14,3.981,1.043,0.02
8,0,-0.003333,0.011,-0.02
8,1,1.00836,0.022,0.0570667
8,2,1.76542,0.0994278,-1.42208
8,3,2.988,0.067,0.03
8,4,4.026,0.055,-0.17
8,5,5.045,0.067,0.05
8,6,5.994,0.1,0.29
8,7,6.615,0.466,-1.21
8,8,7.714,-0.155,-3.02
8,9,1.064,6.082,-6.46
8,10,1.046,-0.366,-0.35
8,11,1.091,1.565,1.19
8,12,2.722,0.377,2.3
8,13,2.43,0.61,-6.19
8,14,3.981,1.043,0.02
9,0,-0.000333,0.011,-0.02
9,1,1.00536,0.022,0.0537333
9,2,1.75654,0.1,-1.49519
9,3,2.988,0.067,0.03
