# ==========================================
# v3.1 轨迹 | v_formation | dt=0.1
# 0,0,30 -> 0,500,30
# time(s),nodeId,x(m),y(m),z(m)
# ==========================================
0.000,0,0.008,0.469,30.006
0.000,1,-11.999,-11.523,30.006
0.000,2,12.000,-11.539,30.006
0.000,3,-24.006,-23.515,30.006
0.000,4,23.992,-23.547,30.006
0.000,5,-36.013,-35.507,30.006
0.000,6,35.985,-35.554,30.006
0.000,7,-48.035,-47.484,30.005
0.000,8,47.977,-47.562,30.006
0.000,9,-60.038,-59.485,30.004
0.000,10,59.934,-59.599,30.007
0.000,11,-72.040,-71.487,30.004
0.000,12,71.935,-71.602,30.005
0.000,13,-84.042,-83.488,30.003
0.000,14,83.937,-83.604,30.004
0.100,0,0.025,0.952,30.017
0.100,1,-12.001,-11.017,30.017
0.100,2,11.996,-11.076,30.017
0.100,3,-24.041,-22.963,30.018
0.100,4,23.967,-23.104,30.017
0.100,5,-36.060,-34.950,30.016
0.100,6,35.905,-35.157,30.018
0.100,7,-48.105,-46.906,30.014
0.100,8,47.892,-47.176,30.016
0.100,9,-60.113,-58.910,30.011
0.100,10,59.809,-59.252,30.017
0.100,11,-72.118,-70.914,30.010
0.100,12,71.813,-71.260,30.014
0.100,13,-84.122,-82.916,30.009
0.100,14,83.817,-83.265,30.011
0.200,0,0.051,1.453,30.035
0.200,1,-12.003,-10.480,30.035
0.200,2,11.989,-10.608,30.035
0.200,3,-24.100,-22.344,30.036
0.200,4,23.926,-22.668,30.035
0.200,5,-36.136,-34.329,30.031
0.200,6,35.762,-34.803,30.039
0.200,7,-48.206,-46.266,30.026
0.200,8,47.748,-46.840,30.032
0.200,9,-60.220,-58.275,30.022
0.200,10,59.629,-58.958,30.031
0.200,11,-72.229,-70.281,30.018
0.200,12,71.637,-70.972,30.025
0.200,13,-84.237,-82.287,30.016
0.200,14,83.643,-82.982,30.021
0.300,0,0.086,1.972,30.058
0.300,1,-12.005,-9.913,30.058
0.300,2,11.979,-10.132,30.058
0.300,3,-24.178,-21.658,30.062
0.300,4,23.873,-22.236,30.058
0.300,5,-36.237,-33.644,30.051
0.300,6,35.567,-34.484,30.068
0.300,7,-48.333,-45.565,30.043
0.300,8,47.546,-46.551,30.055
0.300,9,-60.355,-57.580,30.035
0.300,10,59.396,-58.713,30.050
0.300,11,-72.371,-69.590,30.030
0.300,12,71.409,-70.736,30.041
0.300,13,-84.382,-81.599,30.026
0.300,14,83.417,-82.752,30.034
0.400,0,0.128,2.514,30.086
0.400,1,-12.005,-9.316,30.086
0.400,2,11.972,-9.641,30.086
0.400,3,-24.254,-20.941,30.092
0.400,4,23.816,-21.795,30.086
0.400,5,-36.354,-32.893,30.078
0.400,6,35.375,-34.159,30.102
0.400,7,-48.480,-44.800,30.065
0.400,8,47.338,-46.262,30.082
0.400,9,-60.513,-56.822,30.054
